date,time,status,stand,no
2023-06-10,00:20,At gate 00:02,S45,UO 651
2023-06-10,01:05,At gate 01:26,N144,UO 781
2023-06-10,01:10,At gate 00:57,D305R,UO 653
2023-06-10,01:15,At gate 01:15,R20,UO 627
2023-06-10,01:25,At gate 01:38,R15,TK 9225
2023-06-10,02:00,At gate 02:20,R16,BI 3404
2023-06-10,03:10,At gate 03:15,N62,TK 9201
2023-06-10,04:20,At gate 04:16,R13,CX 5765
2023-06-10,04:40,At gate 04:45,N68,UO 623
2023-06-10,05:00,At gate 06:06,N5,UA 877
2023-06-10,05:10,At gate 04:56,S25,LX 9502
2023-06-10,05:35,At gate 05:35,S2,CX 865
2023-06-10,05:40,At gate 05:33,S47,TK 9222
2023-06-10,05:40,At gate 05:25,N6,MH 9211
2023-06-10,05:45,At gate 06:16,S1,AA 8936
2023-06-10,05:50,At gate 05:30,S4,AA 8902
2023-06-10,06:00,At gate 06:00,S33,UO 629
2023-06-10,06:05,At gate 06:20,W69,CX 270
2023-06-10,06:05,At gate 05:45,N36,AA 8918
2023-06-10,06:25,At gate 06:34,S23,CX 640
2023-06-10,06:45,At gate 07:37,W63,CX 260
2023-06-10,06:50,At gate 06:27,W50,AA 8885
2023-06-10,06:55,At gate 08:56,N36,LX 9510
2023-06-10,06:55,At gate 06:45,W65,CX 372
2023-06-10,06:55,At gate 08:05,N60,CX 382
2023-06-10,06:55,At gate 06:40,W48,ET 1760
2023-06-10,07:00,At gate 06:56,N34,AA 8888
2023-06-10,07:10,At gate 07:57,N64,LH 7014
2023-06-10,07:15,At gate 07:24,N9,HX 1946
2023-06-10,07:30,At gate 07:56,S45,BA 4144
2023-06-10,07:30,At gate 07:44,N28,CX 216
2023-06-10,07:40,At gate 08:14,S25,CX 252
2023-06-10,07:45,At gate 08:15,R18,TK 9226
2023-06-10,08:10,At gate 10:47,N24,5J 272
2023-06-10,08:30,At gate 08:25,N10,5J 150
2023-06-10,08:50,At gate 08:54,S27,HX 1819
2023-06-10,08:55,At gate 09:09,N7,5J 240
2023-06-10,09:10,At gate 09:09,R14,CX 449
2023-06-10,09:10,At gate 09:12,W71,AA 8944
2023-06-10,09:15,At gate 09:28,S23,CI 601
2023-06-10,09:45,At gate 10:41,N32,5J 110
2023-06-10,09:45,At gate 09:42,N8,FD 515
2023-06-10,09:50,At gate 09:39,W63,QF 8214
2023-06-10,09:55,At gate 09:55,S4,CX 407
2023-06-10,10:05,At gate 10:14,S41,TR 980
2023-06-10,10:05,At gate 10:13,S27,CI 903
2023-06-10,10:10,At gate 11:04,N34,PR 300
2023-06-10,10:10,At gate 10:21,N10,FD 508
2023-06-10,10:15,At gate 10:16,S31,HU 8510
2023-06-10,10:15,At gate 10:21,R20,UO 625
2023-06-10,10:30,At gate 10:17,N70,CX 912
2023-06-10,10:30,At gate 11:11,N26,FM 3025
2023-06-10,10:40,At gate 10:26,W67,CX 738
2023-06-10,11:00,At gate 10:32,N7,FM 3001
2023-06-10,11:05,At gate 10:58,N66,CA 6507
