date,time,status,stand,no
2023-04-05,00:25,At gate 00:56,N143,BI 3404
2023-04-05,01:05,At gate 01:05,R18,CX 5781
2023-04-05,01:15,At gate 01:18,R13,CX 5627
2023-04-05,01:25,At gate 01:32,S25,TK 9225
2023-04-05,03:10,At gate 03:07,R17,TK 9201
2023-04-05,04:40,At gate 04:29,R15,CX 5623
2023-04-05,05:00,At gate 04:48,S3,CX 829
2023-04-05,05:10,At gate 04:47,N9,CX 138
2023-04-05,05:15,At gate 05:35,S27,HX 527
2023-04-05,05:15,At gate 05:18,N7,CX 676
2023-04-05,05:40,At gate 05:29,S29,TK 9222
2023-04-05,05:50,At gate 05:48,N30,AA 8902
2023-04-05,06:00,At gate 05:56,N24,AA 8931
2023-04-05,06:05,At gate 05:47,S31,AA 8918
2023-04-05,06:45,At gate 06:32,S33,AA 8934
2023-04-05,06:50,At gate 06:15,W69,AA 8885
2023-04-05,06:55,At gate 07:34,N5,LX 9510
2023-04-05,06:55,At gate 06:56,W63,CX 260
2023-04-05,06:55,At gate 07:07,N62,CX 382
2023-04-05,07:15,Cancelled,,GA 876
2023-04-05,07:30,At gate 08:41,W40,BA 4146
2023-04-05,07:30,At gate 08:05,N32,QF 8237
2023-04-05,07:45,At gate 07:36,R19,TK 9226
2023-04-05,07:55,At gate 08:29,S47,CX 252
2023-04-05,08:10,At gate 08:26,N60,5J 272
2023-04-05,08:50,At gate 09:16,N30,HX 1819
2023-04-05,08:55,At gate 09:07,N34,5J 240
2023-04-05,09:10,At gate 09:04,S49,CX 449
2023-04-05,09:15,At gate 09:43,N24,CI 601
2023-04-05,09:45,At gate 09:33,N10,FD 515
2023-04-05,09:50,At gate 09:38,S4,QF 8214
2023-04-05,09:55,At gate 10:00,W61,CX 407
2023-04-05,09:55,At gate 09:43,S41,CX 624
2023-04-05,10:05,At gate 09:49,W44,TR 980
2023-04-05,10:05,At gate 10:14,N36,HX 1821
2023-04-05,10:05,At gate 10:38,S11,CI 903
2023-04-05,10:10,At gate 10:18,N28,PR 300
2023-04-05,10:10,At gate 10:10,N26,FD 508
2023-04-05,10:15,At gate 10:33,R15,HU 8510
2023-04-05,10:15,At gate 10:20,R20,CX 5625
2023-04-05,10:15,At gate 10:38,W46,MF 8711
2023-04-05,10:20,At gate 09:57,N70,MU 2901
2023-04-05,10:25,At gate 10:46,S2,CX 738
2023-04-05,10:30,At gate 10:50,N30,AF 8405
2023-04-05,10:30,At gate 10:36,S33,CX 912
2023-04-05,10:30,At gate 10:23,N34,FM 3025
2023-04-05,10:35,At gate 10:31,W69,MF 8683
2023-04-05,10:45,At gate 11:00,N32,5J 108
2023-04-05,11:00,At gate 11:07,N6,DL 7886
2023-04-05,11:00,At gate 10:42,W65,FM 3001
2023-04-05,11:05,At gate 11:33,S1,CA 6507
2023-04-05,11:10,At gate 11:19,N10,AK 138
2023-04-05,11:20,At gate 11:41,N8,SQ 874
2023-04-05,11:20,At gate 11:28,W42,MF 381
2023-04-05,11:30,At gate 11:10,S35,CA 3855
2023-04-05,11:30,At gate 11:31,S23,CX 983
2023-04-05,11:30,At gate 11:47,R18,CX 5227
2023-04-05,11:30,At gate 11:48,W40,MF 8655
2023-04-05,11:40,At gate 11:32,R17,CX 5131
2023-04-05,11:45,At gate 11:41,N66,TG 600
2023-04-05,11:50,At gate 11:38,N24,CA 103
2023-04-05,11:50,At gate 12:01,S29,FM 3021
2023-04-05,12:10,At gate 12:11,N34,HX 1823
2023-04-05,12:10,At gate 12:09,N7,PR 318
2023-04-05,12:10,At gate 12:03,N68,AA 8893
2023-04-05,12:15,At gate 12:14,S45,QR 5847
2023-04-05,12:20,At gate 12:05,W46,9C 8715
2023-04-05,12:20,At gate 12:20,S11,CZ 309
2023-04-05,12:25,At gate 12:10,W71,AC 9795
2023-04-05,12:30,At gate 12:34,W63,CX 365
2023-04-05,12:30,At gate 12:39,N26,UA 7907
2023-04-05,12:55,At gate 16:21,S31,CI 909
2023-04-05,12:55,At gate 12:42,W67,CX 489
2023-04-05,13:00,At gate 13:27,W42,QF 8228
2023-04-05,13:00,At gate 12:54,N70,CX 431
2023-04-05,13:05,At gate 12:48,S27,CA 111
2023-04-05,13:05,At gate 13:05,S25,QR 3459
2023-04-05,13:05,At gate 13:00,R13,CX 5821
2023-04-05,13:15,At gate 13:07,W69,JL 7041
2023-04-05,13:15,At gate 13:16,S35,CZ 635
2023-04-05,13:15,At gate 13:08,N6,UL 2772
2023-04-05,13:20,At gate 12:57,R20,CX 906
2023-04-05,13:30,At gate 13:58,N7,HA 5001
2023-04-05,13:40,At gate 15:27,N6,BA 031
2023-04-05,13:40,At gate 13:32,R15,HB 503
2023-04-05,13:50,At gate 14:17,R16,BR 2897
2023-04-05,13:50,At gate 13:45,W48,QR 5841
2023-04-05,13:50,At gate 13:46,N66,CA 6536
2023-04-05,13:55,At gate 13:51,N5,SQ 892
2023-04-05,13:55,At gate 14:12,S3,CX 250
2023-04-05,14:00,At gate 13:34,S4,MH 9187
2023-04-05,14:05,At gate 14:09,S29,HO 3503
