date,time,status,stand,no
2023-05-16,00:20,At gate 23:58 (15/05/2023),D305R,UO 651
2023-05-16,01:05,At gate 01:10,W125,UO 781
2023-05-16,01:10,At gate 00:58,R19,CX 5653
2023-05-16,01:15,At gate 01:09,N143,UO 627
2023-05-16,01:25,At gate 01:27,S11,TK 9225
2023-05-16,02:00,At gate 01:34,N60,BI 3404
2023-05-16,03:10,At gate 03:04,R17,TK 9201
2023-05-16,04:40,At gate 04:37,N34,UO 623
2023-05-16,05:00,At gate 04:37,S4,CX 829
2023-05-16,05:00,At gate 05:16,S23,UA 877
2023-05-16,05:10,At gate 05:25,S3,BA 4134
2023-05-16,05:35,At gate 05:25,S1,CX 865
2023-05-16,05:40,At gate 05:33,N66,TK 9222
2023-05-16,05:40,At gate 05:25,S47,MH 9211
2023-05-16,05:50,At gate 05:26,N28,AA 8902
2023-05-16,06:00,At gate 05:49,N8,AA 8931
2023-05-16,06:00,At gate 05:46,W50,UO 629
2023-05-16,06:05,At gate 05:40,S29,AA 8918
2023-05-16,06:15,At gate 07:02,S41,CX 270
2023-05-16,06:45,At gate 06:38,N30,AA 8934
2023-05-16,06:50,At gate 06:49,N64,AA 8885
2023-05-16,06:55,At gate 07:20,W63,CX 260
2023-05-16,07:15,At gate 07:08,N62,GA 876
2023-05-16,07:20,At gate 07:32,N7,LH 7014
2023-05-16,07:30,At gate 08:00,N34,BA 4146
2023-05-16,07:40,At gate 07:34,N36,CX 216
2023-05-16,07:55,At gate 08:05,N5,CX 252
2023-05-16,08:10,At gate 08:32,S45,5J 272
2023-05-16,08:15,At gate 08:58,R21,HX 782
2023-05-16,08:30,At gate 08:27,S47,5J 150
2023-05-16,08:50,At gate 09:16,N26,HX 1819
2023-05-16,08:55,At gate 08:42,S29,5J 240
2023-05-16,09:10,At gate 09:08,N10,CX 449
2023-05-16,09:15,At gate 09:01,W46,CI 601
2023-05-16,09:45,At gate 12:08,N34,5J 110
2023-05-16,09:45,At gate 09:22,N9,FD 515
2023-05-16,09:55,At gate 10:00,S35,CX 407
2023-05-16,10:05,At gate 09:49,S45,TR 980
2023-05-16,10:05,At gate 10:16,S25,CI 903
2023-05-16,10:10,At gate 10:19,N34,PR 300
2023-05-16,10:10,At gate 10:08,S11,FD 508
2023-05-16,10:15,At gate 10:01,W44,HU 8510
2023-05-16,10:15,At gate 10:06,R13,UO 625
2023-05-16,10:25,At gate 10:13,S47,CX 738
2023-05-16,10:30,At gate 10:47,S33,CX 912
2023-05-16,10:30,At gate 10:21,S29,FM 3025
2023-05-16,10:50,At gate 10:31,W48,MU 2901
2023-05-16,10:55,At gate 10:44,W46,CX 6201
2023-05-16,11:00,At gate 11:01,N28,FM 3001
2023-05-16,11:05,At gate 10:48,N70,CA 6507
2023-05-16,11:10,At gate 10:58,N9,AK 138
2023-05-16,11:15,At gate 11:17,S31,CA 101
2023-05-16,11:20,At gate 11:29,N5,SQ 874
2023-05-16,11:20,At gate 11:04,N32,MF 381
2023-05-16,11:30,At gate 11:40,S23,CX 983
2023-05-16,11:30,At gate 11:48,W122R,CX 5227
2023-05-16,11:30,At gate 10:55,N26,MF 8655
2023-05-16,11:35,At gate 11:10,N6,GS 7963
2023-05-16,11:40,At gate 11:31,R19,UO 131
2023-05-16,11:45,At gate 11:50,W50,WY 5902
2023-05-16,11:50,At gate 11:23,S11,CA 103
2023-05-16,11:50,At gate 11:54,N60,FM 3021
2023-05-16,11:55,At gate 11:24,W40,CA 3855
2023-05-16,12:10,At gate 12:43,S29,HX 1823
2023-05-16,12:10,At gate 12:44,S25,AA 8893
2023-05-16,12:15,At gate 11:46,N24,QR 5847
2023-05-16,12:20,At gate 12:29,R18,9C 8715
2023-05-16,12:20,At gate 12:05,W42,CZ 309
2023-05-16,12:25,At gate 12:22,S1,AC 9795
2023-05-16,12:25,At gate 12:09,R16,UO 551
2023-05-16,12:30,At gate 13:08,S43,CX 238
2023-05-16,12:30,At gate 12:57,N68,CX 365
2023-05-16,12:30,At gate 12:33,S27,UA 7907
2023-05-16,12:40,At gate 13:53,S11,SC 4789
2023-05-16,12:55,At gate 12:51,N32,CI 909
2023-05-16,12:55,At gate 12:51,R21,CX 489
2023-05-16,13:00,At gate 12:42,S3,QF 8228
2023-05-16,13:00,At gate 12:48,S49,CX 431
2023-05-16,13:05,At gate 12:41,N9,CA 111
2023-05-16,13:15,At gate 12:45,W46,JL 7041
2023-05-16,13:15,At gate 13:26,N66,UL 2772
2023-05-16,13:20,At gate 12:58,R14,CX 906
2023-05-16,13:30,At gate 13:22,N6,HA 5001
2023-05-16,13:40,At gate 13:37,N26,BA 031
2023-05-16,13:40,At gate 13:30,R15,HB 503
2023-05-16,13:45,At gate 13:46,N60,HX 679
2023-05-16,13:50,At gate 13:41,S31,QR 5841
2023-05-16,13:55,At gate 14:05,N5,SQ 892
2023-05-16,13:55,At gate 14:22,S29,CX 250
2023-05-16,14:00,At gate 13:40,R19,AC 9794
2023-05-16,14:05,At gate 14:26,S23,HO 3503
2023-05-16,14:10,At gate 14:30,R18,BR 2897
2023-05-16,14:10,At gate 14:25,S2,AA 8890
2023-05-16,14:15,At gate 14:46,S45,CX 363
2023-05-16,14:20,At gate 13:56,N62,VN 594
2023-05-16,14:25,At gate 13:51,N28,CA 419
2023-05-16,14:25,At gate 14:25,N32,HX 1825
2023-05-16,14:35,At gate 15:51,N28,FD 500
2023-05-16,14:40,At gate 14:04,W61,JL 7043
2023-05-16,14:40,At gate 14:58,W42,CA 6536
2023-05-16,14:45,At gate 14:13,N10,HU 8515
2023-05-16,14:55,At gate 13:47,W40,ET 644
2023-05-16,14:55,At gate 15:17,N9,MU 503
2023-05-16,15:00,At gate 14:55,W69,HU 8051
2023-05-16,15:00,At gate 15:28,S43,LX 9500
2023-05-16,15:00,At gate 14:42,W65,AA 8908
2023-05-16,15:05,At gate 14:57,W44,AA 8909
2023-05-16,15:05,At gate 15:02,N34,JU 8319
2023-05-16,15:10,At gate 15:21,S11,AC 9766
2023-05-16,15:10,At gate 15:08,W48,CX 5173
2023-05-16,15:15,At gate 14:51,W63,AC 9786
2023-05-16,15:20,At gate 15:10,S1,CX 495
2023-05-16,15:25,At gate 15:38,S27,NZ 4212
2023-05-16,15:30,At gate 15:09,R13,UO 601
2023-05-16,15:30,At gate 15:24,N62,UO 619
2023-05-16,15:40,At gate 15:24,R16,UO 111
2023-05-16,15:45,At gate 15:43,N10,AE 5311
2023-05-16,15:45,At gate 16:07,S23,CX 256
2023-05-16,15:50,At gate 15:24,N60,CA 3361
2023-05-16,15:55,At gate 15:36,S105,CA 427
2023-05-16,15:55,At gate 15:38,S101,HX 1201
2023-05-16,15:55,At gate 15:54,S102,GJ 8053
2023-05-16,16:00,At gate 16:04,N8,CX 349
2023-05-16,16:00,At gate 15:48,R15,UO 851
2023-05-16,16:00,At gate 15:54,S103,FM 3023
2023-05-16,16:05,At gate 15:42,W71,MF 9039
2023-05-16,16:05,At gate 15:56,N6,TG 5867
2023-05-16,16:15,At gate 16:08,S33,TK 8721
2023-05-16,16:15,At gate 16:30,S49,CX 367
2023-05-16,16:15,At gate 16:22,W46,MF 8713
2023-05-16,16:25,At gate 17:03,W48,CA 109
2023-05-16,16:25,At gate 16:29,W123R,UO 133
2023-05-16,16:30,At gate 17:53,S31,CI 915
2023-05-16,16:30,At gate 16:14,W40,AA 8950
2023-05-16,16:35,At gate 17:21,R19,MU 5015
2023-05-16,16:35,At gate 17:11,N24,BA 027
2023-05-16,16:40,At gate 16:28,S104,HB 521
2023-05-16,16:45,At gate 16:55,N9,QR 5837
2023-05-16,16:45,At gate 16:52,S25,CX 6630
2023-05-16,16:50,At gate 17:14,N7,9C 8921
2023-05-16,16:55,At gate 16:40,R17,OZ 9295
2023-05-16,16:55,At gate 16:58,N32,CA 6521
2023-05-16,17:00,At gate 17:15,W50,PR 306
2023-05-16,17:00,At gate 17:43,W42,CX 357
2023-05-16,17:15,At gate 16:55,W67,AA 8897
2023-05-16,17:15,At gate 17:12,N28,Z2 1264
2023-05-16,17:20,At gate 17:26,S3,MH 9196
2023-05-16,17:20,At gate 16:59,S109,UO 113
2023-05-16,17:35,At gate 18:19,N5,CA 6511
2023-05-16,17:40,At gate 17:28,N10,FM 809
2023-05-16,17:40,At gate 19:26,W46,WE 5638
2023-05-16,17:40,At gate 17:01,S108,3U 3959
2023-05-16,17:45,At gate 17:36,S29,AY 099
2023-05-16,17:45,At gate 17:50,W71,CX 254
2023-05-16,17:45,At gate 17:38,R13,HX 659
2023-05-16,17:45,At gate 18:56,N6,RA 409
2023-05-16,17:50,At gate 17:59,N62,MF 8651
2023-05-16,17:55,At gate 18:05,S2,LY 8792
2023-05-16,17:55,At gate 17:49,S35,NZ 4850
2023-05-16,18:00,At gate 18:33,R17,HU 8083
2023-05-16,18:05,At gate 18:34,S41,QF 8224
2023-05-16,18:05,At gate 17:34,N60,EK 384
2023-05-16,18:10,At gate 18:16,S33,5J 112
2023-05-16,18:25,At gate 18:33,N30,HX 1831
2023-05-16,18:25,At gate 18:10,R21,CX 5643
2023-05-16,18:30,At gate 18:13,N68,MF 8685
2023-05-16,18:50,At gate 18:51,S47,VJ 876
2023-05-16,18:55,At gate 18:47,N28,CI 919
2023-05-16,18:55,At gate 18:28,S4,QR 5803
2023-05-16,18:55,At gate 18:43,W40,CX 831
