date,time,status,stand,no
2023-03-12,00:20,At gate 00:16,S111,CX 5781
2023-03-12,00:45,At gate 00:30,N10,MM 067
2023-03-12,01:40,At gate 01:39,S11,HX 766
2023-03-12,03:20,At gate 02:51,N7,AI 7175
2023-03-12,05:00,At gate 04:22,S3,BA 4134
2023-03-12,05:00,At gate 04:31,S1,CX 829
2023-03-12,05:05,At gate 04:47,S27,MH 9185
2023-03-12,05:20,At gate 05:06,N6,AA 8902
2023-03-12,05:55,At gate 05:31,N60,TK 9222
2023-03-12,06:00,At gate 06:33,S29,CX 640
2023-03-12,06:00,At gate 06:03,N26,QR 3478
2023-03-12,06:00,At gate 06:08 (13/03/2023),N60,CX 865
2023-03-12,06:00,At gate 04:48,N24,UA 877
2023-03-12,06:10,At gate 05:10,S4,MH 9183
2023-03-12,06:15,At gate 06:02,S35,JL 7932
2023-03-12,06:30,At gate 06:42,N64,CX 234
2023-03-12,06:40,At gate 06:50,W65,CX 662
2023-03-12,07:00,At gate 07:06,N5,JL 7902
2023-03-12,07:05,At gate 07:02,N62,IB 1960
2023-03-12,07:10,At gate 07:19,S1,LH 7014
2023-03-12,07:15,At gate 06:53,W50,HX 1946
2023-03-12,07:20,At gate 08:21,W67,CX 260
2023-03-12,07:20,At gate 07:28,N7,CX 270
2023-03-12,07:20,At gate 07:13,W63,CX 881
2023-03-12,07:40,At gate 07:21,S3,BA 4144
2023-03-12,07:40,At gate 08:00,W42,CX 252
2023-03-12,07:50,At gate 07:45,S45,CX 216
2023-03-12,08:10,At gate 08:00,W46,5J 272
2023-03-12,09:20,At gate 08:54,N24,JL 7908
2023-03-12,09:25,At gate 09:04,N30,CX 624
2023-03-12,09:35,At gate 09:53,N36,JL 7912
2023-03-12,09:45,At gate 10:00,W40,5J 110
2023-03-12,09:55,At gate 09:46,N8,CI 903
2023-03-12,10:05,At gate 10:01,N34,SQ 8632
2023-03-12,10:05,At gate 10:04,N26,HX 1821
2023-03-12,10:15,At gate 09:55,N28,PR 300
2023-03-12,10:25,At gate 10:23,W71,CX 912
2023-03-12,10:50,At gate 10:27,R15,UO 625
2023-03-12,10:55,At gate 11:26,N10,Z2 1264
2023-03-12,11:00,At gate 10:56,S3,CX 738
2023-03-12,11:15,At gate 10:40,W50,MU 501
2023-03-12,11:20,At gate 11:13,S11,DL 7886
2023-03-12,11:20,At gate 11:10,W44,MF 8655
2023-03-12,11:25,At gate 11:50,S2,CX 983
2023-03-12,11:45,At gate 11:49,N34,TG 600
2023-03-12,11:55,At gate 11:38,N9,AK 138
2023-03-12,11:55,At gate 11:33,S47,9C 8715
2023-03-12,12:05,At gate 11:59,R21,CX 5115
2023-03-12,12:05,At gate 12:36,W42,MF 381
2023-03-12,12:10,At gate 12:16,N26,HX 1823
2023-03-12,12:10,At gate 12:36,W40,MF 8695
2023-03-12,12:20,At gate 11:57,W46,CZ 3075
2023-03-12,12:20,At gate 12:09,W48,MU 503
2023-03-12,12:25,At gate 12:08,S23,SQ 882
2023-03-12,12:30,At gate 12:10,N28,CZ 309
2023-03-12,12:50,At gate 13:00,S41,CI 909
2023-03-12,12:50,At gate 12:47,N60,CX 489
2023-03-12,12:55,At gate 12:53,W61,CX 431
2023-03-12,12:55,At gate 12:55,N10,AY 6632
2023-03-12,13:00,At gate 12:31,S25,JL 7051
2023-03-12,13:05,At gate 13:00,N6,CX 6111
2023-03-12,13:10,At gate 14:00,S1,CX 238
2023-03-12,13:10,At gate 12:49,S29,UA 7907
2023-03-12,13:15,At gate 13:24,N70,QR 3467
2023-03-12,13:25,At gate 12:55,W69,JL 7053
2023-03-12,13:25,At gate 12:41,W63,JL 7041
2023-03-12,13:30,At gate 13:01,N62,CX 906
2023-03-12,13:35,At gate 13:40,S11,BI 635
2023-03-12,13:40,At gate 13:26,R19,HB 503
2023-03-12,13:55,At gate 13:41,N8,SQ 892
2023-03-12,13:55,At gate 13:47,R16,CX 5821
2023-03-12,14:05,At gate 13:49,W65,CA 6523
2023-03-12,14:10,At gate 13:54,N64,QR 3458
2023-03-12,14:10,At gate 14:04,N26,HA 5001
2023-03-12,14:15,At gate 14:40,S4,CX 250
2023-03-12,14:15,At gate 13:37,S31,MH 9187
2023-03-12,14:20,At gate 13:51,S47,QR 5841
