date,time,status,stand,no
2023-03-01,00:20,At gate 00:39,R17,CX 5781
2023-03-01,00:45,At gate 00:55,S3,MM 067
2023-03-01,00:55,At gate 01:08,R21,CX 5627
2023-03-01,01:15,At gate 00:59,R20,HX 527
2023-03-01,01:40,At gate 01:39,N26,HX 766
2023-03-01,03:20,At gate 03:23,N10,AI 7175
2023-03-01,05:00,At gate 04:08,N7,BA 4134
2023-03-01,05:00,At gate 04:40,S1,CX 829
2023-03-01,05:20,At gate 05:19,N32,AA 8902
2023-03-01,05:45,At gate 06:56,S23,TG 5867
2023-03-01,05:55,At gate 05:23,S11,TK 9222
2023-03-01,06:00,At gate 05:53,N6,QR 3478
2023-03-01,06:10,At gate 06:16,S47,MH 9183
2023-03-01,06:15,At gate 06:52,S3,CX 676
2023-03-01,06:20,At gate 07:03,N24,LX 9514
2023-03-01,06:25,At gate 06:13,S27,CX 640
2023-03-01,06:55,At gate 07:05,N64,BA 4140
2023-03-01,07:05,At gate 07:05,W44,HX 782
2023-03-01,07:20,At gate 07:42,W48,CX 260
2023-03-01,07:20,At gate 08:57,S2,CX 270
2023-03-01,07:20,At gate 07:24,W63,CX 881
2023-03-01,07:40,At gate 07:46,S43,BA 4144
2023-03-01,07:40,At gate 08:15,S49,CX 252
2023-03-01,08:10,At gate 08:20,N34,5J 272
2023-03-01,09:20,At gate 09:23,S3,JL 7908
2023-03-01,09:25,At gate 09:14,S35,CX 624
2023-03-01,09:35,At gate 09:22,N66,JL 7912
2023-03-01,09:45,At gate 10:05,W40,5J 110
2023-03-01,09:55,At gate 09:56,S29,CI 903
2023-03-01,10:05,At gate 10:11,N9,SQ 8632
2023-03-01,10:05,At gate 10:43,N28,HX 1821
2023-03-01,10:15,At gate 10:09,N30,PR 300
2023-03-01,10:25,At gate 10:48,W42,CX 912
2023-03-01,10:50,At gate 10:36,R13,UO 625
2023-03-01,10:55,At gate 10:54,N26,Z2 1264
2023-03-01,11:20,At gate 11:23,N8,DL 7886
2023-03-01,11:20,At gate 11:07,W71,MF 8655
2023-03-01,11:25,At gate 11:21,S31,CX 983
2023-03-01,11:45,At gate 12:05,W46,TG 600
2023-03-01,11:55,At gate 11:49,N24,AK 138
2023-03-01,11:55,At gate 11:35,N60,9C 8715
2023-03-01,12:05,At gate 12:17,W69,MF 381
2023-03-01,12:10,At gate 12:13,N6,HX 1823
2023-03-01,12:10,At gate 12:42,N70,MF 8695
2023-03-01,12:20,At gate 12:35,N9,MU 503
2023-03-01,12:25,At gate 12:53,S23,SQ 882
2023-03-01,12:25,At gate 11:45,S43,CX 6129
2023-03-01,12:30,At gate 12:32,N68,CZ 309
2023-03-01,12:50,At gate 12:53,N28,CI 909
2023-03-01,12:50,At gate 12:42,S45,CX 489
2023-03-01,12:55,At gate 13:28,W40,CX 431
2023-03-01,12:55,At gate 13:04,N10,AY 6632
2023-03-01,13:00,At gate 13:00,W65,JL 7051
2023-03-01,13:05,At gate 13:19,S27,CX 6111
2023-03-01,13:05,Cancelled,,ID 7607
2023-03-01,13:10,At gate 13:19,N30,UA 7907
2023-03-01,13:15,At gate 13:28,S11,QR 3467
2023-03-01,13:20,At gate 13:08,N26,CZ 635
2023-03-01,13:25,At gate 13:49,W42,JL 7041
2023-03-01,13:30,At gate 13:13,N34,CX 906
2023-03-01,13:40,At gate 13:27,R13,HB 503
2023-03-01,13:55,At gate 14:15,N24,SQ 892
