date,time,status,stand,no
2023-04-09,00:25,At gate 00:38,S107,BI 3404
2023-04-09,01:05,At gate 01:15,R15,CX 5781
2023-04-09,01:15,At gate 01:07,N10,CX 5627
2023-04-09,01:25,At gate 01:41,R18,TK 9225
2023-04-09,03:10,At gate 03:00,S27,TK 9201
2023-04-09,04:40,At gate 05:05,N9,CX 5623
2023-04-09,05:00,At gate 04:58,S2,CX 829
2023-04-09,05:10,At gate 04:50,S1,LX 9502
2023-04-09,05:35,At gate 06:06,S3,CX 865
2023-04-09,05:40,At gate 05:35,S25,TK 9222
2023-04-09,05:50,At gate 05:25,N6,AA 8902
2023-04-09,06:00,At gate 06:36,W63,AA 8931
2023-04-09,06:05,At gate 05:28,S47,AA 8918
2023-04-09,06:10,At gate 06:08,W65,CX 640
2023-04-09,06:15,At gate 05:50,S4,CX 270
2023-04-09,06:25,At gate 06:27,N60,CX 234
2023-04-09,06:45,At gate 07:06,W42,AA 8934
2023-04-09,06:50,At gate 06:15,N36,AA 8885
2023-04-09,06:55,At gate 07:02,N62,LX 9510
2023-04-09,06:55,At gate 07:00,N28,CX 260
2023-04-09,07:00,At gate 06:31,N66,AA 8888
2023-04-09,07:15,At gate 07:21,N8,GA 876
2023-04-09,07:25,At gate 06:56,N64,LH 7014
2023-04-09,07:30,At gate 09:42,N8,BA 4146
2023-04-09,07:30,At gate 07:41,W69,QF 8237
2023-04-09,07:40,At gate 07:13,W71,CX 216
2023-04-09,07:45,At gate 07:57,S11,TK 9226
2023-04-09,07:55,At gate 07:59,S43,CX 252
2023-04-09,08:05,At gate 08:07,W40,CX 662
2023-04-09,08:10,At gate 08:06,S101,5J 272
2023-04-09,08:50,At gate 09:58,N28,HX 1819
2023-04-09,08:55,At gate 08:46,N30,5J 240
2023-04-09,09:10,At gate 08:54,W65,AA 8944
2023-04-09,09:15,At gate 09:26,S25,CI 601
2023-04-09,09:45,At gate 09:36,W46,5J 110
2023-04-09,09:45,At gate 09:29,N24,FD 515
2023-04-09,09:50,At gate 09:39,N9,QF 8214
2023-04-09,09:55,At gate 09:54,S45,CX 407
2023-04-09,09:55,At gate 10:00,S3,CX 624
2023-04-09,09:55,At gate 10:13,R16,CX 5697
2023-04-09,10:05,At gate 10:06,S35,TR 980
2023-04-09,10:05,At gate 10:30,N32,HX 1821
2023-04-09,10:05,At gate 10:12,S23,CI 903
2023-04-09,10:10,At gate 09:52,N10,PR 300
2023-04-09,10:10,At gate 10:16,S31,FD 508
2023-04-09,10:15,At gate 10:35,N36,HU 8510
2023-04-09,10:15,At gate 10:37,N60,CX 5625
2023-04-09,10:20,At gate 10:20,N30,MU 2901
2023-04-09,10:25,At gate 10:02,W69,CX 738
2023-04-09,10:30,At gate 10:29,S29,AF 8405
2023-04-09,10:30,At gate 10:19,S2,CX 912
2023-04-09,10:30,At gate 10:34,S49,FM 3025
2023-04-09,10:55,At gate 10:46,S27,CX 6201
2023-04-09,11:00,At gate 11:03,N7,DL 7886
2023-04-09,11:00,At gate 10:57,S25,FM 3001
2023-04-09,11:05,At gate 11:01,N70,CA 6507
2023-04-09,11:10,At gate 11:20,N6,AK 138
2023-04-09,11:20,At gate 11:19,N5,SQ 874
2023-04-09,11:20,At gate 12:21,N32,MF 381
2023-04-09,11:30,At gate 11:11,N68,CZ 3075
2023-04-09,11:30,At gate 11:07,W44,CA 3855
2023-04-09,11:30,At gate 12:58,N34,CX 983
2023-04-09,11:30,At gate 11:42,R21,CX 5227
2023-04-09,11:30,At gate 11:25,N24,MF 8655
2023-04-09,11:40,At gate 11:38,R13,CX 5131
2023-04-09,11:45,At gate 11:48,N64,TG 600
2023-04-09,11:50,At gate 11:28,W46,CA 103
2023-04-09,11:50,At gate 11:50,S23,FM 3021
2023-04-09,12:10,At gate 12:53,S33,HX 1823
2023-04-09,12:10,At gate 11:37,N10,PR 318
2023-04-09,12:10,At gate 12:00,W61,AA 8893
2023-04-09,12:15,At gate 12:26,W42,QR 5847
2023-04-09,12:20,At gate 12:08,N30,9C 8715
2023-04-09,12:20,At gate 12:28,N8,CZ 309
2023-04-09,12:30,At gate 12:40,N62,CX 365
2023-04-09,12:30,At gate 12:56,S31,UA 7907
