date,time,status,stand,no
2023-05-29,00:20,At gate 00:20,D303,UO 651
2023-05-29,01:05,At gate 01:23,N28,UO 781
2023-05-29,01:15,At gate 01:10,R14,UO 627
2023-05-29,01:25,At gate 01:18,W40,TK 9225
2023-05-29,02:00,At gate 01:38,N36,BI 3404
2023-05-29,03:10,At gate 02:36,W42,TK 9201
2023-05-29,04:40,At gate 04:05,S33,UO 623
2023-05-29,05:00,At gate 05:32,N5,UA 877
2023-05-29,05:10,At gate 05:06,N62,LX 9502
2023-05-29,05:15,At gate 05:38,S4,CX 676
2023-05-29,05:40,At gate 05:37,W50,TK 9222
2023-05-29,05:40,At gate 05:23,S3,MH 9211
2023-05-29,05:45,At gate 05:24,S49,AA 8936
2023-05-29,05:50,At gate 18:12,S2,AA 8902
2023-05-29,06:00,At gate 05:41,W123R,UO 629
2023-05-29,06:05,At gate 05:45,W46,AA 8918
2023-05-29,06:15,At gate 06:32,S43,CX 270
2023-05-29,06:25,At gate 06:09,W67,CX 234
2023-05-29,06:50,At gate 06:20,S25,AA 8885
2023-05-29,06:50,At gate 06:14,W44,AA 8943
2023-05-29,06:55,At gate 06:58,N62,CX 260
2023-05-29,06:55,At gate 07:33,S41,CX 372
2023-05-29,06:55,At gate 07:59,S31,HX 1314
2023-05-29,07:15,At gate 07:56,S103,GA 876
2023-05-29,07:20,At gate 07:47,S33,LH 7014
2023-05-29,07:45,At gate 07:39,R21,TK 9226
2023-05-29,07:55,At gate 08:11,N28,CX 252
2023-05-29,08:10,At gate 08:01,W42,5J 272
2023-05-29,08:15,At gate 08:38,N68,HX 782
2023-05-29,08:30,At gate 08:23,N10,5J 150
2023-05-29,08:50,At gate 08:55,N30,HX 1819
2023-05-29,08:55,At gate 09:03,W44,5J 240
2023-05-29,09:10,At gate 08:49,W65,AA 8944
2023-05-29,09:15,At gate 09:06,N9,CI 601
2023-05-29,09:25,At gate 09:24,R13,CX 447
2023-05-29,09:45,At gate 09:50,W42,5J 110
2023-05-29,09:45,At gate 09:41,N10,FD 515
2023-05-29,09:50,At gate 09:31,S1,QF 8214
2023-05-29,09:55,At gate 09:52,S2,CX 407
2023-05-29,10:05,At gate 09:54,W48,TR 980
2023-05-29,10:05,At gate 10:00,N8,CI 903
2023-05-29,10:10,At gate 15:47,N24,PR 300
2023-05-29,10:10,At gate 10:29,N6,FD 508
2023-05-29,10:15,At gate 10:08,W46,HU 8510
2023-05-29,10:15,At gate 09:58,R19,UO 625
2023-05-29,10:25,At gate 11:20,W67,CX 738
2023-05-29,10:30,At gate 10:13,S47,CX 912
2023-05-29,10:30,At gate 10:14,N32,FM 3025
2023-05-29,10:50,At gate 10:39,N34,MU 2901
2023-05-29,11:00,At gate 10:48,S27,DL 7886
2023-05-29,11:00,At gate 10:29,S25,MU 721
2023-05-29,11:05,At gate 10:33,W71,CA 6507
2023-05-29,11:10,At gate 11:50,N10,AK 138
2023-05-29,11:15,At gate 10:57,S23,CA 101
2023-05-29,11:20,At gate 11:37,N9,SQ 874
2023-05-29,11:30,At gate 11:36,S4,CX 983
2023-05-29,11:30,At gate 11:33,R18,CX 5227
2023-05-29,11:30,At gate 10:53,S11,MF 8655
2023-05-29,11:40,At gate 11:44,R17,UO 131
2023-05-29,11:45,At gate 12:03,W42,WY 5902
2023-05-29,11:50,At gate 11:25,N24,CA 103
2023-05-29,11:50,At gate 11:15,N36,MU 2067
2023-05-29,11:50,At gate 11:39,N66,FM 3021
2023-05-29,11:55,At gate 11:41,W46,CA 3855
2023-05-29,12:10,At gate 12:27,N32,HX 1823
2023-05-29,12:10,At gate 12:01,N8,AA 8893
2023-05-29,12:15,At gate 11:47,S1,QR 5847
2023-05-29,12:15,At gate 12:23,S103,HX 1203
2023-05-29,12:20,At gate 11:33,W48,9C 8715
2023-05-29,12:20,At gate 12:10,N30,CZ 309
2023-05-29,12:25,At gate 12:12,R16,UO 551
2023-05-29,12:30,At gate 13:11,S25,CX 238
2023-05-29,12:30,At gate 12:03,N6,CX 365
2023-05-29,12:30,At gate 12:07,N26,UA 7907
2023-05-29,12:40,At gate 12:24,N60,SC 4789
2023-05-29,12:55,At gate 12:49,N10,CI 909
2023-05-29,12:55,At gate 12:40,R21,CX 489
2023-05-29,12:55,At gate 13:20,W50,GA 9770
2023-05-29,13:00,At gate 12:42,S2,QF 8228
2023-05-29,13:00,At gate 13:13,S23,CX 431
2023-05-29,13:05,At gate 12:36,N64,CA 111
2023-05-29,13:15,At gate 12:48,S31,JL 7041
2023-05-29,13:15,At gate 13:52,W40,UL 2772
2023-05-29,13:20,At gate 12:57,R13,CX 906
2023-05-29,13:30,At gate 13:03,N70,ZH 9085
2023-05-29,13:30,At gate 13:41,N24,HA 5001
2023-05-29,13:40,At gate 14:17,N36,BA 031
2023-05-29,13:40,At gate 13:44,N68,HB 503
2023-05-29,13:45,At gate 13:48,W48,HX 679
2023-05-29,13:50,At gate 13:43,W69,QR 5841
2023-05-29,13:50,At gate 14:01,S27,CA 6536
2023-05-29,13:50,At gate 14:02,W65,CX 973
2023-05-29,13:55,At gate 14:04,N5,SQ 892
2023-05-29,13:55,At gate 14:10,N66,CX 250
