date,time,status,stand,no
2023-05-08,00:20,At gate 00:41,R20,UO 651
2023-05-08,01:05,At gate 01:12,R16,UO 781
2023-05-08,01:15,At gate 01:10,S43,UO 627
2023-05-08,01:25,At gate 01:40,R18,TK 9225
2023-05-08,02:00,At gate 02:24,R21,BI 3404
2023-05-08,03:10,At gate 03:03,R17,TK 9201
2023-05-08,04:40,At gate 04:49,N10,UO 623
2023-05-08,05:00,At gate 05:21,N24,UA 877
2023-05-08,05:10,At gate 05:26,S2,LX 9502
2023-05-08,05:15,At gate 05:26,S41,CX 676
2023-05-08,05:40,At gate 05:48,N34,TK 9222
2023-05-08,05:40,At gate 05:14,N8,MH 9211
2023-05-08,05:45,At gate 05:59,N5,AA 8936
2023-05-08,05:50,At gate 05:42,N32,AA 8902
2023-05-08,06:00,At gate 07:05,S101,UO 629
2023-05-08,06:05,At gate 05:45,N62,AA 8918
2023-05-08,06:15,At gate 06:19,W65,CX 270
2023-05-08,06:25,At gate 06:22,S31,CX 234
2023-05-08,06:50,At gate 06:24,N64,AA 8885
2023-05-08,06:50,At gate 07:00,W71,AA 8943
2023-05-08,06:55,At gate 07:24,N26,LX 9510
2023-05-08,06:55,At gate 06:59,N36,CX 260
2023-05-08,06:55,At gate 07:03,N60,CX 372
2023-05-08,06:55,At gate 06:42,S45,HX 1314
2023-05-08,07:15,At gate 07:09,W44,GA 876
2023-05-08,07:20,At gate 07:38,S43,LH 7014
2023-05-08,07:45,At gate 08:05,R14,TK 9226
2023-05-08,07:55,At gate 08:18,S33,CX 252
2023-05-08,08:10,At gate 11:55,W44,5J 272
2023-05-08,08:15,At gate 08:35,R16,HX 782
2023-05-08,08:30,At gate 08:33,S49,5J 150
2023-05-08,08:50,At gate 09:13,N32,HX 1819
2023-05-08,08:55,At gate 08:43,S47,5J 240
2023-05-08,09:15,At gate 09:51,N8,CI 601
2023-05-08,09:25,At gate 09:29,R15,CX 447
2023-05-08,09:45,At gate 09:41,S49,5J 110
2023-05-08,09:45,At gate 09:43,N9,FD 515
2023-05-08,09:50,At gate 09:17,W63,QF 8214
2023-05-08,09:55,At gate 09:57,W46,CX 407
2023-05-08,10:05,At gate 09:53,S43,TR 980
2023-05-08,10:05,At gate 10:12,N28,CI 903
2023-05-08,10:10,At gate 10:12,S29,PR 300
2023-05-08,10:10,At gate 10:13,N7,FD 508
2023-05-08,10:15,At gate 10:17,N70,HU 8510
2023-05-08,10:15,At gate 10:22,W48,UO 625
2023-05-08,10:20,At gate 10:10,N34,MU 2901
2023-05-08,10:30,At gate 10:27,S45,CX 912
2023-05-08,10:30,At gate 10:28,N30,FM 3025
2023-05-08,11:00,At gate 10:57,N26,DL 7886
2023-05-08,11:00,At gate 10:48,N32,FM 3001
2023-05-08,11:05,At gate 10:50,S3,CA 6507
2023-05-08,11:10,At gate 11:01,N9,AK 138
2023-05-08,11:15,At gate 11:08,N6,CA 101
2023-05-08,11:20,At gate 11:16,N5,SQ 874
2023-05-08,11:20,At gate 11:21,W42,MF 381
2023-05-08,11:30,At gate 11:37,N66,CX 983
2023-05-08,11:30,At gate 11:28,R20,CX 5227
2023-05-08,11:30,At gate 11:09,N60,MF 8655
2023-05-08,11:40,At gate 11:39,R16,UO 131
2023-05-08,11:45,At gate 11:33,N62,WY 5902
2023-05-08,11:50,At gate 11:21,S25,CA 103
2023-05-08,11:50,At gate 11:09,S27,MU 2067
2023-05-08,11:50,At gate 11:56,S29,FM 3021
2023-05-08,12:10,At gate 13:18,N34,HX 1823
2023-05-08,12:10,At gate 11:57,S47,AA 8893
2023-05-08,12:15,At gate 12:15,S1,QR 5847
2023-05-08,12:20,At gate 12:25,N10,9C 8715
2023-05-08,12:20,At gate 14:59,S23,CZ 309
2023-05-08,12:25,At gate 12:26,N24,UO 551
2023-05-08,12:30,At gate 13:45,N9,CX 238
2023-05-08,12:30,At gate 12:42,N68,CX 365
2023-05-08,12:30,At gate 12:29,N30,UA 7907
2023-05-08,12:40,At gate 13:15,N28,SC 4789
2023-05-08,12:55,At gate 13:09,N36,CI 909
2023-05-08,12:55,At gate 12:59,R21,CX 489
2023-05-08,12:55,At gate 13:03,W61,GA 9770
2023-05-08,13:00,At gate 12:51,S35,QF 8228
2023-05-08,13:00,At gate 12:55,S49,CX 431
