date,time,status,stand,no
2023-04-28,00:20,At gate 00:30,R14,UO 651
2023-04-28,00:25,At gate 00:25,S31,BI 3404
2023-04-28,00:30,At gate 00:58,N141,UO 863
2023-04-28,01:05,At gate 01:02,N10,UO 781
2023-04-28,01:15,At gate 01:20,N9,UO 627
2023-04-28,01:25,At gate 01:33,R17,TK 9225
2023-04-28,03:10,At gate 03:01,S25,TK 9201
2023-04-28,04:00,At gate 03:36,W46,CX 5765
2023-04-28,04:40,At gate 05:06,N10,UO 623
2023-04-28,05:10,At gate 05:04,S2,BA 4134
2023-04-28,05:15,At gate 05:43,S43,CX 676
2023-04-28,05:35,At gate 05:36,S27,CX 865
2023-04-28,05:40,At gate 05:36,N24,TK 9222
2023-04-28,05:50,At gate 05:20,N60,AA 8902
2023-04-28,06:05,At gate 06:14,S35,AA 8918
2023-04-28,06:15,At gate 06:11,S3,CX 270
2023-04-28,06:45,At gate 06:22,N62,AA 8934
2023-04-28,06:55,At gate 07:42,N64,LX 9510
2023-04-28,06:55,At gate 06:51,W42,CX 260
2023-04-28,07:15,At gate 07:03,N28,GA 876
2023-04-28,07:25,At gate 07:24,S33,LH 7014
2023-04-28,07:30,At gate 07:51,W61,BA 4146
2023-04-28,07:40,At gate 07:37,W40,CX 216
2023-04-28,07:45,At gate 07:45,R21,TK 9226
2023-04-28,07:55,At gate 07:32,N26,CX 252
2023-04-28,08:05,At gate 08:07,S2,CX 662
2023-04-28,08:10,At gate 08:47,W50,5J 272
2023-04-28,08:20,At gate 08:41,R14,HX 782
2023-04-28,08:30,At gate 09:03,N8,5J 150
2023-04-28,08:50,At gate 09:16,N30,HX 1819
2023-04-28,08:55,At gate 09:03,W48,5J 240
2023-04-28,09:10,At gate 09:03,R19,CX 449
2023-04-28,09:10,At gate 08:40,W46,AA 8944
2023-04-28,09:15,At gate 09:12,N24,CI 601
2023-04-28,09:45,At gate 10:08,S41,5J 110
2023-04-28,09:45,At gate 09:22,N28,FD 515
2023-04-28,09:50,At gate 10:01,S47,QF 8214
