date,time,status,stand,no
2023-03-06,00:10,At gate 23:24 (05/03/2023),S47,CX 989
2023-03-06,00:20,At gate 00:10,W125,CX 5781
2023-03-06,00:45,At gate 00:51,S27,MM 067
2023-03-06,00:55,At gate 01:12,S25,CX 5627
2023-03-06,01:40,At gate 01:38,S29,HX 766
2023-03-06,03:20,At gate 03:15,N144,AI 7175
2023-03-06,05:00,At gate 04:14,N60,BA 4134
2023-03-06,05:00,At gate 04:54,W42,CX 829
2023-03-06,05:10,At gate 05:22,S33,AA 8891
2023-03-06,05:20,At gate 05:30,N24,AA 8902
2023-03-06,05:45,At gate 05:53,N5,TG 5867
2023-03-06,05:55,At gate 05:23,W61,TK 9222
2023-03-06,06:00,At gate 05:46,N8,QR 3478
2023-03-06,06:15,At gate 05:52,N26,CX 676
2023-03-06,06:15,At gate 05:57,S4,AA 8936
2023-03-06,06:30,At gate 05:39,S41,CX 234
2023-03-06,06:55,At gate 07:09,N9,BA 4140
2023-03-06,06:55,At gate 06:41,N28,MH 9205
2023-03-06,07:05,At gate 06:29,W71,IB 1960
2023-03-06,07:05,At gate 07:11,N36,HX 782
2023-03-06,07:20,At gate 07:11,S3,CX 260
2023-03-06,07:20,At gate 07:24,N60,CX 270
2023-03-06,07:40,At gate 07:35,S27,CX 252
2023-03-06,08:10,At gate 07:54,W42,5J 272
2023-03-06,09:45,At gate 10:16,S31,5J 110
2023-03-06,09:55,At gate 10:25,S29,CI 903
2023-03-06,10:05,At gate 10:08,N8,SQ 8632
2023-03-06,10:05,At gate 10:20,N6,HX 1821
2023-03-06,10:15,At gate 10:03,S33,PR 300
2023-03-06,10:25,At gate 10:43,S1,CX 912
2023-03-06,10:50,At gate 10:26,R13,UO 625
2023-03-06,10:55,At gate 10:40,S35,Z2 1264
2023-03-06,11:15,At gate 11:31,N70,GS 7963
2023-03-06,11:15,At gate 10:41,N24,MU 501
2023-03-06,11:20,At gate 11:10,N10,DL 7886
2023-03-06,11:20,At gate 11:16,N26,MF 8655
2023-03-06,11:25,At gate 11:29,S11,CX 983
2023-03-06,11:45,At gate 11:50,N60,TG 600
2023-03-06,11:55,At gate 11:56,S33,AK 138
2023-03-06,11:55,At gate 11:18,N68,9C 8715
