date,time,status,stand,no
2023-05-17,23:15,At gate 00:55 (18/05/2023),S27,BR 2891
2023-05-17,23:55,At gate 00:56 (18/05/2023),S1,MM 067
2023-05-18,00:20,At gate 00:00,W124,UO 651
2023-05-18,01:05,At gate 01:02,D306L,UO 781
2023-05-18,01:10,At gate 00:45,S101,UO 663
2023-05-18,01:15,At gate 01:10,W125,UO 627
2023-05-18,01:25,At gate 01:39,S31,TK 9229
2023-05-18,02:00,At gate 01:53,N34,BI 3404
2023-05-18,03:10,At gate 03:25,R17,TK 9201
2023-05-18,04:20,At gate 03:59,W121L,CX 5765
2023-05-18,04:40,At gate 04:38,R13,UO 623
2023-05-18,05:00,At gate 04:33,N32,CX 829
2023-05-18,05:00,At gate 04:14,S23,UA 877
2023-05-18,05:10,At gate 05:25,S3,LX 9502
2023-05-18,05:35,At gate 08:05,N8,CX 865
2023-05-18,05:40,At gate 05:31,N6,TK 9222
2023-05-18,05:40,At gate 05:19,S4,MH 9211
2023-05-18,05:50,At gate 05:38,N60,AA 8902
2023-05-18,06:00,At gate 05:06,S1,AA 8931
2023-05-18,06:00,At gate 05:49,N142,UO 629
2023-05-18,06:05,At gate 05:46,W69,AA 8918
2023-05-18,06:15,At gate 06:54,N64,CX 270
2023-05-18,06:45,At gate 05:51,S33,AA 8934
2023-05-18,06:50,At gate 06:14,S45,AA 8885
2023-05-18,06:55,At gate 07:10,S43,LX 9510
2023-05-18,06:55,At gate 07:50,N62,CX 260
2023-05-18,06:55,At gate 06:45,N24,HX 1314
2023-05-18,07:15,At gate 07:07,N26,GA 876
2023-05-18,07:20,At gate 08:30,N36,LH 7014
2023-05-18,07:45,At gate 07:45,R15,TK 9226
2023-05-18,07:55,At gate 08:08,N32,CX 252
2023-05-18,08:10,At gate 08:17,N28,5J 272
2023-05-18,08:30,At gate 10:48,N10,5J 150
2023-05-18,08:50,At gate 08:48,N24,HX 1819
2023-05-18,08:55,At gate 09:03,W40,5J 240
2023-05-18,09:10,At gate 09:09,W63,AA 8944
2023-05-18,09:15,At gate 09:12,W44,CI 601
2023-05-18,09:45,At gate 09:49,S11,5J 110
2023-05-18,09:45,At gate 09:42,N62,FD 515
2023-05-18,09:50,At gate 09:29,N26,QF 8214
2023-05-18,09:55,At gate 09:37,N7,CX 407
2023-05-18,10:05,At gate 10:31,W48,TR 980
2023-05-18,10:05,At gate 09:46,N60,CI 903
2023-05-18,10:10,At gate 10:14,N28,PR 300
2023-05-18,10:10,At gate 10:04,N30,FD 508
2023-05-18,10:15,At gate 10:18,R16,HU 8510
2023-05-18,10:15,At gate 10:02,R14,UO 625
2023-05-18,10:25,At gate 10:04,S4,CX 738
2023-05-18,10:30,At gate 10:30,W65,CX 912
2023-05-18,10:30,At gate 10:11,S29,FM 3025
2023-05-18,10:50,At gate 10:44,W40,MU 2901
2023-05-18,10:55,At gate 10:36,N24,CX 6201
2023-05-18,11:00,At gate 10:35,S31,MU 721
2023-05-18,11:05,At gate 11:05,S1,CA 6507
2023-05-18,11:10,At gate 11:24,N9,AK 138
2023-05-18,11:15,At gate 11:06,S33,CA 101
2023-05-18,11:20,At gate 11:32,N5,SQ 874
2023-05-18,11:20,At gate 11:15,S41,MF 381
2023-05-18,11:30,At gate 11:11,N62,CZ 3075
2023-05-18,11:30,At gate 11:29,N30,CX 983
2023-05-18,11:30,At gate 11:42,R18,CX 5227
2023-05-18,11:30,At gate 10:39,W42,MF 8655
2023-05-18,11:35,At gate 11:25,N6,GS 7963
2023-05-18,11:40,At gate 11:32,R17,UO 131
2023-05-18,11:45,At gate 11:49,W44,WY 5902
2023-05-18,11:50,At gate 11:33,N70,CA 103
2023-05-18,11:50,At gate 11:37,S35,FM 3021
2023-05-18,11:55,At gate 11:38,N60,CA 3855
2023-05-18,12:10,At gate 12:14,N34,HX 1823
2023-05-18,12:10,At gate 11:59,W61,AA 8893
2023-05-18,12:15,At gate 11:49,W50,QR 5847
2023-05-18,12:20,At gate 12:34,W48,9C 8715
2023-05-18,12:20,At gate 12:18,N68,CZ 309
2023-05-18,12:25,At gate 12:27,S29,AC 9795
2023-05-18,12:25,Cancelled,,HU 7953
2023-05-18,12:25,At gate 12:11,D304R,UO 551
2023-05-18,12:30,At gate 15:11,N8,CX 238
2023-05-18,12:30,At gate 12:45,W63,CX 365
2023-05-18,12:30,At gate 12:27,N28,UA 7907
2023-05-18,12:40,At gate 12:09,N10,SC 4789
2023-05-18,12:55,At gate 12:52,S11,CI 909
2023-05-18,12:55,At gate 13:00,R13,CX 489
2023-05-18,12:55,At gate 13:09,W46,GA 9770
2023-05-18,13:00,At gate 13:02,S31,QF 8228
2023-05-18,13:00,At gate 12:51,S47,CX 431
2023-05-18,13:05,At gate 12:56,S23,CA 111
2023-05-18,13:15,At gate 13:01,S49,JL 7041
2023-05-18,13:20,At gate 13:01,R21,CX 906
2023-05-18,13:30,At gate 13:23,N7,HA 5001
2023-05-18,13:35,At gate 13:35,N24,BI 635
2023-05-18,13:40,At gate 15:05,N6,BA 031
2023-05-18,13:45,At gate 14:00,N70,HX 679
2023-05-18,13:50,At gate 15:03,W42,QR 5841
2023-05-18,13:50,At gate 13:51,W71,CX 973
2023-05-18,13:55,At gate 13:42,N5,SQ 892
2023-05-18,13:55,At gate 15:24,S49,CX 250
2023-05-18,14:00,At gate 13:29,N64,MH 9187
2023-05-18,14:05,At gate 14:53,N60,HO 3503
