date,time,status,stand,no
2023-05-27,22:00,At gate 01:08 (28/05/2023),S11,CX 979
2023-05-28,00:20,At gate 23:49 (27/05/2023),W123R,UO 651
2023-05-28,00:30,At gate 00:25,R15,UO 873
2023-05-28,01:05,At gate 01:16,W125,UO 781
2023-05-28,01:15,At gate 00:55,S106,UO 627
2023-05-28,01:25,At gate 01:29,N30,TK 9225
2023-05-28,02:00,At gate 01:21,N143,BI 3404
2023-05-28,03:10,At gate 02:15,W124,TK 9201
2023-05-28,04:40,At gate 04:12,S105,UO 623
2023-05-28,05:00,At gate 04:54,N32,CX 811
2023-05-28,05:00,At gate 04:40,S1,CX 829
2023-05-28,05:00,At gate 05:20,S23,UA 877
2023-05-28,05:10,At gate 05:08,N26,BA 4134
2023-05-28,05:35,At gate 05:09,S3,CX 865
2023-05-28,05:40,At gate 05:32,S35,TK 9222
2023-05-28,05:40,At gate 05:49,S29,MH 9211
2023-05-28,05:50,At gate 05:56,N6,AA 8902
2023-05-28,06:00,At gate 05:42,S41,AA 8931
2023-05-28,06:05,At gate 06:36,N62,AA 8918
2023-05-28,06:15,At gate 06:38,W63,CX 270
2023-05-28,06:25,At gate 06:16,W48,CX 234
2023-05-28,06:45,At gate 06:32,N7,AA 8934
2023-05-28,06:50,At gate 06:21,W69,AA 8885
2023-05-28,06:55,At gate 07:13,S33,LX 9510
2023-05-28,06:55,At gate 07:06,W50,CX 260
2023-05-28,07:15,At gate 07:57,N70,GA 876
2023-05-28,07:20,At gate 07:37,N26,LH 7014
2023-05-28,07:30,At gate 08:14,N142,BA 4146
2023-05-28,07:30,At gate 07:41,W42,QF 8237
2023-05-28,07:40,At gate 07:56,N36,CX 216
2023-05-28,07:45,At gate 07:44,R19,TK 9226
2023-05-28,07:55,At gate 08:06,W65,CX 252
2023-05-28,08:05,At gate 08:03,N9,CX 662
2023-05-28,08:10,At gate 07:53,N10,5J 272
2023-05-28,08:30,At gate 08:18,S11,5J 150
2023-05-28,08:50,At gate 09:02,S27,HX 1819
2023-05-28,08:55,At gate 09:04,S29,5J 240
2023-05-28,09:10,At gate 08:47,W71,AA 8944
2023-05-28,09:15,At gate 09:06,N24,CI 601
2023-05-28,09:45,At gate 09:51,S41,5J 110
2023-05-28,09:45,At gate 09:41,S25,FD 515
2023-05-28,09:50,At gate 09:51,W48,QF 8214
2023-05-28,09:55,At gate 09:54,S2,CX 407
2023-05-28,09:55,At gate 09:31,N60,CX 624
2023-05-28,10:05,At gate 09:55,N68,TR 980
2023-05-28,10:05,At gate 09:59,N28,CI 903
2023-05-28,10:10,At gate 10:02,N9,PR 300
2023-05-28,10:10,At gate 10:06,N10,FD 508
2023-05-28,10:15,At gate 10:04,R19,HU 8510
2023-05-28,10:15,At gate 09:42,R21,UO 625
2023-05-28,10:30,At gate 11:11,N6,AF 8405
2023-05-28,10:30,At gate 10:08,N70,CX 912
2023-05-28,10:30,At gate 10:17,S11,FM 3025
2023-05-28,10:50,At gate 10:44,S27,MU 2901
2023-05-28,10:55,At gate 10:41,R15,CX 6201
2023-05-28,11:00,At gate 10:40,N30,DL 7886
2023-05-28,11:00,At gate 10:36,S29,MU 721
2023-05-28,11:05,At gate 11:01,W46,CA 6507
2023-05-28,11:10,At gate 11:35,N10,AK 138
2023-05-28,11:15,At gate 11:13,N32,CA 101
2023-05-28,11:20,At gate 11:20,N5,SQ 874
2023-05-28,11:20,At gate 11:12,N7,MF 381
2023-05-28,11:30,At gate 11:01,N24,CZ 3075
2023-05-28,11:30,At gate 11:26,W44,CX 983
2023-05-28,11:30,At gate 11:25,W122R,CX 5227
2023-05-28,11:30,At gate 11:01,S31,MF 8655
2023-05-28,11:40,At gate 11:28,R18,UO 131
2023-05-28,11:45,At gate 11:49,W40,WY 5902
2023-05-28,11:50,At gate 11:20,N34,CA 103
2023-05-28,11:50,At gate 11:40,N36,FM 3021
2023-05-28,11:55,At gate 11:28,N9,CA 3855
2023-05-28,12:10,At gate 12:21,S25,HX 1823
2023-05-28,12:10,At gate 12:10,N68,AA 8893
2023-05-28,12:15,At gate 11:52,S41,QR 5847
2023-05-28,12:20,At gate 12:18,S11,9C 8715
2023-05-28,12:20,At gate 12:31,N66,CZ 309
2023-05-28,12:25,At gate 12:26,W122L,UO 551
2023-05-28,12:30,At gate 12:24,N62,CX 365
2023-05-28,12:30,At gate 12:19,N28,UA 7907
2023-05-28,12:40,At gate 13:34,W40,SC 4789
2023-05-28,12:55,At gate 12:44,N10,CI 909
2023-05-28,12:55,At gate 12:35,R15,CX 489
2023-05-28,12:55,At gate 13:20,W50,GA 9770
2023-05-28,13:00,At gate 12:40,S27,QF 8228
2023-05-28,13:00,At gate 13:07,N30,CX 431
2023-05-28,13:05,At gate 12:46,W42,CA 111
2023-05-28,13:05,At gate 12:40,N64,QR 3459
2023-05-28,13:05,At gate 13:07,R13,CX 5821
2023-05-28,13:15,At gate 12:56,S4,JL 7041
2023-05-28,13:15,At gate 13:35,S31,UL 2772
2023-05-28,13:20,At gate 12:48,W69,CX 906
2023-05-28,13:30,At gate 13:13,N34,ZH 9085
2023-05-28,13:30,At gate 13:12,N24,HA 5001
2023-05-28,13:35,At gate 13:37,N32,BI 635
2023-05-28,13:40,At gate 14:19,S23,BA 031
2023-05-28,13:40,At gate 13:40,R19,HB 503
2023-05-28,13:45,At gate 14:20,R18,HX 679
2023-05-28,13:50,At gate 13:11,S45,QR 5841
2023-05-28,13:50,At gate 14:10,W71,CX 973
2023-05-28,13:55,At gate 13:55,N5,SQ 892
2023-05-28,13:55,At gate 14:27,S47,CX 250
2023-05-28,14:00,At gate 13:46,N36,AC 9794
2023-05-28,14:00,At gate 14:03,S3,MH 9187
2023-05-28,14:00,At gate 13:43,S1,CA 6523
2023-05-28,14:05,At gate 14:00,S35,HO 3503
2023-05-28,14:10,At gate 14:18,W48,BR 2897
2023-05-28,14:10,At gate 13:54,S2,AA 8890
2023-05-28,14:15,At gate 14:36,S25,CX 363
2023-05-28,14:20,At gate 14:29,S11,AA 8904
2023-05-28,14:20,At gate 14:07,N66,BA 4570
2023-05-28,14:25,At gate 13:45,N6,CA 419
2023-05-28,14:25,At gate 14:32,N30,HX 1825
2023-05-28,14:35,At gate 14:41,N10,FD 500
2023-05-28,14:40,At gate 13:55,W67,JL 7043
2023-05-28,14:45,At gate 14:43,R17,HU 8358
2023-05-28,14:55,At gate 14:02,S29,ET 644
2023-05-28,14:55,At gate 14:21,S105,MU 503
2023-05-28,15:00,At gate 16:40,S109,HU 8051
2023-05-28,15:00,At gate 14:53,N64,AA 8908
2023-05-28,15:00,At gate 14:33,N60,VN 592
2023-05-28,15:05,At gate 15:22,S43,AA 8909
2023-05-28,15:05,At gate 15:23,S31,JU 8319
2023-05-28,15:10,At gate 14:47,N34,CX 5173
2023-05-28,15:15,At gate 14:44,W40,AC 9786
2023-05-28,15:20,At gate 15:01,S41,CX 495
2023-05-28,15:25,At gate 15:59,S27,NZ 4212
2023-05-28,15:30,At gate 15:03,R14,UO 601
2023-05-28,15:30,At gate 15:22,R13,UO 619
2023-05-28,15:40,At gate 15:09,W121L,UO 111
2023-05-28,15:45,At gate 15:49,N24,CX 256
2023-05-28,15:50,At gate 15:21,S104,CA 3361
2023-05-28,15:55,At gate 15:26,N28,CA 105
2023-05-28,15:55,At gate 15:42,W48,CA 427
2023-05-28,15:55,At gate 15:30,S103,HX 1201
2023-05-28,15:55,At gate 16:07,W126,UO 761
2023-05-28,15:55,At gate 15:37,W42,GJ 8053
2023-05-28,16:00,At gate 15:50,S35,CX 349
2023-05-28,16:00,At gate 16:23,R21,UO 851
2023-05-28,16:00,At gate 15:44,N10,FM 3023
2023-05-28,16:05,At gate 16:01,N6,MF 9039
2023-05-28,16:05,At gate 16:10,N30,TG 5867
2023-05-28,16:15,At gate 16:14,N32,TK 8721
2023-05-28,16:15,At gate 16:19,S3,CX 367
2023-05-28,16:15,At gate 16:00,W69,MF 8713
2023-05-28,16:20,At gate 17:39,W42,MF 8651
2023-05-28,16:25,At gate 16:21,N68,CA 109
2023-05-28,16:25,At gate 16:21,W123R,UO 133
2023-05-28,16:30,At gate 16:28,N9,CI 915
2023-05-28,16:30,At gate 15:58,W50,QF 8232
2023-05-28,16:30,At gate 16:45,N8,AA 8950
2023-05-28,16:35,At gate 16:17,S106,MU 5015
2023-05-28,16:35,At gate 16:55,N7,BA 027
2023-05-28,16:45,At gate 16:07,R19,JL 7069
2023-05-28,16:45,At gate 17:10,N36,QR 5837
2023-05-28,16:45,At gate 17:14,S29,CX 6630
2023-05-28,16:50,At gate 16:27,R17,9C 8921
2023-05-28,16:55,At gate 16:35,S47,CA 6521
