date,time,status,stand,no
2023-03-05,00:20,At gate 00:21,S27,CX 5781
2023-03-05,00:45,At gate 01:22,S11,MM 067
2023-03-05,00:55,At gate 00:40,N141,CX 5627
2023-03-05,01:40,At gate 01:48,N10,HX 766
2023-03-05,03:20,At gate 03:28,S109,AI 7175
2023-03-05,05:00,At gate 04:15,S2,BA 4134
2023-03-05,05:00,At gate 08:40 (06/03/2023),S43,CX 829D
2023-03-05,05:05,At gate 04:48,S1,MH 9185
2023-03-05,05:20,At gate 05:03,N30,AA 8902
2023-03-05,05:55,At gate 05:22,S11,TK 9222
2023-03-05,06:00,At gate 06:25,W48,CX 640
2023-03-05,06:00,At gate 06:44,W71,QR 3478
2023-03-05,06:00,At gate 06:23,S3,CX 865
2023-03-05,06:00,At gate 05:59,N62,UA 877
2023-03-05,06:10,At gate 06:24,N6,MH 9183
2023-03-05,06:15,At gate 06:24,N8,JL 7932
2023-03-05,06:30,At gate 06:10,N28,CX 234
2023-03-05,06:40,At gate 07:59,S35,CX 662
2023-03-05,07:00,At gate 06:55,W44,JL 7902
2023-03-05,07:05,At gate 06:29,N64,IB 1960
2023-03-05,07:10,At gate 07:22,S43,LH 7014
2023-03-05,07:15,At gate 07:10,W69,HX 1946
2023-03-05,07:20,At gate 07:07,N24,CX 260
2023-03-05,07:20,At gate 07:50,N9,CX 270
2023-03-05,07:20,At gate 07:37,N66,CX 881
2023-03-05,07:40,At gate 07:49,S1,BA 4144
2023-03-05,07:40,At gate 07:40,S25,CX 252
2023-03-05,07:50,At gate 07:41,W50,CX 216
2023-03-05,08:10,At gate 07:59,N7,5J 272
2023-03-05,09:20,At gate 09:04,N34,JL 7908
2023-03-05,09:25,At gate 09:21,W67,CX 624
2023-03-05,09:35,At gate 09:52,N5,JL 7912
2023-03-05,09:45,At gate 09:45,W40,5J 110
2023-03-05,09:55,At gate 10:00,S11,CI 903
2023-03-05,10:05,At gate 10:14,N10,SQ 8632
2023-03-05,10:05,At gate 10:03,N24,HX 1821
2023-03-05,10:15,At gate 09:53,N8,PR 300
2023-03-05,10:25,At gate 10:26,N68,CX 912
2023-03-05,10:50,At gate 10:49,R15,UO 625
2023-03-05,10:55,At gate 10:55,N26,Z2 1264
2023-03-05,11:00,At gate 10:40,S35,CX 738
2023-03-05,11:20,At gate 11:21,N6,DL 7886
2023-03-05,11:20,At gate 11:03,S29,MF 8655
2023-03-05,11:25,At gate 11:24,S2,CX 983
2023-03-05,11:45,At gate 11:50,W42,TG 600
2023-03-05,11:55,At gate 12:01,N28,AK 138
2023-03-05,11:55,At gate 11:26,N60,9C 8715
2023-03-05,12:05,At gate 11:56,R21,CX 5115
2023-03-05,12:05,At gate 12:21,S31,MF 381
2023-03-05,12:10,At gate 12:00,N24,HX 1823
2023-03-05,12:10,At gate 12:23,S33,MF 8695
2023-03-05,12:20,At gate 11:43,N10,CZ 3075
2023-03-05,12:20,At gate 12:15,N9,MU 503
2023-03-05,12:25,At gate 12:27,S23,SQ 882
2023-03-05,12:30,At gate 12:15,N7,CZ 309
2023-03-05,12:50,At gate 12:48,N26,CI 909
2023-03-05,12:50,At gate 12:40,N70,CX 489
2023-03-05,12:55,At gate 12:54,N36,CX 431
2023-03-05,12:55,At gate 12:58,N62,AY 6632
2023-03-05,13:00,At gate 12:33,W61,JL 7051
2023-03-05,13:05,At gate 12:41,N8,CX 6111
