date,time,status,stand,no
2023-05-12,00:20,At gate 00:13,S111,UO 651
2023-05-12,01:05,At gate 01:08,S108,UO 781
2023-05-12,01:15,At gate 00:58,N62,UO 627
2023-05-12,01:25,At gate 01:34,N10,TK 9225
2023-05-12,02:00,At gate 01:53,R18,BI 3404
2023-05-12,03:10,At gate 02:39,N7,TK 9201
2023-05-12,04:40,At gate 04:37,S27,UO 623
2023-05-12,05:00,At gate 05:15,S1,CX 811
2023-05-12,05:00,At gate 05:31,N30,UA 877
2023-05-12,05:10,At gate 04:56,N26,BA 4134
2023-05-12,05:15,At gate 05:45,S2,CX 676
2023-05-12,05:35,At gate 05:36,S23,CX 865
2023-05-12,05:40,At gate 05:44,N60,TK 9222
2023-05-12,05:40,At gate 05:23,N32,MH 9211
2023-05-12,05:50,At gate 05:28,W40,AA 8902
2023-05-12,06:05,At gate 06:04,S43,AA 8918
2023-05-12,06:45,At gate 07:08,S3,AA 8934
2023-05-12,06:55,At gate 07:18,S47,LX 9510
2023-05-12,06:55,At gate 07:14,N5,CX 260
2023-05-12,07:30,At gate 07:44,N36,BA 4146
2023-05-12,07:40,At gate 08:49,N64,CX 216
2023-05-12,07:45,At gate 07:30,W71,TK 9226
2023-05-12,07:55,At gate 07:57,N66,CX 252
2023-05-12,08:05,At gate 07:40,S33,CX 662
2023-05-12,08:10,At gate 09:06,N24,5J 272
2023-05-12,08:15,At gate 08:57,R16,HX 782
2023-05-12,08:30,At gate 08:28,S27,5J 150
2023-05-12,08:50,At gate 09:21,S31,HX 1819
2023-05-12,08:55,At gate 09:23,S29,5J 240
2023-05-12,09:10,At gate 09:07,R15,CX 449
2023-05-12,09:10,At gate 08:46,W42,AA 8944
2023-05-12,09:15,At gate 09:25,S45,CI 601
2023-05-12,09:45,At gate 09:54,W48,5J 110
2023-05-12,09:45,At gate 09:25,S25,FD 515
2023-05-12,09:50,At gate 09:10,W67,QF 8214
2023-05-12,09:55,At gate 02:26 (13/05/2023),S1,CX 624
2023-05-12,10:05,At gate 10:06,S33,TR 980
2023-05-12,10:05,At gate 09:55,N28,CI 903
2023-05-12,10:10,At gate 09:57,N9,PR 300
2023-05-12,10:10,At gate 10:08,S27,FD 508
2023-05-12,10:15,At gate 10:02,N34,HU 8510
2023-05-12,10:15,At gate 10:10,R19,UO 625
2023-05-12,10:30,At gate 10:48,N6,AF 8405
2023-05-12,10:30,At gate 10:16,N68,CX 912
2023-05-12,10:30,At gate 10:32,S29,FM 3025
2023-05-12,10:50,At gate 10:44,S31,MU 2901
2023-05-12,10:55,At gate 10:46,S11,CX 6201
2023-05-12,11:00,At gate 10:47,N26,DL 7886
2023-05-12,11:00,At gate 10:32,N62,FM 3001
2023-05-12,11:05,At gate 10:59,N66,CA 6507
2023-05-12,11:10,At gate 11:11,N7,AK 138
2023-05-12,11:15,At gate 11:03,W71,CA 101
2023-05-12,11:20,At gate 11:08,N8,SQ 874
2023-05-12,11:20,At gate 11:17,W65,MF 381
2023-05-12,11:30,At gate 11:55,N32,CX 983
2023-05-12,11:30,At gate 11:40,S27,CX 5227
2023-05-12,11:30,At gate 11:09,S25,MF 8655
2023-05-12,11:40,At gate 11:21,R17,UO 131
2023-05-12,11:45,At gate 11:33,W63,WY 5902
2023-05-12,11:50,At gate 11:30,S33,CA 103
2023-05-12,11:50,At gate 11:24,S43,MU 2067
2023-05-12,11:50,At gate 11:40,N9,FM 3021
2023-05-12,11:55,At gate 11:42,N28,CA 3855
2023-05-12,12:10,At gate 12:36,S29,HX 1823
2023-05-12,12:10,At gate 12:04,W44,AA 8893
2023-05-12,12:15,At gate 12:07,S1,QR 5847
2023-05-12,12:20,At gate 12:07,N60,9C 8715
2023-05-12,12:20,At gate 12:30,S23,CZ 309
2023-05-12,12:25,At gate 12:19,S35,AC 9795
2023-05-12,12:25,At gate 12:10,W46,UO 551
2023-05-12,12:30,At gate 12:32,S41,CX 365
2023-05-12,12:30,At gate 12:26,N30,UA 7907
2023-05-12,12:40,At gate 12:20,S45,SC 4789
2023-05-12,12:55,At gate 12:54,S25,CI 909
2023-05-12,12:55,At gate 12:42,R14,CX 489
2023-05-12,12:55,At gate 13:44,S11,GA 9770
2023-05-12,13:00,At gate 12:44,S4,QF 8228
2023-05-12,13:00,At gate 13:07,W63,CX 431
2023-05-12,13:05,At gate 12:50,N8,CA 111
2023-05-12,13:05,At gate 12:37,W61,QR 3459
2023-05-12,13:05,At gate 13:47,R15,CX 5821
2023-05-12,13:15,At gate 12:54,W65,JL 7041
2023-05-12,13:15,At gate 14:03,N24,UL 2772
2023-05-12,13:20,At gate 12:55,R13,CX 906
2023-05-12,13:30,At gate 13:35,N26,HA 5001
2023-05-12,13:35,At gate 13:26,S27,BI 635
2023-05-12,13:40,At gate 14:11,N6,BA 031
2023-05-12,13:45,At gate 13:53,S33,HX 679
2023-05-12,13:50,At gate 13:39,W42,QR 5841
2023-05-12,13:55,At gate 13:47,N5,SQ 892
