date,time,status,stand,no
2023-06-08,00:20,At gate 00:13,N142,UO 651
2023-06-08,01:15,At gate 01:14,R13,UO 627
2023-06-08,01:25,At gate 02:02,N141,TK 9229
2023-06-08,02:00,At gate 01:57,R21,BI 3404
2023-06-08,03:10,At gate 02:47,S25,TK 9201
2023-06-08,04:40,At gate 04:21,S108,UO 623
2023-06-08,05:00,At gate 04:18,S4,CX 829
2023-06-08,05:00,At gate 05:08,N5,UA 877
2023-06-08,05:10,At gate 05:04,N24,LX 9502
2023-06-08,05:35,At gate 05:25,S2,CX 865
2023-06-08,05:40,At gate 05:41,R16,TK 9222
2023-06-08,05:40,At gate 05:15,N6,MH 9211
2023-06-08,05:50,At gate 05:37,N7,AA 8902
2023-06-08,06:00,At gate 06:11,N32,AA 8931
2023-06-08,06:00,At gate 05:45,D306L,UO 629
2023-06-08,06:05,At gate 06:32,N9,CX 270
2023-06-08,06:05,At gate 05:45,S31,AA 8918
2023-06-08,06:45,At gate 06:58,S4,CX 260
2023-06-08,06:45,At gate 07:03,N34,AA 8934
2023-06-08,06:50,At gate 06:24,W42,AA 8885
2023-06-08,06:55,At gate 07:06,N60,LX 9510
2023-06-08,06:55,At gate 06:44,S47,ET 1760
2023-06-08,07:10,At gate 07:58,W46,LH 7014
2023-06-08,07:15,At gate 07:11,S35,GA 876
2023-06-08,07:40,At gate 08:03,S45,CX 252
2023-06-08,07:45,At gate 07:48,R14,TK 9226
2023-06-08,08:10,At gate 08:20,N10,5J 272
2023-06-08,08:30,At gate 08:31,S25,5J 150
2023-06-08,08:50,At gate 09:13,N32,HX 1819
2023-06-08,09:10,At gate 09:00,N64,AA 8944
2023-06-08,09:15,At gate 09:27,S33,CI 601
2023-06-08,09:45,At gate 11:33,W65,5J 110
2023-06-08,09:45,At gate 09:53,N7,FD 515
2023-06-08,09:50,At gate 09:51,W44,QF 8214
2023-06-08,09:55,At gate 10:25,N60,CX 407
2023-06-08,10:05,At gate 10:18,S27,TR 980
2023-06-08,10:05,At gate 09:46,S23,CI 903
2023-06-08,10:10,At gate 10:30,N10,FD 508
2023-06-08,10:15,At gate 10:03,R14,HU 8510
2023-06-08,10:15,At gate 10:06,R15,UO 625
2023-06-08,10:30,At gate 10:19,S43,CX 912
2023-06-08,10:30,At gate 10:11,S31,FM 3025
2023-06-08,10:40,At gate 10:27,S3,CX 738
2023-06-08,10:55,At gate 10:46,S25,CX 6201
2023-06-08,11:00,At gate 10:42,S11,FM 3001
2023-06-08,11:05,At gate 10:41,S1,CA 6507
2023-06-08,11:10,At gate 11:34,S29,AK 138
2023-06-08,11:15,At gate 10:56,N6,CA 101
2023-06-08,11:20,At gate 11:26,N8,SQ 874
2023-06-08,11:25,At gate 11:53,N10,PR 300
2023-06-08,11:30,At gate 11:13,N28,CZ 3075
2023-06-08,11:30,At gate 11:37,N70,CX 983
2023-06-08,11:30,At gate 11:45,R16,CX 5227
2023-06-08,11:30,At gate 11:45,S35,MF 8655
2023-06-08,11:35,At gate 11:05,N26,GS 7963
2023-06-08,11:40,At gate 12:13,R17,UO 131
2023-06-08,11:45,At gate 11:44,N62,WY 5902
2023-06-08,11:50,At gate 11:21,S33,CA 103
2023-06-08,11:50,At gate 11:51,N7,FM 3021
2023-06-08,12:10,At gate 12:40,N36,HX 1823
2023-06-08,12:10,At gate 11:59,N66,AA 8893
2023-06-08,12:15,At gate 11:58,W63,QR 5847
2023-06-08,12:20,At gate 11:48,S49,9C 8715
2023-06-08,12:20,At gate 12:03,N32,CZ 309
2023-06-08,12:25,At gate 12:19,N68,AC 9795
2023-06-08,12:25,At gate 12:19,R18,UO 551
2023-06-08,12:30,At gate 12:26,W67,CX 365
2023-06-08,12:30,At gate 12:28,N34,UA 7907
2023-06-08,12:40,At gate 12:07,S47,SC 4789
2023-06-08,12:55,At gate 13:06,S25,CI 909
2023-06-08,12:55,At gate 13:46,R20,CX 489
2023-06-08,12:55,At gate 13:01,S11,GA 9770
2023-06-08,13:00,At gate 12:46,S41,QF 8228
2023-06-08,13:00,At gate 15:20,W67,CX 431
2023-06-08,13:05,At gate 12:36,N5,CA 111
2023-06-08,13:05,At gate 13:49,R14,CX 5821
2023-06-08,13:15,At gate 12:57,S2,JL 7041
2023-06-08,13:15,At gate 13:31,N24,UL 2772
2023-06-08,13:20,At gate 12:52,W48,CX 906
2023-06-08,13:30,At gate 13:27,S43,ZH 9085
2023-06-08,13:30,At gate 14:02,N6,HA 5001
2023-06-08,13:35,At gate 13:35,N28,BI 635
2023-06-08,13:40,At gate 13:49,N60,CX 250
2023-06-08,13:40,At gate 14:04,N7,BA 031
2023-06-08,13:45,At gate 13:39,R13,HX 679
2023-06-08,13:50,At gate 13:35,N8,QR 5841
2023-06-08,13:50,At gate 14:18,W69,CX 973
2023-06-08,13:55,At gate 13:56,S23,SQ 892
2023-06-08,14:00,At gate 13:42,W65,MH 9187
2023-06-08,14:05,At gate 14:12,S29,HO 3503
2023-06-08,14:10,At gate 14:19,S35,BR 2897
2023-06-08,14:10,At gate 13:51,N30,OM 5618
2023-06-08,14:15,At gate 14:29,N64,CX 363
2023-06-08,14:20,At gate 14:08,W50,BA 4570
2023-06-08,14:20,At gate 14:10,N10,VN 594
2023-06-08,14:25,At gate 13:58,S47,CA 419
2023-06-08,14:25,At gate 14:19,N36,HX 1825
