date,time,status,stand,no
2023-05-07,00:20,At gate 00:36,W44,UO 651
2023-05-07,00:30,At gate 00:08,R16,UO 873
2023-05-07,01:05,At gate 01:08,R21,UO 781
2023-05-07,01:15,At gate 01:07,S105,UO 627
2023-05-07,01:25,At gate 01:33,N142,TK 9225
2023-05-07,02:00,At gate 02:25,N10,BI 3404
2023-05-07,03:10,At gate 02:38,S25,TK 9201
2023-05-07,04:20,At gate 04:02,R17,CX 5765
2023-05-07,04:40,At gate 04:36,N144,UO 623
2023-05-07,05:00,At gate 05:11,N7,CX 811
2023-05-07,05:00,At gate 04:43,S3,CX 829
2023-05-07,05:00,At gate 04:58,S31,UA 877
2023-05-07,05:10,At gate 05:50,N6,BA 4134
2023-05-07,05:35,At gate 05:14,S4,CX 865
2023-05-07,05:40,At gate 05:35,S23,TK 9222
2023-05-07,05:40,At gate 05:28,S2,MH 9211
2023-05-07,05:50,At gate 05:33,N8,AA 8902
2023-05-07,06:00,At gate 06:10,W61,AA 8931
2023-05-07,06:05,At gate 05:46,S33,AA 8918
2023-05-07,06:15,At gate 06:53,S43,CX 270
2023-05-07,06:25,At gate 06:11,S41,CX 234
2023-05-07,06:45,At gate 06:38,W69,AA 8934
2023-05-07,06:55,At gate 07:20,W42,LX 9510
2023-05-07,06:55,At gate 09:33,S25,CX 260
2023-05-07,07:00,At gate 06:44,S47,AA 8888
2023-05-07,07:15,At gate 07:10,W50,GA 876
2023-05-07,07:20,At gate 07:56,N26,LH 7014
2023-05-07,07:30,At gate 08:07,W44,BA 4146
2023-05-07,07:30,At gate 07:24,W40,QF 8237
2023-05-07,07:40,At gate 07:50,S45,CX 216
2023-05-07,07:45,At gate 08:00,R15,TK 9226
2023-05-07,07:55,At gate 08:19,N60,CX 252
2023-05-07,08:05,At gate 08:10,S27,CX 662
2023-05-07,08:10,At gate 08:29,N7,5J 272
2023-05-07,08:30,At gate 08:25,N8,5J 150
2023-05-07,08:50,At gate 09:10,N30,HX 1819
2023-05-07,08:55,At gate 08:50,N9,5J 240
2023-05-07,09:10,At gate 08:44,N66,AA 8944
2023-05-07,09:15,At gate 09:10,S23,CI 601
2023-05-07,09:45,At gate 13:39,N28,5J 110A
2023-05-07,09:45,At gate 09:45,N24,FD 515
2023-05-07,09:50,At gate 09:35,W69,QF 8214
2023-05-07,09:55,At gate 09:52,W65,CX 407
2023-05-07,09:55,At gate 09:41,W61,CX 624
2023-05-07,09:55,At gate 10:13,R18,CX 5697
2023-05-07,10:05,At gate 09:41,N34,TR 980
2023-05-07,10:05,At gate 10:01,S27,CI 903
2023-05-07,10:10,At gate 09:57,N8,PR 300
2023-05-07,10:10,At gate 10:18,N9,FD 508
2023-05-07,10:15,At gate 10:21,R16,HU 8510
2023-05-07,10:15,At gate 10:17,R19,UO 625
2023-05-07,10:20,At gate 10:10,W50,MU 2901
2023-05-07,10:25,At gate 10:16,S41,CX 738
2023-05-07,10:30,At gate 11:51,N26,AF 8405
2023-05-07,10:30,At gate 10:33,W67,CX 912
2023-05-07,10:30,At gate 10:06,W48,FM 3025
2023-05-07,10:55,At gate 10:39,N10,CX 6201
2023-05-07,11:00,At gate 10:52,S29,DL 7886
2023-05-07,11:00,At gate 10:42,N5,MU 721
2023-05-07,11:05,At gate 11:23,W71,CA 6507
2023-05-07,11:10,At gate 11:31,N9,AK 138
2023-05-07,11:15,At gate 11:08,S23,CA 101
2023-05-07,11:20,At gate 11:20,N6,SQ 874
2023-05-07,11:20,At gate 11:10,W42,MF 381
2023-05-07,11:30,At gate 11:00,W46,CZ 3075
2023-05-07,11:30,At gate 14:13,S23,CX 983
2023-05-07,11:30,At gate 11:43,R18,CX 5227
2023-05-07,11:30,At gate 10:37,N30,MF 8655
2023-05-07,11:40,At gate 11:32,R17,UO 131
2023-05-07,11:45,At gate 11:51,N62,WY 5902
2023-05-07,11:50,At gate 11:40,N28,CA 103
2023-05-07,11:50,At gate 11:43,S27,FM 3021
2023-05-07,11:55,At gate 17:40,W48,CA 3855
2023-05-07,12:10,At gate 12:41,N24,HX 1823
2023-05-07,12:10,At gate 12:16,W50,AA 8893
2023-05-07,12:15,At gate 12:01,N64,QR 5847
2023-05-07,12:20,At gate 12:06,N34,9C 8715
2023-05-07,12:20,At gate 12:24,S11,CZ 309
2023-05-07,12:25,At gate 12:14,W126,UO 551
2023-05-07,12:30,At gate 12:29,S1,CX 365
2023-05-07,12:30,At gate 12:35,S35,UA 7907
2023-05-07,12:40,At gate 12:32,N10,SC 4789
2023-05-07,12:55,At gate 13:19,N9,CI 909
2023-05-07,12:55,At gate 12:48,R14,CX 489
2023-05-07,12:55,At gate 13:12,N68,GA 9770
2023-05-07,13:00,At gate 13:14,N36,QF 8228
2023-05-07,13:00,At gate 12:58,S25,CX 431
2023-05-07,13:05,At gate 12:45,S29,CA 111
2023-05-07,13:05,At gate 12:56,W44,QR 3459
2023-05-07,13:05,At gate 13:14,R15,CX 5821
2023-05-07,13:15,At gate 12:53,W61,JL 7041
2023-05-07,13:15,At gate 14:37,S11,UL 2772
2023-05-07,13:20,At gate 13:30,R21,CX 906
2023-05-07,13:30,At gate 14:43,N24,HA 5001
2023-05-07,13:35,At gate 14:26,N6,BI 635
2023-05-07,13:40,At gate 14:42,N7,BA 031
2023-05-07,13:40,At gate 13:56,N62,HB 503
2023-05-07,13:50,At gate 13:19,S2,QR 5841
2023-05-07,13:50,At gate 14:06,S27,CX 973
2023-05-07,13:55,At gate 13:54,N5,SQ 892
2023-05-07,13:55,At gate 14:46,W67,CX 250
2023-05-07,14:00,At gate 14:21,N34,AC 9794
2023-05-07,14:00,At gate 13:51,N70,CA 6523
2023-05-07,14:05,At gate 14:15,N8,HO 3503
2023-05-07,14:10,At gate 14:36,R18,BR 2897
2023-05-07,14:10,At gate 13:53,S31,AA 8890
2023-05-07,14:15,At gate 14:24,N66,CX 363
2023-05-07,14:20,At gate 14:15,W63,AA 8904
2023-05-07,14:20,At gate 14:50,S33,BA 4570
2023-05-07,14:25,At gate 17:58,S27,CA 419
2023-05-07,14:25,At gate 14:38,N32,HX 1825
2023-05-07,14:35,At gate 15:20,S29,FD 500
2023-05-07,14:40,At gate 14:33,W46,JL 7043
2023-05-07,14:45,At gate 14:54,R17,HU 8358
2023-05-07,14:55,At gate 14:19,N30,ET 644
2023-05-07,14:55,At gate 22:18,R18,MU 503
2023-05-07,15:00,At gate 15:56,S25,HU 8051
2023-05-07,15:00,At gate 16:28,S43,LX 9500
2023-05-07,15:00,At gate 15:02,N64,AA 8908
2023-05-07,15:00,At gate 15:12,N10,VN 592
2023-05-07,15:05,At gate 15:28,S1,AA 8909
2023-05-07,15:05,At gate 15:29,N9,JU 8319
2023-05-07,15:10,At gate 15:21,R16,CX 5173
2023-05-07,15:15,At gate 15:07,S35,AC 9786
2023-05-07,15:20,At gate 16:15,S41,CX 495
2023-05-07,15:25,At gate 15:51,N26,NZ 4212
2023-05-07,15:30,At gate 15:56,N145,UO 601
2023-05-07,15:30,At gate 15:56,R19,UO 619
2023-05-07,15:40,At gate 16:06,N6,UO 111
2023-05-07,15:45,At gate 16:05,W65,CX 256
2023-05-07,15:50,At gate 17:22,W63,CA 3361
2023-05-07,15:55,At gate 16:28,N28,CA 105
2023-05-07,15:55,At gate 20:24,W48,CA 427
2023-05-07,15:55,At gate 18:26,S43,HX 1201
2023-05-07,15:55,At gate 16:41,R18,UO 761
2023-05-07,15:55,At gate 18:10,S35,GJ 8053
2023-05-07,16:00,At gate 16:59,S31,CX 349
2023-05-07,16:00,At gate 16:49,S45,UO 851
2023-05-07,16:00,At gate 16:52,W46,FM 3023
2023-05-07,16:05,At gate 16:38,S11,MF 9039
2023-05-07,16:05,At gate 16:22,W44,TG 5867
2023-05-07,16:15,At gate 16:06,W42,TK 8722
2023-05-07,16:15,At gate 16:24,N68,CX 367
2023-05-07,16:15,At gate 16:50,W40,MF 8713
2023-05-07,16:25,At gate 16:39,N32,CA 109
2023-05-07,16:25,At gate 17:02,W121L,UO 133
2023-05-07,16:30,At gate 17:02,S29,CI 915
2023-05-07,16:30,At gate 16:41,N5,QF 8232
2023-05-07,16:30,At gate 16:36,S4,AA 8950
2023-05-07,16:35,At gate 16:19,S49,MU 5015
2023-05-07,16:35,At gate 17:56,N6,BA 027
2023-05-07,16:45,At gate 16:50,S104,JL 7069
2023-05-07,16:45,At gate 17:14,W61,QR 5837
2023-05-07,16:45,At gate 17:09,N24,CX 6630
2023-05-07,16:50,At gate 18:28,S49,9C 8921
2023-05-07,16:55,At gate 16:38,S23,CA 6521
2023-05-07,17:00,At gate 17:15,N10,PR 306
2023-05-07,17:00,At gate 16:59,N36,CX 634
2023-05-07,17:15,At gate 16:55,W67,AA 8897
2023-05-07,17:15,At gate 17:27,W69,Z2 1264
2023-05-07,17:20,At gate 17:19,S1,MH 9196
2023-05-07,17:20,At gate 17:28,R16,UO 113
2023-05-07,17:25,At gate 17:18,W122L,CX 5631
2023-05-07,17:30,At gate 17:51,N28,QF 4224
2023-05-07,17:35,At gate 16:59,N66,CA 6511
2023-05-07,17:40,At gate 17:51,S25,FM 809
2023-05-07,17:40,At gate 18:29,N32,WE 5638
2023-05-07,17:40,At gate 17:09,S33,3U 3959
2023-05-07,17:45,At gate 17:36,N8,AY 099
2023-05-07,17:45,At gate 18:38,S29,CX 254
2023-05-07,17:45,At gate 17:54,R15,HX 659
2023-05-07,17:50,At gate 18:42,N10,MF 9421
2023-05-07,17:50,At gate 18:19,R19,CX 313
2023-05-07,17:50,At gate 18:26,W42,MF 8651
2023-05-07,17:55,At gate 18:05,S11,LY 8792
2023-05-07,17:55,At gate 18:13,N34,NZ 4850
2023-05-07,18:00,At gate 17:46,R20,HU 8083
2023-05-07,18:00,At gate 18:10,S102,HB 541
2023-05-07,18:05,At gate 18:01,S3,QF 8224
2023-05-07,18:05,At gate 17:49,N60,EK 384
2023-05-07,18:10,At gate 18:07,W50,5J 112
2023-05-07,18:15,At gate 18:19,S2,CX 951
2023-05-07,18:25,At gate 19:40,S31,HX 1831
2023-05-07,18:25,At gate 18:19,N143,CX 5643
2023-05-07,18:35,At gate 18:19,N70,MU 2569
2023-05-07,18:35,At gate 18:41,R17,HX 641
2023-05-07,18:50,At gate 18:38,W44,VJ 876
2023-05-07,18:55,At gate 19:02,W46,CI 919
2023-05-07,18:55,At gate 18:44,W40,QR 5803
2023-05-07,18:55,At gate 19:13,W71,CX 831
2023-05-07,19:00,At gate 18:57,W125,UO 621
2023-05-07,19:05,At gate 19:21,S33,FM 3013
2023-05-07,19:05,At gate 18:53,W69,FD 524
2023-05-07,19:10,At gate 19:43,W42,AK 239
2023-05-07,19:15,At gate 19:10,W63,JL 7057
2023-05-07,19:30,At gate 19:33,N36,QF 8258
2023-05-07,19:35,At gate 19:42,S27,CX 6898
2023-05-07,19:45,At gate 20:07,N142,HU 8360
2023-05-07,19:50,At gate 20:06,S101,HB 531
2023-05-07,19:55,At gate 20:41,N32,HX 693
2023-05-07,20:00,At gate 20:21,R18,AI 7161
2023-05-07,20:00,At gate 20:02,S35,QR 5843
2023-05-07,20:10,At gate 20:24,S11,CX 918
2023-05-07,20:10,At gate 20:04,R20,UO 899
2023-05-07,20:20,At gate 20:04,S25,CX 2734
2023-05-07,20:25,At gate 20:14,W50,BA 4574
2023-05-07,20:30,At gate 20:46,R16,HU 8210
2023-05-07,20:30,At gate 20:38,W44,CX 369
2023-05-07,20:35,At gate 20:13,N9,CA 6501
