date,time,status,stand,no
2023-04-21,00:25,At gate 00:50,S105,BI 3404
2023-04-21,00:30,At gate 00:28,R14,UO 863
2023-04-21,01:05,At gate 00:52,D301L,UO 781
2023-04-21,01:15,At gate 01:34,N144,UO 627
2023-04-21,01:25,At gate 01:39,S29,TK 9225
2023-04-21,03:10,At gate 03:07,S106,TK 9201
2023-04-21,04:00,At gate 04:07,R18,CX 5765
2023-04-21,04:40,At gate 05:12,R19,UO 623
2023-04-21,05:10,At gate 08:39,S2,BA 4134
2023-04-21,05:15,At gate 05:57,S1,CX 676
2023-04-21,05:35,At gate 05:26,S23,CX 865
2023-04-21,05:40,At gate 06:03,S11,TK 9222
2023-04-21,05:40,At gate 05:49,N6,MH 9211
2023-04-21,05:50,At gate 05:45,N30,AA 8902
2023-04-21,06:05,At gate 06:05,N32,AA 8918
2023-04-21,06:45,At gate 06:54,N60,AA 8934
2023-04-21,06:50,At gate 06:26,S49,AA 8885
2023-04-21,06:55,At gate 07:13,W67,LX 9510
2023-04-21,06:55,At gate 07:35,N62,CX 260
2023-04-21,07:15,At gate 07:32,N70,GA 876
2023-04-21,07:25,At gate 07:54,W63,LH 7014
2023-04-21,07:30,At gate 08:17,N8,BA 4146
2023-04-21,07:40,At gate 07:46,W44,CX 216
2023-04-21,07:45,At gate 07:47,R15,TK 9226
2023-04-21,07:55,At gate 08:17,N36,CX 252
2023-04-21,08:05,At gate 08:27,N24,CX 662
2023-04-21,08:10,At gate 08:31,N68,5J 272
2023-04-21,08:20,At gate 08:52,R20,HX 782
2023-04-21,08:50,At gate 09:27,N30,HX 1819
2023-04-21,08:55,At gate 09:12,N10,5J 240
2023-04-21,09:10,At gate 09:14,R19,CX 449
2023-04-21,09:10,At gate 09:04,S4,AA 8944
2023-04-21,09:15,At gate 09:30,N26,CI 601
2023-04-21,09:45,At gate 10:24,N60,5J 110
2023-04-21,09:45,At gate 09:38,N7,FD 515
2023-04-21,09:50,At gate 10:13,S35,QF 8214
2023-04-21,09:55,At gate 09:55,S25,CX 407
2023-04-21,09:55,At gate 09:25,W61,CX 624
2023-04-21,10:05,At gate 09:50,S43,TR 980
2023-04-21,10:05,At gate 10:13,N9,CI 903
2023-04-21,10:10,At gate 10:16,S41,PR 300
2023-04-21,10:10,At gate 10:02,N34,FD 508
2023-04-21,10:15,At gate 10:27,R16,HU 8510
2023-04-21,10:15,At gate 10:05,R15,UO 625
2023-04-21,10:20,At gate 09:53,N70,MU 2901
2023-04-21,10:25,At gate 10:21,S27,CX 738
2023-04-21,10:30,At gate 11:40,N26,AF 8405
2023-04-21,10:30,At gate 10:30,W69,CX 912
2023-04-21,10:30,At gate 10:17,N68,FM 3025
2023-04-21,10:55,At gate 10:52,W46,CX 6201
2023-04-21,11:00,At gate 10:50,S29,DL 7886
2023-04-21,11:00,At gate 10:37,S45,FM 3001
2023-04-21,11:05,At gate 10:55,S23,CA 6507
2023-04-21,11:10,At gate 11:25,N34,AK 138
2023-04-21,11:20,At gate 11:15,N7,SQ 874
2023-04-21,11:20,At gate 11:44,S43,MF 381
2023-04-21,11:30,At gate 11:23,S47,CA 3855
2023-04-21,11:30,At gate 11:16,W65,CX 983
2023-04-21,11:30,At gate 11:54,R18,CX 5227
2023-04-21,11:30,At gate 11:08,N10,MF 8655
2023-04-21,11:40,At gate 11:44,R17,UO 131
2023-04-21,11:45,At gate 11:52,N64,WY 5902
2023-04-21,11:50,At gate 11:29,W42,CA 103
2023-04-21,11:50,At gate 11:27,W48,MU 2067
2023-04-21,11:50,At gate 11:37,W67,FM 3021
2023-04-21,12:10,At gate 12:27,S31,HX 1823
2023-04-21,12:10,At gate 12:24,S11,PR 318
2023-04-21,12:10,At gate 11:51,N9,AA 8893
2023-04-21,12:15,At gate 12:02,S41,QR 5847
2023-04-21,12:20,At gate 12:10,N62,9C 8715
2023-04-21,12:20,At gate 12:21,W40,CZ 309
2023-04-21,12:25,At gate 12:21,S49,AC 9795
2023-04-21,12:30,At gate 12:44,N28,CX 365
2023-04-21,12:30,At gate 12:37,N34,UA 7907
2023-04-21,12:55,At gate 13:21,S47,CX 489
2023-04-21,12:55,At gate 13:10,S45,GA 9770
2023-04-21,13:00,At gate 12:47,W71,QF 8228
2023-04-21,13:00,At gate 12:48,N68,CX 431
2023-04-21,13:05,At gate 17:10,N6,CA 111
2023-04-21,13:05,At gate 12:41,W46,QR 3459
2023-04-21,13:05,At gate 13:10,R19,CX 5821
2023-04-21,13:15,At gate 12:56,W50,JL 7041
2023-04-21,13:15,At gate 13:39,N10,UL 2772
2023-04-21,13:20,At gate 13:11,R20,CX 906
2023-04-21,13:30,At gate 13:20,N7,HA 5001
2023-04-21,13:35,At gate 13:30,S29,BI 635
2023-04-21,13:40,At gate 14:23,N26,BA 031
2023-04-21,13:50,At gate 14:14,R21,BR 2897
2023-04-21,13:50,At gate 13:56,S3,QR 5841
2023-04-21,13:55,At gate 13:43,N60,SQ 892
2023-04-21,13:55,At gate 14:47,S31,CX 250
2023-04-21,14:00,At gate 13:34,R15,AC 9794
2023-04-21,14:00,At gate 14:14,N70,CA 6523
2023-04-21,14:05,At gate 13:51,N8,HO 3503
2023-04-21,14:10,At gate 14:04,S1,AA 8890
2023-04-21,14:15,At gate 14:53,S2,CX 363
2023-04-21,14:20,At gate 14:52,W40,AA 8904
2023-04-21,14:25,At gate 14:39,N62,CA 419
2023-04-21,14:25,At gate 14:43,N9,HX 1825
2023-04-21,14:35,At gate 14:47,W44,FD 500
2023-04-21,14:40,At gate 14:03,W67,JL 7043
2023-04-21,14:40,At gate 14:33,S11,CA 6536
2023-04-21,14:40,At gate 14:31,N143,CZ 635
2023-04-21,14:45,At gate 15:16,R17,HU 8358
2023-04-21,14:50,At gate 14:59,R16,UO 705
2023-04-21,14:55,At gate 14:39,S49,MU 503
2023-04-21,15:00,At gate 22:10,R16,HU 8051
2023-04-21,15:00,At gate 15:23,W65,LX 9500
2023-04-21,15:00,At gate 14:55,W69,AA 8908
2023-04-21,15:00,At gate 14:29,W42,VN 592
2023-04-21,15:05,At gate 15:26,S33,AA 8909
2023-04-21,15:05,At gate 14:42,N64,JU 8319
2023-04-21,15:10,At gate 15:20,R14,CX 608
2023-04-21,15:10,At gate 15:19,N145,CX 5173
2023-04-21,15:15,At gate 15:56,N62,AC 9786
2023-04-21,15:15,At gate 15:05,S111,HB 682
2023-04-21,15:20,At gate 15:01,W63,CX 495
2023-04-21,15:25,At gate 15:46,S29,NZ 4212
2023-04-21,15:30,At gate 15:25,R21,UO 601
2023-04-21,15:30,At gate 15:29,N34,UO 619
2023-04-21,15:40,At gate 16:06,N60,CX 256
2023-04-21,15:40,At gate 15:28,W48,UO 111
2023-04-21,15:45,At gate 15:42,N30,AE 5311
2023-04-21,15:50,At gate 15:38,N10,CA 3361
2023-04-21,15:55,At gate 15:42,N7,CA 105
2023-04-21,15:55,At gate 15:34,N8,CA 427
2023-04-21,15:55,At gate 15:35,S106,HX 1201
2023-04-21,15:55,At gate 16:08,W122L,UO 761
2023-04-21,15:55,At gate 17:57,N8,GJ 8053
2023-04-21,16:00,At gate 18:47,W44,CX 349
2023-04-21,16:00,At gate 15:55,N142,UO 851
2023-04-21,16:00,At gate 15:59,S101,FM 3023
2023-04-21,16:05,At gate 15:48,S105,MF 9039
2023-04-21,16:05,At gate 16:47,S41,TG 5867
2023-04-21,16:15,At gate 16:13,S43,TK 8722
2023-04-21,16:15,At gate 16:23,S49,CX 367
2023-04-21,16:15,At gate 17:48,R15,MF 8713
2023-04-21,16:25,At gate 16:22,S23,CA 109
2023-04-21,16:25,At gate 16:35,N9,UO 133
2023-04-21,16:30,At gate 16:38,N66,CI 915
2023-04-21,16:30,At gate 16:13,S45,QF 8232
2023-04-21,16:30,At gate 16:23,N24,AA 8950
2023-04-21,16:30,At gate 16:14,S109,HO 1305
2023-04-21,16:35,At gate 16:16,W44,MU 2093
2023-04-21,16:35,At gate 17:19,N7,BA 027
2023-04-21,16:45,At gate 16:30,N32,ET 608
2023-04-21,16:45,At gate 17:20,S3,QR 5837
2023-04-21,16:45,At gate 16:50,S27,CX 6630
2023-04-21,16:50,At gate 16:45,R18,MU 2089
2023-04-21,16:50,At gate 16:33,W121L,9C 8921
2023-04-21,16:55,At gate 16:41,S1,CA 6521
2023-04-21,17:00,At gate 17:42,N36,PR 306
2023-04-21,17:00,At gate 17:13,W63,CX 634
2023-04-21,17:15,At gate 16:54,S4,AA 8897
2023-04-21,17:15,At gate 17:02,N30,Z2 1264
2023-04-21,17:20,At gate 17:31,S2,MH 9196
2023-04-21,17:20,At gate 17:19,W126,UO 113
2023-04-21,17:30,At gate 17:34,S25,QF 4224
2023-04-21,17:35,At gate 17:21,W42,CA 6511
2023-04-21,17:35,At gate 17:23,W123R,UO 687
2023-04-21,17:40,At gate 17:35,N10,FM 845
2023-04-21,17:40,At gate 17:00,N68,3U 3959
2023-04-21,17:45,At gate 17:36,S33,AY 099
2023-04-21,17:45,At gate 17:44,W48,CX 254
2023-04-21,17:45,At gate 17:55,R14,HX 659
2023-04-21,17:50,Cancelled,,MF 9421
2023-04-21,17:50,At gate 18:11,R19,CX 313
2023-04-21,17:50,At gate 18:30,N5,LY 8792
2023-04-21,17:50,At gate 18:08,W69,MF 8651
2023-04-21,17:55,At gate 18:59,S23,NZ 4850
2023-04-21,18:00,At gate 17:48,R16,HU 8083
2023-04-21,18:05,At gate 19:10,S41,QF 8224
2023-04-21,18:05,At gate 17:40,N62,EK 384
2023-04-21,18:10,At gate 20:15,N24,5J 112
2023-04-21,18:25,At gate 18:35,W65,HX 1831
2023-04-21,18:30,At gate 18:25,N66,WE 5638
2023-04-21,18:30,At gate 18:36,S43,MF 8685
2023-04-21,18:35,At gate 18:15,N34,MU 2569
2023-04-21,18:35,At gate 18:23,S108,HX 641
2023-04-21,18:45,At gate 18:39,N6,UA 869
2023-04-21,18:50,At gate 18:24,S11,VJ 876
2023-04-21,18:55,At gate 18:59,N60,CI 919
2023-04-21,18:55,At gate 18:33,W71,QR 5803
2023-04-21,18:55,At gate 19:10,W40,CX 831
2023-04-21,19:00,At gate 19:03,W122R,UO 621
2023-04-21,19:05,At gate 19:49,R21,CX 947
2023-04-21,19:05,At gate 19:02,N30,FM 3013
2023-04-21,19:05,At gate 19:46,N10,FD 524
2023-04-21,19:10,At gate 20:43,S45,AK 239
2023-04-21,19:10,At gate 19:19,S103,UO 183
2023-04-21,19:15,At gate 22:21,S47,JL 7057
2023-04-21,19:20,At gate 20:30,R16,HX 776
2023-04-21,19:25,At gate 19:43,W63,CX 341
2023-04-21,19:30,At gate 19:14,S47,QF 8258
2023-04-21,19:35,At gate 20:07,S11,CX 6898
2023-04-21,19:40,At gate 19:38,R14,UO 849
2023-04-21,19:50,At gate 19:41,S111,HB 531
2023-04-21,19:55,At gate 20:00,S35,HX 693
2023-04-21,20:00,At gate 19:34,N144,AI 7161
2023-04-21,20:00,At gate 19:35,N28,QR 5843
2023-04-21,20:10,At gate 19:53,N70,CX 918
2023-04-21,20:10,At gate 20:22,W125,UO 701
2023-04-21,20:10,At gate 20:02,W121L,UO 899
2023-04-21,20:25,At gate 20:23,N9,BA 4574
2023-04-21,20:30,At gate 21:15,R17,HU 8210
2023-04-21,20:30,At gate 21:00,N34,CX 369
2023-04-21,20:35,At gate 20:46,N8,CA 6501
2023-04-21,20:35,At gate 20:20,S101,UO 639
2023-04-21,20:40,At gate 21:11,N10,AK 130
2023-04-21,20:45,At gate 20:46,W65,CX 473
2023-04-21,20:50,At gate 20:55,S43,CX 459
2023-04-21,20:50,At gate 21:30,S4,5J 114
2023-04-21,20:55,At gate 20:33,N36,TK 8875
2023-04-21,20:55,At gate 20:28,N66,QR 5815
2023-04-21,21:00,At gate 20:43,S109,UO 691
2023-04-21,21:00,At gate 20:58,R19,UO 871
2023-04-21,21:05,At gate 20:44,S105,CA 117
2023-04-21,21:05,At gate 21:43,N68,AA 8914
2023-04-21,21:10,At gate 21:20,R18,CX 5559
2023-04-21,21:20,At gate 21:36,N5,AA 8883
2023-04-21,21:25,At gate 21:23,S1,LX 9520
2023-04-21,21:30,At gate 21:38,W71,LA 5647
2023-04-21,21:30,At gate 21:08,W67,PG 4557
2023-04-21,21:35,At gate 21:34,R15,PR 310
2023-04-21,21:35,At gate 21:07,N30,JU 8316
2023-04-21,21:45,At gate 21:47,S33,CI 921
2023-04-21,21:45,At gate 21:27,W69,LA 5645
2023-04-21,21:45,At gate 21:23,S31,JL 7067
2023-04-21,21:50,At gate 21:58,S35,HU 8362
2023-04-21,21:55,At gate 22:02,S3,CX 381
2023-04-21,21:55,At gate 21:47,N62,MH 9202
2023-04-21,22:00,At gate 22:27,W63,CX 979
2023-04-21,22:00,At gate 22:06,N60,TP 6360
2023-04-21,22:00,At gate 21:59,N24,HA 5381
2023-04-21,22:05,At gate 22:53,R21,CX 375
2023-04-21,22:10,At gate 21:54,W50,AA 8907
2023-04-21,22:15,At gate 22:12,R20,HB 2684
2023-04-21,22:15,At gate 21:48,S11,NZ 4147
2023-04-21,22:30,At gate 22:55,S45,HX 1565
2023-04-21,22:30,At gate 22:41,W40,CX 991
2023-04-21,22:30,At gate 22:41,S25,EY 8503
2023-04-21,22:35,At gate 22:25,W42,CX 902
2023-04-21,22:40,At gate 22:59,N6,OM 5629
2023-04-21,22:50,At gate 22:52,N10,HB 505
2023-04-21,22:55,At gate 23:05,N32,QR 3469
2023-04-21,23:00,At gate 23:00,S4,AA 8912
2023-04-21,23:05,At gate 23:19,S33,CX 479
2023-04-21,23:10,At gate 00:14 (22/04/2023),W61,PR 3198
2023-04-21,23:10,At gate 23:33,N141,CX 5755
2023-04-21,23:15,At gate 23:32,N28,BR 2891
2023-04-21,23:15,At gate 23:09,W46,UO 647
2023-04-21,23:30,At gate 00:04 (22/04/2023),N26,CX 989
2023-04-21,23:35,At gate 23:18,R15,UO 117
2023-04-21,23:50,At gate 00:10 (22/04/2023),N7,SQ 898
2023-04-21,23:55,At gate 00:00 (22/04/2023),N9,MM 067
