date,time,status,stand,no
2023-05-10,15:10,At gate 15:15,R14,CX 608
2023-05-10,15:10,At gate 15:07,R16,CX 5173
2023-05-10,15:15,At gate 14:47,S1,AC 9786
2023-05-10,15:20,At gate 15:04,S2,CX 495
2023-05-10,15:25,At gate 15:43,S27,NZ 4212
2023-05-10,15:30,At gate 15:22,W48,UO 601
2023-05-10,15:30,At gate 15:31,W121L,UO 619
2023-05-10,15:35,At gate 16:31,W40,UQ 2637
2023-05-10,15:35,Cancelled,,UQ 2651
2023-05-10,15:40,At gate 15:19,R19,UO 111
2023-05-10,15:45,At gate 15:51,S29,AE 5311
2023-05-10,15:50,At gate 15:26,N28,CA 3361
2023-05-10,15:55,At gate 15:18,N6,CA 105
2023-05-10,15:55,At gate 15:53,N66,CA 427
2023-05-10,15:55,At gate 15:28,N24,HX 1201
2023-05-10,15:55,At gate 16:00,W123R,UO 761
2023-05-10,15:55,At gate 16:07,N30,GJ 8053
2023-05-10,16:00,At gate 15:55,W46,CX 349
2023-05-10,16:00,At gate 15:47,R20,UO 851
2023-05-10,16:00,At gate 15:58,N62,FM 3023
2023-05-10,16:05,At gate 15:47,W44,MF 9039
2023-05-10,16:05,At gate 16:52,W65,TG 5867
2023-05-10,16:15,At gate 16:33,N7,TK 8721
2023-05-10,16:15,At gate 16:20,W69,CX 367
2023-05-10,16:15,At gate 16:24,N10,MF 8713
2023-05-10,16:25,At gate 16:45,S43,CA 109
2023-05-10,16:25,At gate 16:33,S109,UO 133
2023-05-10,16:30,At gate 16:27,S23,CI 915
2023-05-10,16:30,At gate 16:29,N9,AA 8950
2023-05-10,16:30,At gate 16:41,S103,HO 1305
2023-05-10,16:35,At gate 16:07,N70,MU 5015
2023-05-10,16:45,At gate 16:50,W61,ET 608
2023-05-10,16:45,At gate 16:39,R21,JL 7069
2023-05-10,16:45,At gate 17:05,S45,QR 5837
2023-05-10,16:45,At gate 17:13,S25,CX 6630
2023-05-10,16:50,At gate 16:57,W42,9C 8921
2023-05-10,16:55,At gate 16:37,S3,CA 6521
2023-05-10,17:00,At gate 18:31,W40,CX 634
