date,time,status,stand,no
2023-05-26,00:20,At gate 00:02,R14,UO 651
2023-05-26,01:05,At gate 01:06,N68,UO 781
2023-05-26,01:15,At gate 01:02,S107,UO 627
2023-05-26,01:25,At gate 01:36,R16,TK 9225
2023-05-26,02:00,At gate 01:51,R17,BI 3404
2023-05-26,03:10,At gate 02:44,S27,TK 9201
2023-05-26,04:40,At gate 04:48,N9,UO 623
2023-05-26,05:00,At gate 05:00,S23,CX 811
2023-05-26,05:00,At gate 04:43,N8,UA 877
2023-05-26,05:10,At gate 05:30,S49,BA 4134
2023-05-26,05:15,At gate 05:56,N28,CX 676
2023-05-26,05:35,At gate 05:17,N64,CX 865
2023-05-26,05:40,At gate 05:56,S25,TK 9222
2023-05-26,05:40,At gate 05:13,S35,MH 9211
2023-05-26,05:50,At gate 05:43,S4,AA 8902
2023-05-26,06:05,At gate 06:05,N70,AA 8918
2023-05-26,06:45,At gate 06:55,W44,AA 8934
2023-05-26,06:50,At gate 12:22,S1,AA 8885
2023-05-26,06:55,At gate 07:12,W67,LX 9510
2023-05-26,06:55,At gate 07:16,S3,CX 260
2023-05-26,07:15,At gate 07:32,N60,GA 876
2023-05-26,07:20,At gate 07:42,S2,LH 7014
2023-05-26,07:30,At gate 08:26,W46,BA 4146
2023-05-26,07:40,At gate 08:29,W40,CX 216
2023-05-26,07:45,At gate 07:44,R16,TK 9226
2023-05-26,07:55,At gate 08:53,S33,CX 252
2023-05-26,08:05,At gate 08:50,S31,CX 662
2023-05-26,08:10,At gate 09:46,N10,5J 272
2023-05-26,08:15,At gate 08:40,R15,HX 782
2023-05-26,08:30,At gate 08:32,N62,5J 150
2023-05-26,08:50,At gate 08:59,N28,HX 1819
2023-05-26,08:55,At gate 08:58,W50,5J 240
2023-05-26,09:10,At gate 09:07,R13,CX 449
2023-05-26,09:10,At gate 11:19,W69,AA 8944
2023-05-26,09:15,At gate 09:12,S25,CI 601
2023-05-26,09:45,At gate 12:15,S25,5J 110
2023-05-26,09:45,At gate 09:39,S11,FD 515
2023-05-26,09:50,At gate 09:34,W65,QF 8214
2023-05-26,09:55,At gate 09:53,S1,CX 407
2023-05-26,09:55,At gate 09:47,W42,CX 624
2023-05-26,10:05,At gate 09:55,S27,TR 980
2023-05-26,10:05,At gate 10:01,N30,CI 903
2023-05-26,10:10,At gate 10:43,N28,PR 300
2023-05-26,10:10,At gate 10:05,N26,FD 508
2023-05-26,10:15,At gate 10:03,N60,HU 8510
2023-05-26,10:15,At gate 10:08,R21,UO 625
2023-05-26,10:30,At gate 11:28,N7,AF 8405
2023-05-26,10:30,At gate 10:22,N66,CX 912
2023-05-26,10:30,At gate 10:14,R16,FM 3025
2023-05-26,10:50,At gate 11:07,N32,MU 2901
2023-05-26,10:55,At gate 10:32,S47,CX 6201
2023-05-26,11:00,At gate 10:48,N24,DL 7886
2023-05-26,11:00,At gate 10:52,N64,MU 721
2023-05-26,11:05,At gate 11:23,W50,CA 6507
2023-05-26,11:10,At gate 11:36,S11,AK 138
2023-05-26,11:15,At gate 11:33,N9,CA 101
2023-05-26,11:20,At gate 11:25,N5,SQ 874
2023-05-26,11:20,At gate 11:12,N70,MF 381
2023-05-26,11:30,At gate 11:49,S23,CX 983
2023-05-26,11:30,At gate 11:29,W126,CX 5227
2023-05-26,11:30,At gate 11:05,N10,MF 8655
2023-05-26,11:40,At gate 11:38,R17,UO 131
2023-05-26,11:45,At gate 11:42,W42,WY 5902
2023-05-26,11:50,At gate 11:36,S43,CA 103
2023-05-26,11:50,At gate 11:03,N36,MU 2067
2023-05-26,11:50,At gate 11:48,N8,FM 3021
2023-05-26,12:10,At gate 12:39,S33,HX 1823
2023-05-26,12:10,At gate 11:49,S27,AA 8893
2023-05-26,12:15,At gate 11:57,S2,QR 5847
2023-05-26,12:20,At gate 11:47,R19,9C 8715
2023-05-26,12:20,At gate 13:13,N28,CZ 309
2023-05-26,12:25,At gate 12:12,S35,AC 9795
2023-05-26,12:25,At gate 12:49,D301R,UO 551
2023-05-26,12:30,At gate 13:05,W71,CX 238
2023-05-26,12:30,At gate 12:10,N26,CX 365
2023-05-26,12:30,At gate 12:38,N30,UA 7907
2023-05-26,12:40,At gate 14:02,S45,SC 4789
2023-05-26,12:55,At gate 12:59,N34,CI 909
2023-05-26,12:55,At gate 12:49,R14,CX 489
2023-05-26,12:55,At gate 13:25,S41,GA 9770
2023-05-26,13:00,At gate 12:46,N32,QF 8228
2023-05-26,13:00,At gate 13:09,W46,CX 431
2023-05-26,13:05,At gate 14:04,N60,CA 111
2023-05-26,13:05,At gate 12:47,S47,QR 3459
2023-05-26,13:05,At gate 12:58,R15,CX 5821
2023-05-26,13:15,At gate 12:57,N64,JL 7041
2023-05-26,13:15,At gate 13:23,N24,UL 2772
2023-05-26,13:20,At gate 13:06,N10,CX 906
2023-05-26,13:30,At gate 13:36,S11,ZH 9085
2023-05-26,13:30,At gate 13:41,N7,HA 5001
2023-05-26,13:35,At gate 13:23,N36,BI 635
2023-05-26,13:40,At gate 15:19,N6,BA 031
2023-05-26,13:45,At gate 13:30,R21,HX 679
2023-05-26,13:50,At gate 14:41,N26,QR 5841
2023-05-26,13:55,At gate 14:18,N5,SQ 892
2023-05-26,13:55,At gate 16:35,N5,CX 250
2023-05-26,14:00,At gate 13:43,W48,AC 9794
2023-05-26,14:00,At gate 13:54,W63,MH 9187
2023-05-26,14:00,At gate 14:11,S43,CA 6523
2023-05-26,14:05,At gate 14:00,N8,HO 3503
2023-05-26,14:10,At gate 14:21,N9,BR 2897
2023-05-26,14:10,At gate 14:11,N66,AA 8890
2023-05-26,14:15,At gate 14:37,S33,CX 363
2023-05-26,14:25,At gate 13:45,W42,CA 419
2023-05-26,14:25,At gate 14:33,N28,HX 1825
2023-05-26,14:35,At gate 14:45,S25,FD 500
2023-05-26,14:40,At gate 14:16,W67,JL 7043
2023-05-26,14:40,At gate 15:18,W40,CA 6536
2023-05-26,14:40,At gate 15:07,S29,CZ 635
2023-05-26,14:45,At gate 14:57,R17,HU 8358
2023-05-26,14:55,At gate 14:35,N34,LA 6095
2023-05-26,14:55,At gate 14:15,N62,MU 503
2023-05-26,15:00,At gate 14:59,R14,HU 8051
2023-05-26,15:00,At gate 15:20,S27,LX 9500
2023-05-26,15:00,At gate 15:00,S4,AA 8908
2023-05-26,15:00,At gate 14:35,N68,VN 592
2023-05-26,15:05,At gate 15:12,N36,AA 8909
2023-05-26,15:05,At gate 15:28,N24,JU 8319
2023-05-26,15:10,At gate 14:45,D301L,CX 5173
2023-05-26,15:15,At gate 14:49,S49,AC 9786
2023-05-26,15:15,At gate 15:05,N145,HB 682
2023-05-26,15:20,At gate 15:11,S3,CX 495
2023-05-26,15:25,At gate 15:46,S31,NZ 4212
2023-05-26,15:30,At gate 15:29,N30,UO 601
2023-05-26,15:30,At gate 15:47,N8,UO 619
2023-05-26,15:40,At gate 15:28,R18,UO 111
2023-05-26,15:45,At gate 15:33,N60,AE 5311
2023-05-26,15:45,At gate 15:41,N64,CX 256
2023-05-26,15:50,At gate 15:45,S11,CA 3361
2023-05-26,15:55,At gate 16:24,W42,CA 105
2023-05-26,15:55,At gate 15:35,N70,CA 427
2023-05-26,15:55,At gate 15:22,S106,HX 1201
2023-05-26,15:55,At gate 16:02,D302R,UO 761
2023-05-26,15:55,At gate 15:56,S109,GJ 8053
2023-05-26,16:00,At gate 15:54,S45,CX 349
2023-05-26,16:00,At gate 15:44,R15,UO 851
2023-05-26,16:00,At gate 15:59,R21,FM 3023
2023-05-26,16:05,At gate 16:09,S25,MF 9039
2023-05-26,16:05,At gate 20:57,S35,TG 5867
2023-05-26,16:15,At gate 16:18,N28,TK 8721
2023-05-26,16:15,At gate 16:53,S23,CX 367
2023-05-26,16:15,At gate 16:07,R19,MF 8713
2023-05-26,16:25,At gate 17:26,N68,CA 109
2023-05-26,16:25,At gate 16:20,D305L,UO 133
2023-05-26,16:30,At gate 17:08,N32,CI 915
2023-05-26,16:30,At gate 16:29,S41,QF 8232
2023-05-26,16:30,At gate 16:43,S47,AA 8950
