date,time,status,stand,no
2023-04-02,00:25,At gate 00:25,W124,BI 3404
2023-04-02,01:05,At gate 01:13,R17,CX 5781
2023-04-02,01:15,At gate 01:06,N7,CX 5627
2023-04-02,01:25,At gate 01:19,R16,TK 9225
2023-04-02,03:10,At gate 02:53,S109,TK 9201
2023-04-02,04:40,At gate 05:06,R13,CX 5623
2023-04-02,05:00,At gate 04:14,N9,LX 9502
2023-04-02,05:00,At gate 04:51,N28,CX 829
2023-04-02,05:35,At gate 05:39,N32,CX 865
2023-04-02,05:40,At gate 05:20,N26,TK 9222
2023-04-02,05:40,At gate 05:28,S29,MH 9211
2023-04-02,05:50,At gate 05:25,S2,AA 8902
2023-04-02,06:00,At gate 05:55,S27,AA 8931
2023-04-02,06:05,At gate 05:29,N62,AA 8918
2023-04-02,06:10,At gate 06:46,N34,CX 640
2023-04-02,06:15,At gate 06:13,N36,CX 270
2023-04-02,06:25,At gate 05:59,N6,CX 234
2023-04-02,06:25,At gate 06:35,W67,CX 2662
2023-04-02,06:45,At gate 06:44,S4,AA 8934
2023-04-02,06:50,At gate 06:37,N66,AA 8885
2023-04-02,06:55,At gate 06:57,S23,LX 9510
2023-04-02,06:55,At gate 07:40,S33,CX 260
2023-04-02,07:00,At gate 07:19,N64,AA 8888
2023-04-02,07:15,At gate 07:04,N8,GA 876
2023-04-02,07:25,At gate 07:37,N32,LH 7014
2023-04-02,07:30,At gate 08:14,S31,BA 4146
2023-04-02,07:30,At gate 07:38,W42,QF 8237
2023-04-02,07:40,At gate 07:45,S41,CX 216
2023-04-02,07:45,At gate 07:49,N62,TK 9226
2023-04-02,07:55,At gate 08:14,N7,CX 252
2023-04-02,08:10,At gate 08:21,W46,5J 272
2023-04-02,08:50,At gate 09:32,N26,HX 1819
2023-04-02,08:55,At gate 09:02,S25,5J 240
2023-04-02,09:15,At gate 09:16,S11,CI 601
2023-04-02,09:45,At gate 10:28,N24,5J 110
2023-04-02,09:45,At gate 09:27,N8,FD 515
2023-04-02,09:50,At gate 09:57,S4,QF 8214
2023-04-02,09:55,At gate 09:56,S33,CX 407
2023-04-02,09:55,At gate 09:39,S3,CX 624
2023-04-02,09:55,At gate 11:00,R20,CX 5697
2023-04-02,10:05,At gate 09:49,W40,TR 980
2023-04-02,10:05,At gate 10:24,S29,CI 903
2023-04-02,10:10,At gate 11:09,N26,PR 300
2023-04-02,10:10,At gate 09:53,N9,FD 508
2023-04-02,10:15,At gate 10:14,R15,HU 8510
2023-04-02,10:15,At gate 10:33,R13,CX 5625
2023-04-02,10:15,At gate 10:33,W71,MF 8711
2023-04-02,10:20,At gate 09:57,N30,MU 2901
2023-04-02,10:25,At gate 10:11,S1,CX 738
2023-04-02,10:30,At gate 11:12,N7,AF 8405
2023-04-02,10:30,At gate 10:21,S25,CX 912
2023-04-02,10:30,At gate 10:20,N62,FM 3025
2023-04-02,10:35,At gate 10:37,W69,MF 8683
2023-04-02,10:55,At gate 11:01,S43,OM 297
2023-04-02,11:00,At gate 10:56,N28,DL 7886
2023-04-02,11:00,At gate 10:31,N34,FM 3001
2023-04-02,11:05,At gate 11:10,W48,CA 6507
2023-04-02,11:10,At gate 11:21,N8,AK 138
2023-04-02,11:20,At gate 11:15,N5,SQ 874
2023-04-02,11:20,At gate 11:23,W65,MF 381
2023-04-02,11:30,At gate 11:11,N6,CZ 3075
2023-04-02,11:30,At gate 11:20,S27,CA 3855
2023-04-02,11:30,At gate 12:03,S23,CX 983
2023-04-02,11:30,At gate 11:28,R17,CX 5227
2023-04-02,11:30,At gate 11:01,N60,MF 8655
2023-04-02,11:40,At gate 11:36,R16,CX 5131
2023-04-02,11:45,At gate 11:59,W40,TG 600
2023-04-02,11:50,At gate 11:27,S11,CA 103
2023-04-02,11:50,At gate 11:46,S29,FM 3021
2023-04-02,12:10,At gate 12:37,N24,HX 1823
2023-04-02,12:10,At gate 11:51,N30,PR 318
2023-04-02,12:10,At gate 11:37,S47,AA 8893
2023-04-02,12:15,At gate 12:14,S35,QR 5847
2023-04-02,12:20,At gate 12:11,N62,9C 8715
2023-04-02,12:20,At gate 12:17,N9,CZ 309
2023-04-02,12:30,At gate 13:09,S33,CX 365
2023-04-02,12:30,At gate 12:27,N28,UA 7907
2023-04-02,12:55,At gate 12:59,S27,CI 909
2023-04-02,12:55,At gate 13:03,R21,CX 489
2023-04-02,13:00,At gate 12:58,W61,QF 8228
2023-04-02,13:00,At gate 13:00,N8,CX 431
2023-04-02,13:05,At gate 12:47,N34,CA 111
2023-04-02,13:05,At gate 13:09,W46,QR 3459
2023-04-02,13:05,At gate 13:08,R19,CX 5821
2023-04-02,13:15,At gate 12:52,N6,JL 7041
2023-04-02,13:15,At gate 14:16,S29,UL 2772
2023-04-02,13:20,At gate 13:08,R13,CX 906
2023-04-02,13:30,At gate 13:54,N7,HA 5001
2023-04-02,13:35,At gate 13:27,S11,HX 1635
2023-04-02,13:40,At gate 13:56,N26,BA 031
2023-04-02,13:40,At gate 13:49,R15,HB 503
2023-04-02,13:50,At gate 14:03,R16,BR 2897
2023-04-02,13:50,At gate 13:46,W65,QR 5841
2023-04-02,13:50,At gate 14:00,N68,CX 973
2023-04-02,13:55,At gate 13:31,N5,SQ 892
2023-04-02,13:55,At gate 14:02,N60,CX 250
2023-04-02,14:00,At gate 13:38,W40,AC 9794
2023-04-02,14:00,At gate 14:21,N36,MH 9187
2023-04-02,14:00,At gate 13:59,S43,CA 6523
2023-04-02,14:05,At gate 14:21,N62,HO 3503
2023-04-02,14:10,At gate 13:48,W50,AA 8890
2023-04-02,14:15,At gate 15:04,N32,CX 363
2023-04-02,14:20,At gate 14:14,W44,AA 8904
2023-04-02,14:20,At gate 14:19,S45,BA 4570
2023-04-02,14:25,At gate 13:32,W69,CA 419
2023-04-02,14:25,At gate 14:43,N24,HX 1825
2023-04-02,14:35,At gate 14:34,N10,FD 500
2023-04-02,14:40,At gate 14:12,N9,HX 1201
2023-04-02,14:40,At gate 14:33,S4,JL 7043
2023-04-02,14:45,At gate 15:32,R16,HU 8358
2023-04-02,14:50,At gate 15:09,N28,CX 5705
2023-04-02,14:55,At gate 13:46,W42,ET 644
2023-04-02,15:00,At gate 14:51,R18,HU 8051
2023-04-02,15:00,At gate 15:52,S33,LX 9500
2023-04-02,15:00,At gate 15:14,W63,AA 8908
2023-04-02,15:00,At gate 14:22,W71,VN 592
2023-04-02,15:05,At gate 16:06,S47,AA 8909
2023-04-02,15:05,At gate 14:50,S31,JU 8319
2023-04-02,15:10,At gate 15:05,R17,CX 5173
2023-04-02,15:15,At gate 15:24,S109,HB 2682
