date,time,status,stand,no
2023-03-04,00:20,At gate 00:19,W40,CX 5781
2023-03-04,00:45,At gate 01:08,S4,MM 067
2023-03-04,01:15,At gate 00:48,S31,HX 527
2023-03-04,01:40,At gate 01:37,S41,HX 766
2023-03-04,03:20,At gate 03:16,N24,AI 7175
2023-03-04,05:00,At gate 04:46,S2,BA 4134
2023-03-04,05:00,At gate 04:32,S3,CX 829
2023-03-04,05:05,At gate 04:28,S1,MH 9185
2023-03-04,05:15,At gate 05:13,S4,CX 746
2023-03-04,05:20,At gate 05:20,N28,AA 8902
2023-03-04,05:45,At gate 07:42,S27,TG 5867
2023-03-04,05:55,At gate 05:37,N30,TK 9222
2023-03-04,06:00,At gate 06:29,W67,CX 640
2023-03-04,06:00,At gate 06:06,N7,QR 3478
2023-03-04,06:15,At gate 06:10,N32,CX 676
2023-03-04,06:15,At gate 06:27,N9,JL 7932
2023-03-04,06:15,At gate 06:31,S47,AA 8936
2023-03-04,06:20,At gate 06:27,N60,LX 9514
2023-03-04,06:55,At gate 07:25,N36,BA 4140
2023-03-04,07:05,At gate 06:54,N10,HX 782
2023-03-04,07:10,At gate 06:58,N26,LH 7014
2023-03-04,07:20,At gate 07:09,N34,CX 260
2023-03-04,07:40,At gate 08:07,S3,CX 252
2023-03-04,07:50,At gate 08:18,N28,CX 216
2023-03-04,08:10,At gate 07:56,W40,5J 272
2023-03-04,09:45,At gate 10:15,N32,5J 110
2023-03-04,09:55,At gate 10:00,S49,CI 903
2023-03-04,10:05,At gate 10:26,S45,SQ 8632
2023-03-04,10:05,At gate 10:14,S29,HX 1821
2023-03-04,10:15,At gate 10:24,N10,PR 300
2023-03-04,10:25,At gate 10:46,S25,CX 912
2023-03-04,10:50,At gate 11:11,S43,UO 625
2023-03-04,10:55,At gate 10:44,S47,Z2 1264
2023-03-04,11:15,At gate 11:17,S35,GS 7963
2023-03-04,11:20,At gate 11:24,N24,MF 8655
2023-03-04,11:25,At gate 11:44,N26,CX 983
2023-03-04,11:45,At gate 11:26,W42,TG 600
2023-03-04,11:55,At gate 11:59,S45,AK 138
2023-03-04,11:55,At gate 11:35,S33,9C 8715
2023-03-04,12:05,At gate 12:27,N10,MF 381
2023-03-04,12:10,At gate 12:07,N30,HX 1823
2023-03-04,12:10,At gate 12:39,W40,MF 8695
2023-03-04,12:15,At gate 12:24,N7,MH 9188
2023-03-04,12:20,At gate 12:08,S41,MU 503
2023-03-04,12:25,At gate 12:43,N5,SQ 882
2023-03-04,12:30,At gate 12:15,S31,CZ 309
2023-03-04,12:50,At gate 13:02,S23,CI 909
2023-03-04,12:50,At gate 12:37,S11,CX 489
2023-03-04,12:50,At gate 12:47,S29,SC 4789
2023-03-04,12:55,At gate 13:02,W63,CX 431
2023-03-04,12:55,At gate 12:53,W46,AY 6632
2023-03-04,13:00,At gate 12:55,S27,JL 7051
2023-03-04,13:05,At gate 12:56,N66,CX 6111
2023-03-04,13:10,At gate 13:36,S25,CX 238
2023-03-04,13:10,At gate 13:06,N28,UA 7907
2023-03-04,13:15,At gate 13:14,W61,QR 3467
2023-03-04,13:25,At gate 13:19,S47,JL 7041
2023-03-04,13:30,At gate 13:11,W44,CX 906
2023-03-04,13:55,At gate 13:58,N24,SQ 892
2023-03-04,13:55,At gate 13:56,R13,CX 5821
2023-03-04,14:10,At gate 14:39,W65,CX 250
2023-03-04,14:10,At gate 13:58,W40,QR 3458
2023-03-04,14:10,At gate 14:21,N26,HA 5001
2023-03-04,14:15,At gate 14:26,S31,CX 6260
2023-03-04,14:20,At gate 14:28,N64,QR 5841
2023-03-04,14:20,At gate 14:24,N68,BA 4570
2023-03-04,14:25,At gate 13:50,N10,CX 6129
2023-03-04,14:25,At gate 14:08,N32,ET 644
2023-03-04,14:25,At gate 13:46,W42,FM 3007
2023-03-04,14:30,At gate 14:48,N34,CX 363
2023-03-04,14:40,At gate 14:41,N30,BA 031
2023-03-04,14:45,At gate 15:02,S35,LA 6038
2023-03-04,15:00,At gate 15:02,N36,BA 4558
2023-03-04,15:00,At gate 15:30,R18,CX 5705
2023-03-04,15:05,At gate 14:43,R21,HU 8205
2023-03-04,15:05,At gate 14:52,S45,HU 8189
2023-03-04,15:05,At gate 15:11,R19,QR 3454
2023-03-04,15:05,At gate 14:54,R20,CX 5173
2023-03-04,15:10,At gate 14:58,W67,CX 930
2023-03-04,15:15,At gate 15:15,S11,FD 500
2023-03-04,15:20,At gate 15:33,S41,PR 3202
2023-03-04,15:20,At gate 15:20,W46,HB 682
2023-03-04,15:25,At gate 15:11,N5,CX 495
2023-03-04,15:30,At gate 15:42,N66,QR 5850
2023-03-04,15:35,At gate 15:30,R17,CX 5619
2023-03-04,15:35,At gate 15:51,R16,CX 5725
2023-03-04,15:40,At gate 15:21,N60,AE 5311
2023-03-04,15:45,At gate 15:32,N70,HU 8358
2023-03-04,15:50,At gate 15:47,N10,ZH 9091
2023-03-04,15:50,At gate 15:38,R13,CX 5601
2023-03-04,15:55,At gate 15:39,N28,CX 6127
2023-03-04,15:55,At gate 15:28,N7,CA 6503
2023-03-04,16:00,At gate 16:05,W44,ET 1760
2023-03-04,16:00,At gate 18:57,W42,RA 409
2023-03-04,16:05,At gate 16:28,N32,TK 8721
2023-03-04,16:05,At gate 15:43,S49,9C 8921
2023-03-04,16:10,At gate 16:08,R21,UO 133
2023-03-04,16:20,At gate 16:08,R15,CX 5111
2023-03-04,16:35,At gate 16:18,S29,CA 109
2023-03-04,16:35,At gate 16:31,W42,QF 127
2023-03-04,16:45,At gate 16:43,N24,CX 367
2023-03-04,16:45,At gate 16:02,S33,MU 527
2023-03-04,17:00,At gate 16:43,S47,3U 3959
2023-03-04,17:05,At gate 17:03,S23,VA 5774
2023-03-04,17:05,At gate 18:00,S11,CI 915
2023-03-04,17:05,At gate 17:08,R19,HB 521
2023-03-04,17:10,At gate 17:33,W50,BA 4136
2023-03-04,17:15,At gate 16:46,N68,CA 6521
2023-03-04,17:15,At gate 17:37,S25,CX 6630
2023-03-04,17:20,At gate 17:17,N6,BA 4554
2023-03-04,17:30,At gate 16:55,R20,CX 357
2023-03-04,17:30,At gate 17:24,S31,CA 6511
2023-03-04,17:30,At gate 17:30,N10,HX 633
2023-03-04,17:30,At gate 17:42,N66,QR 5814
2023-03-04,17:30,At gate 17:32,N36,MH 9196
2023-03-04,17:40,At gate 18:07,N60,EK 384
2023-03-04,17:40,At gate 17:51,S27,NZ 4212
2023-03-04,17:45,At gate 17:55,W61,PR 306
2023-03-04,17:45,At gate 17:45,R18,LY 9116
2023-03-04,17:45,At gate 17:54,S2,CX 770
2023-03-04,17:50,At gate 17:47,N34,AI 7183
2023-03-04,17:50,At gate 17:45,R13,CX 5687
2023-03-04,18:00,At gate 17:56,N28,5J 112
2023-03-04,18:00,At gate 17:28,W67,MU 505
2023-03-04,18:00,At gate 17:33,N26,MU 765
2023-03-04,18:10,At gate 17:54,N5,AA 8894
2023-03-04,18:15,At gate 18:08,S49,CX 2690
2023-03-04,18:25,At gate 18:21,W71,CX 254
2023-03-04,18:25,At gate 18:13,W48,MU 535
2023-03-04,18:30,At gate 18:28,N32,HX 1831
2023-03-04,18:35,At gate 18:19,S45,CX 371
2023-03-04,18:35,At gate 18:40,N24,CA 6525
2023-03-04,18:35,At gate 18:41,W46,TG 638
2023-03-04,18:40,At gate 18:52,S29,AY 099
2023-03-04,18:40,At gate 18:23,W65,QR 3481
2023-03-04,18:45,At gate 19:09,R16,HX 611
2023-03-04,18:45,At gate 18:49,N9,CX 825
2023-03-04,18:50,At gate 18:49,W44,CI 919
2023-03-04,18:50,At gate 18:52,S41,QR 5827
2023-03-04,18:55,At gate 19:05,N10,TK 9220
