date,time,status,stand,no
2023-04-27,00:20,At gate 00:30,R19,UO 651
2023-04-27,00:25,At gate 00:51,R20,BI 3404
2023-04-27,01:05,At gate 01:11,N26,UO 781
2023-04-27,01:15,At gate 01:10,N30,UO 627
2023-04-27,01:25,At gate 01:43,N6,TK 9229
2023-04-27,03:10,At gate 03:01,R16,TK 9201
2023-04-27,04:40,At gate 05:03,R15,UO 623
2023-04-27,05:00,At gate 04:33,N7,CX 829
2023-04-27,05:10,At gate 04:52,S1,LX 9502
2023-04-27,05:35,At gate 06:00,S3,CX 865
2023-04-27,05:40,At gate 05:30,N10,TK 9222
2023-04-27,05:50,At gate 05:47,S45,AA 8902
2023-04-27,06:00,At gate 06:12,W61,AA 8931
2023-04-27,06:00,At gate 06:24,R21,UO 629
2023-04-27,06:05,At gate 05:57,S25,AA 8918
2023-04-27,06:15,At gate 07:09,N62,CX 270
2023-04-27,06:45,At gate 07:21,S47,AA 8934
2023-04-27,06:50,At gate 06:22,N64,AA 8885
2023-04-27,06:55,At gate 07:12,N5,CX 260
2023-04-27,06:55,At gate 06:18,S29,HX 1314
2023-04-27,07:15,At gate 06:58,S43,GA 876
2023-04-27,07:25,At gate 07:35,S49,LH 7014
2023-04-27,07:45,At gate 07:22,R19,TK 9226
2023-04-27,07:55,At gate 07:51,N36,CX 252
2023-04-27,08:10,At gate 08:17,W50,5J 272
2023-04-27,08:50,At gate 09:21,N28,HX 1819
2023-04-27,08:55,At gate 08:52,W44,5J 240
2023-04-27,09:15,At gate 09:35,N24,CI 601
2023-04-27,09:45,At gate 09:51,S31,5J 110
2023-04-27,09:45,At gate 09:30,N9,FD 515
2023-04-27,09:55,At gate 09:48,W65,CX 407
2023-04-27,09:55,At gate 10:09,N70,CX 5697
2023-04-27,10:05,At gate 09:53,W40,TR 980
2023-04-27,10:05,At gate 10:27,N26,CI 903
2023-04-27,10:10,At gate 10:43,S33,PR 300
2023-04-27,10:10,At gate 09:59,N8,FD 508
2023-04-27,10:15,At gate 10:21,R15,HU 8510
2023-04-27,10:15,At gate 10:56,R14,UO 625
2023-04-27,10:20,At gate 10:05,S27,MU 2901
2023-04-27,10:30,At gate 10:35,W71,CX 912
2023-04-27,10:30,At gate 10:26,S29,FM 3025
2023-04-27,11:00,At gate 11:32,N7,FM 3001
