date,time,status,stand,no
2023-05-25,00:20,At gate 00:12,D306R,UO 651
2023-05-25,01:05,At gate 01:17,S111,UO 781
2023-05-25,01:10,At gate 01:14,D304R,UO 663
2023-05-25,01:15,At gate 01:26,S106,UO 627
2023-05-25,01:25,At gate 02:57,S108,TK 9229
2023-05-25,02:00,At gate 02:21,R18,BI 3404
2023-05-25,03:10,At gate 03:42,R16,TK 9201
2023-05-25,04:20,At gate 03:53,W125,CX 5765
2023-05-25,04:40,At gate 04:46,W65,UO 623
2023-05-25,05:00,At gate 04:46,S1,CX 829
2023-05-25,05:00,At gate 04:49,N8,UA 877
2023-05-25,05:10,At gate 05:05,S41,LX 9502
2023-05-25,05:35,At gate 06:03,W67,CX 865
2023-05-25,05:40,At gate 05:34,N66,TK 9222
2023-05-25,05:50,At gate 06:05,W69,AA 8902
2023-05-25,06:00,At gate 05:31,S2,AA 8931
2023-05-25,06:00,At gate 06:08,R15,UO 629
2023-05-25,06:05,At gate 06:09,S3,AA 8918
2023-05-25,06:15,At gate 06:32,N7,CX 270
2023-05-25,06:45,At gate 06:40,N62,AA 8934
2023-05-25,06:50,At gate 06:37,S47,AA 8885
2023-05-25,06:55,At gate 07:50,S43,LX 9510
2023-05-25,06:55,At gate 07:02,S4,CX 260
2023-05-25,06:55,At gate 07:56,W48,HX 1314
2023-05-25,07:15,At gate 07:16,S11,GA 876
2023-05-25,07:20,At gate 07:25,N60,LH 7014
2023-05-25,07:45,At gate 07:39,R16,TK 9226
2023-05-25,07:55,At gate 08:28,W65,CX 252
2023-05-25,08:10,Cancelled,,5J 272
2023-05-25,08:30,Cancelled,,5J 150
2023-05-25,08:50,At gate 09:13,S27,HX 1819
2023-05-25,08:55,At gate 08:55,W40,5J 240
2023-05-25,09:10,At gate 08:53,S41,AA 8944
2023-05-25,09:15,At gate 09:16,N10,CI 601
2023-05-25,09:45,At gate 09:53,W42,5J 110
2023-05-25,09:45,At gate 09:36,N26,FD 515
2023-05-25,09:50,At gate 09:49,N66,QF 8214
2023-05-25,09:55,At gate 09:38,N36,CX 407
2023-05-25,10:05,At gate 10:06,W40,TR 980
2023-05-25,10:05,At gate 10:09,N30,CI 903
2023-05-25,10:10,At gate 10:05,S31,PR 300
2023-05-25,10:10,At gate 10:06,N28,FD 508
2023-05-25,10:15,At gate 10:18,R16,HU 8510
2023-05-25,10:15,At gate 10:26,R21,UO 625
2023-05-25,10:25,At gate 10:25,S45,CX 738
2023-05-25,10:30,At gate 10:28,N68,CX 912
2023-05-25,10:30,At gate 10:16,S29,FM 3025
2023-05-25,10:50,At gate 10:36,S27,MU 2901
2023-05-25,10:55,At gate 10:50,N10,CX 6201
2023-05-25,11:00,At gate 10:47,S33,MU 721
2023-05-25,11:05,At gate 10:40,W71,CA 6507
2023-05-25,11:10,At gate 11:23,N26,AK 138
2023-05-25,11:15,At gate 11:16,N6,CA 101
2023-05-25,11:20,At gate 11:20,N5,SQ 874
2023-05-25,11:20,At gate 11:16,N34,MF 381
2023-05-25,11:30,At gate 11:07,N24,CZ 3075
2023-05-25,11:30,At gate 11:38,S2,CX 983
2023-05-25,11:30,At gate 11:41,R18,CX 5227
2023-05-25,11:30,At gate 11:15,N32,MF 8655
2023-05-25,11:35,At gate 11:16,S35,GS 7963
2023-05-25,11:40,At gate 11:52,R17,UO 131
2023-05-25,11:45,At gate 11:48,S31,WY 5902
2023-05-25,11:50,At gate 11:33,N7,CA 103
2023-05-25,11:50,At gate 11:34,N8,FM 3021
2023-05-25,11:55,At gate 11:37,W50,CA 3855
2023-05-25,12:10,At gate 12:17,N64,HX 1823
2023-05-25,12:10,At gate 12:03,S11,AA 8893
2023-05-25,12:15,At gate 12:03,W67,QR 5847
2023-05-25,12:20,At gate 11:48,N28,9C 8715
2023-05-25,12:20,At gate 12:20,S29,CZ 309
2023-05-25,12:25,At gate 12:46,S3,AC 9795
2023-05-25,12:25,Cancelled,,HU 7953
2023-05-25,12:25,At gate 12:33,R14,UO 551
2023-05-25,12:30,At gate 12:57,W63,CX 238
2023-05-25,12:30,At gate 12:29,S27,CX 365
2023-05-25,12:30,At gate 12:59,N24,UA 7907
2023-05-25,12:40,At gate 13:43,W42,SC 4789
2023-05-25,12:55,At gate 12:53,N26,CI 909
2023-05-25,12:55,At gate 12:48,R13,CX 489
2023-05-25,12:55,At gate 13:22,N9,GA 9770
2023-05-25,13:00,At gate 13:07,S33,QF 8228
2023-05-25,13:00,At gate 13:22,N70,CX 431
2023-05-25,13:05,At gate 12:48,S23,CA 111
2023-05-25,13:15,At gate 13:11,S25,JL 7041
2023-05-25,13:15,At gate 14:06,N7,UL 2772
2023-05-25,13:20,At gate 13:01,N10,CX 906
2023-05-25,13:30,At gate 13:27,N6,HA 5001
2023-05-25,13:35,At gate 13:32,N8,BI 635
2023-05-25,13:40,At gate 14:42,N26,BA 031
2023-05-25,13:45,At gate 13:39,R17,HX 679
2023-05-25,13:50,At gate 13:44,S31,QR 5841
2023-05-25,13:50,At gate 14:11,S45,CX 973
2023-05-25,13:55,At gate 14:45,N5,SQ 892
2023-05-25,13:55,At gate 14:31,S29,CX 250
2023-05-25,14:00,At gate 13:26,W69,MH 9187
2023-05-25,14:05,At gate 14:01,W44,HO 3503
2023-05-25,14:10,At gate 14:20,R19,BR 2897
2023-05-25,14:10,At gate 13:57,S35,FJ 5459
2023-05-25,14:15,At gate 14:11,S1,CX 363
2023-05-25,14:20,At gate 14:13,N68,BA 4570
2023-05-25,14:20,At gate 13:51,N28,VN 594
2023-05-25,14:25,At gate 13:54,W46,CA 419
2023-05-25,14:25,At gate 14:15,N64,HX 1825
2023-05-25,14:30,At gate 14:43,R21,CA 6517
2023-05-25,14:35,At gate 14:30,N9,FD 500
2023-05-25,14:40,At gate 14:51,S27,JL 7043
2023-05-25,14:50,At gate 14:35,N60,JL 5362
2023-05-25,14:55,At gate 13:47,N32,ET 644
2023-05-25,14:55,At gate 14:26,W50,MU 503
2023-05-25,15:00,At gate 14:55,S47,HU 8051
2023-05-25,15:00,At gate 15:19,S49,LX 9500
2023-05-25,15:00,At gate 15:14,S2,AA 8908
2023-05-25,15:05,At gate 15:18,N8,AA 8909
2023-05-25,15:05,At gate 15:09,N34,JU 8319
2023-05-25,15:10,At gate 15:01,R18,CX 5173
2023-05-25,15:15,At gate 15:28,W63,AC 9786
2023-05-25,15:15,At gate 15:22,R14,HB 682
2023-05-25,15:20,At gate 15:07,S23,CX 495
2023-05-25,15:25,At gate 16:27,N28,NZ 4212
2023-05-25,15:30,At gate 15:30,W44,UO 601
2023-05-25,15:30,At gate 15:22,W42,UO 619
2023-05-25,15:40,At gate 15:26,R17,UO 111
2023-05-25,15:45,At gate 16:02,N9,CX 256
2023-05-25,15:50,At gate 15:28,S11,CA 3361
2023-05-25,15:55,At gate 15:43,W46,CA 427
2023-05-25,15:55,At gate 15:36,S101,HX 1201
2023-05-25,15:55,At gate 16:13,W123R,UO 761
2023-05-25,15:55,At gate 15:57,S102,GJ 8053
2023-05-25,16:00,At gate 15:55,N7,CX 349
2023-05-25,16:00,At gate 15:48,R19,UO 851
2023-05-25,16:00,At gate 15:46,N24,FM 3023
