date,time,status,stand,no
2023-06-13,00:20,At gate 00:27,N142,UO 651
2023-06-13,01:05,At gate 01:00,D304R,UO 781
2023-06-13,01:10,At gate 01:09,D304L,UO 653
2023-06-13,01:15,At gate 01:15,D302L,UO 627
2023-06-13,01:25,At gate 01:34,N6,TK 9225
2023-06-13,02:00,At gate 01:38,D301R,BI 3404
2023-06-13,03:10,At gate 02:53,W50,TK 9201
2023-06-13,04:20,At gate 03:48,S103,CX 5765
2023-06-13,04:40,At gate 04:48,D305R,UO 623
2023-06-13,05:00,At gate 04:54,S1,CX 829
2023-06-13,05:00,At gate 19:56,N28,UA 877
2023-06-13,05:10,At gate 05:28,S2,LX 9502
2023-06-13,05:35,At gate 06:46,S43,CX 865
2023-06-13,05:40,At gate 05:40,S23,TK 9222
2023-06-13,05:40,At gate 05:14,S3,MH 9211
2023-06-13,05:50,At gate 05:34,S29,AA 8902
2023-06-13,06:00,At gate 07:16,N36,AA 8931
2023-06-13,06:00,At gate 06:17,N26,UO 629
2023-06-13,06:05,At gate 06:31,N64,AA 8918
2023-06-13,06:45,At gate 07:46,N32,CX 260
2023-06-13,06:45,At gate 07:09,N5,AA 8934
2023-06-13,06:50,At gate 06:37,S4,AA 8885
2023-06-13,06:55,At gate 07:36,N8,LX 9510
2023-06-13,07:10,At gate 08:06,N9,LH 7014
2023-06-13,07:15,At gate 07:12,N30,HX 1946
2023-06-13,07:30,At gate 08:02,S33,BA 4146
2023-06-13,07:30,At gate 09:01,S45,CX 216
2023-06-13,07:40,At gate 09:00,S35,CX 252
2023-06-13,08:10,At gate 08:17,N10,5J 272
2023-06-13,08:15,At gate 08:48,R16,HX 782
2023-06-13,08:30,At gate 08:36,N62,5J 150
2023-06-13,08:50,At gate 09:09,S27,HX 1819
2023-06-13,08:55,At gate 09:21,S25,5J 240
2023-06-13,09:10,At gate 09:12,R13,CX 449
2023-06-13,09:10,At gate 09:04,W67,AA 8944
2023-06-13,09:15,At gate 09:38,S41,CI 601
2023-06-13,09:45,At gate 11:13,S25,5J 110
2023-06-13,09:45,At gate 09:43,N30,FD 515
