date,time,status,stand,no
2023-03-28,00:25,At gate 00:27,W48,BI 3404
2023-03-28,01:05,At gate 01:04,R15,CX 5781
2023-03-28,01:15,At gate 01:37,S108,CX 5627
2023-03-28,01:25,At gate 01:25,S11,TK 9225
2023-03-28,03:10,At gate 03:12,S27,TK 9201
2023-03-28,04:40,At gate 05:00,S29,CX 5623
2023-03-28,05:00,At gate 04:57,S23,LX 9502
2023-03-28,05:00,At gate 04:40,S4,CX 829
2023-03-28,05:35,At gate 06:22,S31,CX 865
2023-03-28,05:40,At gate 05:20,W50,TK 9222
2023-03-28,05:50,At gate 05:58,S3,AA 8902
2023-03-28,06:00,At gate 06:45,W69,AA 8931
2023-03-28,06:05,At gate 07:06,N7,CX 270
2023-03-28,06:05,At gate 05:44,N26,AA 8918
2023-03-28,06:45,At gate 07:27,N34,AA 8934
2023-03-28,06:50,At gate 07:02,N5,CX 260
2023-03-28,06:55,At gate 08:22,N36,LX 9510
2023-03-28,07:15,At gate 06:56,W46,GA 876
2023-03-28,07:20,Cancelled,,LH 7014
2023-03-28,07:30,At gate 08:13,N64,BA 4146
2023-03-28,07:35,At gate 07:39,N9,CX 216
2023-03-28,07:45,At gate 07:47,N6,CX 252
2023-03-28,08:10,At gate 08:28,S47,5J 272
2023-03-28,08:20,At gate 09:34,R19,HX 782
2023-03-28,08:50,At gate 09:17,N66,HX 1819
2023-03-28,08:55,At gate 08:59,N32,5J 240
2023-03-28,09:10,At gate 08:38,S4,AA 8944
2023-03-28,09:15,At gate 09:49,N10,CI 601
2023-03-28,09:45,At gate 09:49,S45,5J 110
2023-03-28,09:45,At gate 09:43,S29,FD 515
2023-03-28,09:50,At gate 09:12,W67,QF 8214
2023-03-28,10:05,At gate 09:57,W46,TR 980
2023-03-28,10:05,At gate 10:12,N5,CI 903
2023-03-28,10:10,At gate 10:06,N8,PR 300
2023-03-28,10:10,At gate 10:05,N28,FD 508
2023-03-28,10:15,At gate 10:35,R20,CX 5625
2023-03-28,10:20,At gate 09:51,S47,MU 2901
2023-03-28,10:30,At gate 10:26,W61,CX 912
2023-03-28,10:30,At gate 10:23,S49,MU 765
2023-03-28,10:55,At gate 10:43,W40,OM 297
2023-03-28,11:00,At gate 10:48,N32,MU 721
2023-03-28,11:05,At gate 11:04,N66,CA 6507
2023-03-28,11:10,At gate 11:11,S29,AK 138
2023-03-28,11:20,At gate 11:18,N24,SQ 874
2023-03-28,11:20,At gate 11:24,N30,MF 381
2023-03-28,11:30,At gate 11:21,N9,ZH 9091
2023-03-28,11:30,At gate 12:15,W65,CX 983
2023-03-28,11:30,At gate 11:41,R15,CX 5227
2023-03-28,11:30,At gate 11:20,W71,MF 8655
2023-03-28,11:35,At gate 11:28,S27,GS 7963
2023-03-28,11:40,At gate 11:41,R19,CX 5131
2023-03-28,11:45,At gate 11:49,N28,TG 600
2023-03-28,11:50,At gate 11:36,S45,CA 103
2023-03-28,11:50,At gate 11:45,N60,MU 5017
2023-03-28,12:10,At gate 12:47,N26,HX 1823
2023-03-28,12:10,At gate 11:52,N10,PR 318
2023-03-28,12:10,At gate 11:57,N34,AA 8893
2023-03-28,12:15,At gate 12:15,S25,QR 5847
2023-03-28,12:20,At gate 12:35,S29,9C 8715
2023-03-28,12:20,At gate 12:28,S41,CX 238
2023-03-28,12:20,At gate 12:09,S11,CZ 309
