date,time,status,gate,no
2023-04-30,00:20,Dep 00:18,49,LX 9513
2023-04-30,00:25,Dep 00:28,27,ET 645
2023-04-30,00:25,Dep 00:19,29,JU 8317
2023-04-30,00:30,Dep 00:29,8,HX 1566
2023-04-30,00:35,Dep 02:29,23,TP 6349
2023-04-30,00:45,Dep 00:38,6,EY 8495
2023-04-30,00:50,Dep 01:05,28,MM 068
2023-04-30,01:05,Dep 01:05,15,TK 9223
2023-04-30,01:20,Dep 01:19,25,QR 5844
2023-04-30,01:50,Dep 02:09,1,QR 5838
2023-04-30,01:55,Dep 01:55,43,GA 9771
2023-04-30,02:00,Dep 02:35,63,MH 9210
2023-04-30,02:20,Dep 02:48,36,CX 675
2023-04-30,02:20,Dep 02:13,21,CX 5676
2023-04-30,07:00,Dep 06:51,29,CX 5820
2023-04-30,07:05,Dep 07:02,60,UO 850
2023-04-30,07:15,Dep 07:13,34,UO 618
2023-04-30,07:20,Dep 07:25,64,CX 366
2023-04-30,07:20,Dep 07:21,44,CX 907
2023-04-30,07:35,Dep 07:29,30,UO 600
2023-04-30,07:45,Dep 07:43,25,UO 550
2023-04-30,07:50,Dep 07:47,61,CA 6524
2023-04-30,07:55,Dep 08:03,6,AA 8959
2023-04-30,07:55,Dep 08:03,66,CX 982
2023-04-30,08:00,Dep 08:06,15,CX 488
2023-04-30,08:00,Dep 08:03,43,AA 8898
2023-04-30,08:00,Dep 08:09,2,AA 8906
2023-04-30,08:00,Dep 07:54,17,UO 130
2023-04-30,08:00,Dep 08:03,21,UO 760
2023-04-30,08:10,Dep 08:13,33,AA 8966
2023-04-30,08:10,Dep 08:20,69,CX 596
2023-04-30,08:15,Dep 08:14,27,HU 8492
2023-04-30,08:15,Dep 08:29,67,MH 9189
2023-04-30,08:20,Dep 08:32,42,CX 633
2023-04-30,08:30,Dep 08:23,523,CA 118
2023-04-30,08:30,Dep 08:26,48,HX 690
2023-04-30,08:30,Dep 08:45,71,QR 5817
2023-04-30,08:30,Dep 08:33,522,CX 5674
2023-04-30,08:35,Dep 08:32,70,QR 5813
2023-04-30,08:35,Dep 08:35,24,AA 8910
2023-04-30,08:45,Dep 08:53,47,JL 7030
2023-04-30,08:50,Dep 09:09,65,CX 432
2023-04-30,08:55,Dep 08:56,10,HB 502
2023-04-30,09:00,Dep 09:06,35,GA 873
2023-04-30,09:00,Dep 09:03,5,CA 6510
2023-04-30,09:00,Dep 09:25,8,CX 901
2023-04-30,09:05,Dep 09:11,26,SQ 899
2023-04-30,09:05,Dep 09:11,9,CX 830
2023-04-30,09:10,Dep 09:12,3,BA 4132
2023-04-30,09:10,Dep 09:07,18,UO 630
2023-04-30,09:15,Dep 09:53,19,AI 7160
2023-04-30,09:15,Dep 09:33,64,QF 8215
2023-04-30,09:15,Dep 09:30,31,AA 8913
2023-04-30,09:15,Dep 09:23,20,HB 540
2023-04-30,09:20,Dep 09:27,60,BR 2898
2023-04-30,09:20,Dep 09:30,40,CX 368
2023-04-30,09:20,Dep 09:40,63,AA 8887
2023-04-30,09:20,Dep 09:44,66,5J 149
2023-04-30,09:20,Dep 09:29,521,HB 530
2023-04-30,09:25,Dep 10:00,44,5J 273
2023-04-30,09:30,Dep 09:37,7,CX 348
2023-04-30,09:30,Dep 09:48,46,AA 8940
2023-04-30,09:30,Dep 09:48,11,NZ 4148
2023-04-30,09:30,Dep 09:37,50,CX 970
2023-04-30,09:40,Dep 09:50,69,5J 241
2023-04-30,09:50,Dep 10:32,27,HX 1820
2023-04-30,09:55,Dep 09:46,14,HU 8084
2023-04-30,10:00,Dep 09:57,30,AA 8915
2023-04-30,10:00,Dep 10:07,41,CA 6522
2023-04-30,10:00,Dep 09:51,16,CX 5642
2023-04-30,10:10,Dep 10:15,43,QF 8213
2023-04-30,10:15,Dep 10:20,24,CI 602
2023-04-30,10:15,Dep 10:17,68,CX 954
2023-04-30,10:20,Dep 10:24,1,CX 494
2023-04-30,10:20,Dep 10:22,67,JL 7052
2023-04-30,10:25,Dep 10:14,21,HX 640
2023-04-30,10:30,Dep 10:26,33,AA 8882
2023-04-30,10:35,Dep 10:40,42,UO 870
2023-04-30,10:40,Dep 10:36,6,HA 5382
2023-04-30,10:45,Dep 11:00,23,CX 828
2023-04-30,10:45,Dep 11:13,18,UO 110
2023-04-30,10:45,Dep 10:46,10,FD 516
2023-04-30,10:50,Dep 10:50,48,UO 620
