date,time,status,gate,no
2023-03-31,00:10,Dep 00:11,23,CX 233
2023-03-31,00:20,Dep 00:21,1,MEL5605
2023-03-31,00:25,Dep 00:30,33,ET 645
2023-03-31,00:30,Dep 00:40,34,HX 1566
2023-03-31,00:35,Dep 00:30,60,TP 6349
2023-03-31,00:45,Dep 00:42,7,EY 8495
2023-03-31,00:50,Dep 01:47,6,MM 068
2023-03-31,01:20,Dep 01:26,3,QR 5844
2023-03-31,01:50,Dep 01:54,29,QR 5838
2023-03-31,07:00,Dep 07:05,520,CX 5820
2023-03-31,07:05,Dep 07:04,62,CX 5850
2023-03-31,07:15,Dep 07:10,21,CX 5618
2023-03-31,07:20,Dep 07:35,5,CX 366
2023-03-31,07:20,Dep 07:20,2,CX 907
2023-03-31,07:35,Dep 07:35,511,CX 5600
2023-03-31,07:45,Dep 07:53,45,CX 257
2023-03-31,07:50,Dep 08:18,34,CA 6524
2023-03-31,07:55,Dep 08:43,6,AA 8959
2023-03-31,07:55,Dep 08:32,24,CX 982
2023-03-31,08:00,Dep 07:56,32,CX 488
2023-03-31,08:00,Dep 08:14,69,AA 8898
2023-03-31,08:00,Dep 08:33,3,AA 8906
2023-03-31,08:00,Dep 08:03,13,CX 5130
2023-03-31,08:00,Dep 08:00,521,CX 5760
2023-03-31,08:10,Dep 08:38,61,AA 8966
2023-03-31,08:10,Dep 08:30,60,CX 596
2023-03-31,08:10,Dep 08:18,17,CX 5704
2023-03-31,08:15,Dep 08:17,29,HU 8492
2023-03-31,08:15,Dep 08:24,4,MH 9189
2023-03-31,08:25,Dep 08:27,47,HB 681
2023-03-31,08:30,Dep 08:27,19,CA 118
2023-03-31,08:30,Dep 08:34,43,HX 690
2023-03-31,08:30,Dep 09:01,20,QR 5817
2023-03-31,08:35,Dep 08:50,65,CX 607
2023-03-31,08:35,Dep 08:54,26,QR 5813
2023-03-31,08:35,Dep 08:50,8,AA 8910
2023-03-31,08:45,Dep 09:38,2,BA 4135
2023-03-31,08:45,Dep 09:00,41,JL 7030
2023-03-31,08:45,Dep 08:47,28,CX 5686
2023-03-31,08:50,Dep 08:59,1,CX 432
2023-03-31,09:00,Dep 08:56,68,GA 873
2023-03-31,09:00,Dep 09:12,66,CA 6510
2023-03-31,09:00,Dep 09:40,35,CX 901
2023-03-31,09:05,Dep 09:08,27,SQ 899
2023-03-31,09:05,Dep 09:14,36,CX 830
2023-03-31,09:05,Dep 09:08,40,CA 6534
2023-03-31,09:15,Dep 09:30,71,AI 7160
2023-03-31,09:15,Dep 09:28,31,AA 8913
2023-03-31,09:15,Dep 09:21,520,CX 5848
2023-03-31,09:20,Dep 09:27,11,BR 2898
2023-03-31,09:20,Dep 09:35,63,CX 368
2023-03-31,09:20,Dep 09:24,7,AA 8887
2023-03-31,09:20,Dep 09:26,522,HB 530
2023-03-31,09:25,Dep 09:38,30,5J 273
2023-03-31,09:30,Dep 09:35,25,CX 348
2023-03-31,09:30,Dep 09:42,42,AA 8940
2023-03-31,09:30,Dep 09:50,44,NZ 4148
2023-03-31,09:40,Dep 09:55,32,5J 241
2023-03-31,09:50,Dep 11:23,28,HX 1820
2023-03-31,09:55,Dep 10:00,523,HU 8084
2023-03-31,10:00,Dep 10:05,21,AA 8915
2023-03-31,10:00,Dep 10:06,67,CA 6522
2023-03-31,10:10,Dep 10:14,49,QF 8213
2023-03-31,10:15,Dep 11:35,6,CI 602
2023-03-31,10:20,Dep 10:26,9,CX 494
2023-03-31,10:20,Dep 10:27,46,JL 7052
2023-03-31,10:30,Dep 10:53,69,AA 8882
2023-03-31,10:35,Dep 10:32,47,CX 5870
2023-03-31,10:40,Dep 10:44,29,HA 5382
2023-03-31,10:45,Dep 11:37,62,CX 828
2023-03-31,10:45,Dep 10:45,521,CX 5110
2023-03-31,10:45,Dep 10:34,24,FD 516
2023-03-31,10:50,Dep 10:56,511,CX 5620
2023-03-31,11:00,Dep 11:03,61,JL 7058
2023-03-31,11:00,Dep 12:04,60,5J 111
2023-03-31,11:00,Dep 11:20,16,CX 5172
2023-03-31,11:05,Dep 11:18,42,TR 981
2023-03-31,11:10,Dep 12:35,33,PR 301
2023-03-31,11:10,Dep 11:15,13,HU 8052
2023-03-31,11:10,Dep 11:25,10,HX 658
2023-03-31,11:10,Dep 11:04,26,FD 509
2023-03-31,11:15,Dep 11:20,23,BA 4577
2023-03-31,11:15,Dep 11:37,31,MF 8712
2023-03-31,11:20,Dep 11:25,20,CX 5898
2023-03-31,11:25,Dep 11:26,34,MU 2902
2023-03-31,11:30,Dep 11:45,8,TK 8876
2023-03-31,11:30,Dep 11:43,44,CX 2739
2023-03-31,11:35,Dep 11:56,43,CX 946
2023-03-31,11:35,Dep 11:44,17,CX 5690
2023-03-31,11:35,Dep 11:48,36,FM 3026
2023-03-31,11:35,Dep 11:45,25,MF 8684
2023-03-31,11:55,Dep 12:06,24,AK 139
2023-03-31,12:00,Dep 12:07,4,CA 6502
2023-03-31,12:05,Dep 13:02,26,OM 298
2023-03-31,12:05,Dep 12:12,63,FM 3002
2023-03-31,12:15,Dep 12:19,7,DL 7886
2023-03-31,12:20,Dep 13:14,30,AF 8404
2023-03-31,12:20,Dep 12:44,29,MF 382
2023-03-31,12:25,Dep 12:31,5,SQ 875
2023-03-31,12:25,Dep 12:48,16,CX 5112
2023-03-31,12:30,Dep 12:27,35,CA 3856
2023-03-31,12:30,Dep 12:32,27,MF 8656
2023-03-31,12:35,Dep 12:39,15,HX 775
2023-03-31,12:35,Dep 12:33,522,CX 5638
2023-03-31,12:45,Dep 12:47,41,MH 9195
2023-03-31,12:45,Dep 12:48,13,CX 5132
2023-03-31,12:45,Dep 12:52,42,TG 601
2023-03-31,12:50,Dep 12:43,28,CA 104
2023-03-31,12:50,Dep 12:49,71,MU 2068
2023-03-31,12:50,Dep 13:25,62,FM 3022
2023-03-31,13:00,Dep 13:00,21,CX 5646
2023-03-31,13:05,Dep 13:09,67,CX 253
2023-03-31,13:10,Dep 13:17,66,HU 8359
2023-03-31,13:20,Dep 13:26,24,9C 8716
2023-03-31,13:20,Dep 13:41,8,PR 319
2023-03-31,13:25,Dep 13:32,521,CX 5700
2023-03-31,13:30,Dep 13:40,45,CZ 310
2023-03-31,13:40,Dep 14:29,32,HX 1824
2023-03-31,13:40,Dep 13:42,64,CX 360
2023-03-31,13:55,Dep 15:34,62,CI 910
2023-03-31,13:55,Dep 13:47,18,BI 3403
2023-03-31,14:05,Dep 14:45,10,CX 310
2023-03-31,14:05,Dep 14:16,9,CX 919
2023-03-31,14:10,Dep 14:16,65,BA 4571
2023-03-31,14:25,Dep 15:44,28,CX 418
