date,time,status,gate,no
2023-03-18,00:15,Dep 00:28,4,MH 9190
2023-03-18,00:20,Dep 00:31,60,CX 233
2023-03-18,00:25,Dep 00:25,43,BA 4567
2023-03-18,00:25,Dep 00:35,45,IB 1961
2023-03-18,00:30,Dep 00:28,25,QR 815
2023-03-18,00:40,Dep 00:50,24,HX 1566
2023-03-18,00:55,Dep 01:13,29,MH 9198
2023-03-18,00:55,Dep 01:01,35,EY 8495
2023-03-18,01:00,Dep 01:14,8,CX 888
2023-03-18,01:25,Dep 01:31,521,HX 781
2023-03-18,01:25,Dep 01:21,42,QR 5844
2023-03-18,01:30,Dep 01:27,6,HA 5382
2023-03-18,01:35,Dep 01:49,11,MM 068
2023-03-18,01:50,Dep 02:01,1,QR 5838
2023-03-18,02:20,Dep 02:20,36,MH 9210
2023-03-18,07:10,Dep 07:12,17,CX 5618
2023-03-18,07:30,Dep 07:32,33,CA 6504
2023-03-18,07:30,Dep 07:41,49,CX 366
2023-03-18,07:30,Dep 07:40,36,AC 9775
2023-03-18,07:30,Dep 07:51,521,CX 5114
2023-03-18,07:35,Dep 07:38,520,CX 5724
2023-03-18,07:35,Dep 07:29,18,CX 5820
2023-03-18,07:40,Dep 07:41,16,CX 5600
2023-03-18,07:55,Dep 07:53,40,CX 982
2023-03-18,07:55,Dep 08:03,511,CX 5704
2023-03-18,08:00,Dep 08:03,63,CX 488
2023-03-18,08:10,Dep 08:24,61,JL 7026
2023-03-18,08:10,Dep 08:25,4,JL 7028
2023-03-18,08:15,Dep 08:14,7,HX 610
2023-03-18,08:25,Dep 08:30,66,MH 9189
2023-03-18,08:25,Dep 09:20,69,BA 4559
2023-03-18,08:25,Dep 08:49,50,PR 3201
2023-03-18,08:30,Dep 08:57,71,CX 257
2023-03-18,08:30,Dep 08:25,25,HX 632
2023-03-18,08:30,Dep 08:29,32,AC 9761
2023-03-18,08:30,Dep 08:29,13,HB 520
2023-03-18,08:30,Dep 08:31,19,HB 681
2023-03-18,08:35,Dep 08:33,11,LY 9125
2023-03-18,08:35,Dep 08:56,27,AC 9760
2023-03-18,08:40,Dep 15:36,15,HU 8516
2023-03-18,08:45,Dep 09:03,65,BA 4135
2023-03-18,08:50,Dep 08:52,35,CX 432
2023-03-18,08:55,Dep 09:09,46,JL 7030
2023-03-18,08:55,Dep 08:57,523,CX 5686
2023-03-18,09:00,Dep 08:58,20,HU 8492
2023-03-18,09:00,Dep 09:08,45,CA 6510
2023-03-18,09:00,Dep 09:12,67,AY 5137
2023-03-18,09:00,Dep 09:11,9,AC 9777
2023-03-18,09:10,Dep 09:16,5,QR 5804
2023-03-18,09:10,Dep 09:24,31,AC 9763
2023-03-18,09:15,Dep 09:26,23,AI 7160
2023-03-18,09:20,Dep 09:24,44,AA 8887
2023-03-18,09:20,Dep 09:20,30,QR 3483
2023-03-18,09:20,Dep 09:22,521,CX 5848
2023-03-18,09:20,Dep 09:28,511,HB 530
2023-03-18,09:25,Dep 09:26,49,5J 273
2023-03-18,09:35,Dep 09:35,47,HX 308
2023-03-18,09:45,Dep 09:50,33,CX 368
2023-03-18,09:50,Dep 09:45,15,HX 252
2023-03-18,09:50,Dep 09:52,18,CX 5680
2023-03-18,09:55,Dep 10:04,10,AC 9771
2023-03-18,09:55,Dep 09:53,522,CX 5850
2023-03-18,10:00,Dep 09:59,29,QR 3485
2023-03-18,10:00,Dep 10:00,48,NZ 4148
2023-03-18,10:15,Dep 10:22,24,TG 5866
2023-03-18,10:20,Dep 10:16,11,CI 602
2023-03-18,10:20,Dep 10:17,34,CA 6522
2023-03-18,10:25,Dep 10:29,66,CX 356
2023-03-18,10:25,Dep 10:36,1,CX 494
2023-03-18,10:25,Dep 10:21,41,QR 3453
2023-03-18,10:30,Dep 10:32,4,JL 7046
2023-03-18,10:45,Dep 10:59,25,JL 7052
2023-03-18,10:50,Dep 10:51,27,CX 5870
2023-03-18,11:00,Dep 11:30,32,5J 111
2023-03-18,11:00,Dep 10:58,16,CX 5172
2023-03-18,11:00,Dep 11:15,35,CX 5668
2023-03-18,11:05,Dep 10:55,43,AI 7182
2023-03-18,11:10,Dep 11:04,9,SQ 8633
2023-03-18,11:10,Dep 11:12,63,JL 7058
2023-03-18,11:15,Dep 11:27,30,HX 1822
2023-03-18,11:15,Dep 11:23,23,CI 904
2023-03-18,11:30,Dep 11:43,5,PR 301
2023-03-18,11:30,Dep 11:28,68,AI 7172
2023-03-18,11:40,Dep 11:48,61,CX 370
2023-03-18,11:45,Dep 11:45,10,Z2 1265
2023-03-18,11:50,Dep 11:54,33,CX 5110
2023-03-18,11:50,Dep 11:52,15,CX 5898
2023-03-18,12:10,Dep 12:22,47,TK 9221
2023-03-18,12:15,Dep 12:13,67,CA 6526
2023-03-18,12:15,Dep 12:17,29,MU 502
2023-03-18,12:15,Dep 12:13,6,CX 2691
2023-03-18,12:20,Dep 12:25,28,UA 862
2023-03-18,12:20,Dep 12:31,31,MF 8656
2023-03-18,12:30,Dep 12:31,19,UO 132
2023-03-18,12:40,Dep 12:37,24,AK 139
2023-03-18,12:45,Dep 12:47,65,MH 9195
2023-03-18,12:45,Dep 13:00,44,TG 601
2023-03-18,12:55,Dep 12:57,46,9C 8716
2023-03-18,13:00,Dep 12:59,15,CX 5646
2023-03-18,13:05,Dep 13:47,41,MF 382
2023-03-18,13:05,Dep 14:21,18,UO 700
2023-03-18,13:10,Dep 13:35,33,MF 8696
2023-03-18,13:15,Dep 13:27,17,CX 5626
2023-03-18,13:30,Dep 13:33,4,CA 6518
2023-03-18,13:35,Dep 13:31,34,HX 1824
2023-03-18,13:35,Dep 13:33,69,CX 360
2023-03-18,13:45,Dep 13:37,27,GS 7964
2023-03-18,13:50,Dep 14:19,71,CX 253
2023-03-18,13:50,Dep 13:45,25,CZ 310
2023-03-18,14:00,Dep 14:07,60,CA 6512
2023-03-18,14:00,Dep 14:00,35,MU 504
2023-03-18,14:05,Dep 14:01,30,CI 910
2023-03-18,14:10,Dep 14:17,23,SQ 883
2023-03-18,14:10,Dep 14:28,11,QF 8229
2023-03-18,14:10,Dep 14:07,29,SC 4790
2023-03-18,14:20,Dep 14:22,1,CX 919
2023-03-18,14:25,Dep 14:28,8,BA 4571
2023-03-18,14:25,Dep 14:26,32,UA 7918
2023-03-18,14:30,Dep 14:31,66,QR 3472
2023-03-18,14:35,Dep 14:29,28,CX 6112
2023-03-18,14:50,Dep 15:01,10,QR 4971
2023-03-18,14:55,Dep 14:50,16,CX 5764
2023-03-18,15:00,Dep 15:24,62,CX 380
2023-03-18,15:20,Dep 15:26,20,CX 5780
2023-03-18,15:25,Dep 15:14,34,CX 6130
2023-03-18,15:25,Dep 15:18,31,FM 3008
2023-03-18,15:30,Dep 15:26,26,CX 6261
2023-03-18,15:35,Dep 16:10,6,HA 5000
2023-03-18,15:45,Dep 15:43,61,CX 472
2023-03-18,15:55,Dep 15:50,5,SQ 893
2023-03-18,15:55,Dep 15:05,40,ET 644
2023-03-18,15:55,Dep 15:53,60,CX 5558
2023-03-18,16:00,Dep 15:58,2,QR 3457
2023-03-18,16:05,Dep 16:07,68,QR 3451
2023-03-18,16:15,Dep 16:17,11,CX 903
2023-03-18,16:15,Dep 16:07,32,FD 501
2023-03-18,16:25,Dep 16:30,8,QR 5842
2023-03-18,16:30,Dep 17:01,35,CX 731
2023-03-18,16:35,Dep 16:30,63,QR 5808
2023-03-18,16:40,Dep 16:34,28,AE 5312
2023-03-18,16:40,Dep 16:45,1,QR 5832
2023-03-18,16:40,Dep 16:45,41,MH 9192
2023-03-18,16:50,Dep 16:58,45,ZH 9092
2023-03-18,16:50,Dep 16:44,71,BA 4563
2023-03-18,16:50,Dep 16:59,9,CX 5754
2023-03-18,17:00,Dep 18:38,9,RA 410
2023-03-18,17:05,Dep 17:01,44,9C 8922
2023-03-18,17:15,Dep 17:15,15,CX 5134
2023-03-18,17:15,Dep 17:28,43,ET 1761
2023-03-18,17:15,Dep 17:21,34,MF 8704
2023-03-18,17:20,Dep 17:23,50,CX 456
2023-03-18,17:20,Dep 17:35,27,JL 7903
2023-03-18,17:25,Dep 17:11,30,CX 6128
2023-03-18,17:30,Dep 17:43,67,VN 3567
2023-03-18,17:35,Dep 17:33,32,CA 110
2023-03-18,17:35,Dep 17:44,66,CX 402
2023-03-18,17:40,Dep 18:16,40,TK 8722
2023-03-18,17:40,Dep 17:46,29,JL 7909
2023-03-18,17:50,Dep 17:55,25,CX 978
2023-03-18,17:55,Dep 17:56,31,CX 990
2023-03-18,18:05,Dep 18:07,36,CI 916
2023-03-18,18:10,Dep 18:17,10,HB 504
2023-03-18,18:15,Dep 18:16,20,CX 5182
2023-03-18,18:15,Dep 18:09,42,MU 528
2023-03-18,18:20,Dep 18:25,49,AI 7174
2023-03-18,18:20,Dep 18:40,11,QF 128
2023-03-18,18:30,Dep 18:25,46,3U 3960
2023-03-18,18:45,Dep 18:52,13,UO 112
2023-03-18,18:50,Dep 18:59,23,VA 5775
2023-03-18,18:50,Dep 18:56,65,CX 826
2023-03-18,18:55,Dep 18:52,45,PR 307
2023-03-18,19:00,Dep 19:08,2,CX 603
2023-03-18,19:00,Dep 18:58,28,MU 506
2023-03-18,19:05,Dep 19:02,47,HX 765
2023-03-18,19:05,Dep 19:04,41,BA 4575
2023-03-18,19:05,Dep 19:45,32,MF 8686
2023-03-18,19:10,Dep 19:20,24,LA 6039
2023-03-18,19:10,Dep 19:14,44,MU 766
2023-03-18,19:15,Dep 19:16,30,5J 113
2023-03-18,19:25,Dep 19:25,15,BR 2892
2023-03-18,19:35,Dep 19:25,42,MU 536
2023-03-18,19:40,Dep 19:36,34,HX 1832
2023-03-18,19:45,Dep 20:12,36,TG 639
2023-03-18,19:50,Dep 19:34,10,VJ 877
2023-03-18,19:55,Dep 20:02,26,CI 920
2023-03-18,19:55,Dep 19:48,18,HX 107
2023-03-18,20:00,Dep 20:08,4,MH 9182
2023-03-18,20:10,Dep 20:12,35,JL 7913
2023-03-18,20:15,Dep 20:22,1,JL 7933
2023-03-18,20:25,Dep 20:28,61,QR 3471
2023-03-18,20:35,Dep 20:33,29,CX 623
2023-03-18,21:00,Dep 20:50,60,EK 385
2023-03-18,21:25,Dep 21:29,66,BA 4551
2023-03-18,21:30,Dep 21:40,71,CX 667
2023-03-18,21:35,Dep 21:56,47,TK 9223
2023-03-18,22:00,Dep 21:57,11,CX 939
2023-03-18,22:05,Dep 22:09,43,AY 100
2023-03-18,22:05,Dep 21:57,26,5J 115
2023-03-18,22:25,Dep 23:01,1,CX 251
2023-03-18,22:40,Dep 22:42,32,PR 311
2023-03-18,22:55,Dep 23:16,2,CX 261
2023-03-18,23:00,Dep 22:58,7,CX 8032
2023-03-18,23:05,Dep 23:51,5,CX 6633
2023-03-18,23:20,Dep 23:38,28,CX 271
2023-03-18,23:40,Dep 00:01 (19/03/2023),64,LH 7015
2023-03-18,23:45,Dep 23:44,6,NZ 4213
2023-03-18,23:50,Dep 00:23 (19/03/2023),4,CX 255
2023-03-18,23:50,Dep 23:40,13,UO 624
2023-03-18,23:55,Dep 23:51,47,ET 645
2023-03-18,23:55,Dep 23:56,33,BA 4131
