date,time,status,gate,no
2023-06-10,00:05,Dep 00:16,3,AA 8933
2023-06-10,00:15,Dep 00:43,66,IB 1961
2023-06-10,00:20,Dep 00:28,43,LA 5642
2023-06-10,00:25,Dep 00:34,64,CX 233
2023-06-10,00:25,Dep 00:27,46,JU 8317
2023-06-10,00:30,Dep 00:36,48,HX 1566
2023-06-10,00:35,Dep 00:50,62,TP 6349
2023-06-10,00:45,Dep 01:20,5,CX 888
2023-06-10,00:45,Dep 00:51,6,EY 8495
2023-06-10,00:50,Dep 01:37,8,AA 8930
2023-06-10,00:50,Dep 01:31,33,MM 068
2023-06-10,01:05,Dep 01:51,16,TK 9223
2023-06-10,01:20,Dep 01:24,35,QR 5844
2023-06-10,01:50,Dep 01:56,34,QR 5838
2023-06-10,02:00,Dep 02:14,36,MH 9210
2023-06-10,07:00,Dep 06:50,45,CX 5820
2023-06-10,07:15,Dep 07:14,18,HX 676
2023-06-10,07:20,Dep 07:26,60,CX 366
2023-06-10,07:20,Dep 07:22,26,CX 907
2023-06-10,07:35,Dep 07:38,10,UO 600
2023-06-10,07:45,Dep 07:38,511,UO 550
2023-06-10,07:55,Dep 07:56,67,CX 982
2023-06-10,08:00,Dep 07:58,43,CX 488
2023-06-10,08:00,Dep 08:03,27,AA 8898
2023-06-10,08:00,Dep 08:07,36,AA 8906
2023-06-10,08:00,Dep 08:04,21,UO 130
2023-06-10,08:00,Dep 07:57,20,UO 760
2023-06-10,08:10,Dep 10:19,35,CX 257
2023-06-10,08:10,Dep 10:00,24,AA 8966
2023-06-10,08:10,Dep 08:15,66,JL 7054
2023-06-10,08:10,Dep 08:10,6,CX 596
2023-06-10,08:10,Dep 08:14,513,UO 704
2023-06-10,08:15,Dep 08:05,524,HU 8492
2023-06-10,08:15,Dep 08:13,62,OZ 9294
2023-06-10,08:15,Dep 08:12,14,JL 7068
2023-06-10,08:15,Dep 08:28,71,MH 9189
2023-06-10,08:15,Dep 08:15,11,PR 3201
2023-06-10,08:15,Dep 08:28,520,HB 520
2023-06-10,08:25,Dep 08:19,48,ET 1761
2023-06-10,08:25,Dep 08:29,521,HB 681
2023-06-10,08:30,Dep 08:26,522,CA 118
2023-06-10,08:30,Dep 08:39,3,QR 5817
2023-06-10,08:35,Dep 08:37,40,AA 8910
2023-06-10,08:40,Dep 08:35,523,HU 8516
2023-06-10,08:45,Dep 08:56,63,JL 7030
2023-06-10,08:45,Dep 08:46,33,UO 686
2023-06-10,08:50,Dep 08:51,7,CX 432
2023-06-10,09:00,Dep 09:00,9,HX 1953
2023-06-10,09:00,Dep 09:12,8,CA 6510
