date,time,status,gate,no
2023-03-11,00:15,Dep 00:34,4,MH 9190
2023-03-11,00:20,Dep 00:35,36,CX 233
2023-03-11,00:25,Dep 00:28,64,BA 4567
2023-03-11,00:25,Dep 00:25,2,IB 1961
2023-03-11,00:30,Dep 00:28,30,QR 815
2023-03-11,00:40,Dep 00:38,9,HX 1566
2023-03-11,00:55,Dep 01:06,41,MH 9198
2023-03-11,00:55,Dep 00:55,26,EY 8495
2023-03-11,01:00,Dep 01:15,35,CX 888
2023-03-11,01:25,Dep 01:40,42,HX 781
2023-03-11,01:25,Dep 01:35,29,QR 5844
2023-03-11,01:30,Dep 01:29,6,HA 5382
2023-03-11,01:35,Dep 01:39,3,MM 068
2023-03-11,01:50,Dep 01:52,1,QR 5838
2023-03-11,03:20,Dep 03:43,69,MH 9210
2023-03-11,07:00,Dep 06:53,50,HU 8190
2023-03-11,07:10,Dep 07:03,44,CX 5618
2023-03-11,07:30,Dep 07:26,49,CA 6504
2023-03-11,07:30,Dep 07:40,45,CX 366
2023-03-11,07:30,Dep 07:31,43,AC 9775
2023-03-11,07:30,Dep 07:39,15,CX 5114
2023-03-11,07:35,Dep 07:42,21,CX 5724
2023-03-11,07:35,Dep 07:34,17,CX 5820
2023-03-11,07:40,Dep 07:43,8,CX 5600
2023-03-11,07:55,Dep 07:55,71,CX 982
2023-03-11,07:55,Dep 07:56,16,CX 5704
2023-03-11,08:00,Dep 08:28,32,CX 488
2023-03-11,08:10,Dep 08:09,34,JL 7026
2023-03-11,08:10,Dep 08:19,24,JL 7028
2023-03-11,08:15,Dep 08:09,35,HX 610
2023-03-11,08:25,Dep 08:26,67,MH 9189
2023-03-11,08:25,Dep 08:26,61,BA 4559
2023-03-11,08:25,Dep 08:30,23,PR 3201
2023-03-11,08:30,Dep 08:45,41,CX 257
2023-03-11,08:30,Dep 08:24,33,HX 632
2023-03-11,08:30,Dep 08:38,68,AC 9761
2023-03-11,08:30,Dep 08:37,13,HB 520
2023-03-11,08:30,Dep 08:25,10,HB 681
2023-03-11,08:35,Dep 08:38,31,LY 9125
2023-03-11,08:35,Dep 08:39,48,AC 9760
2023-03-11,08:40,Dep 08:41,25,HU 8516
2023-03-11,08:45,Dep 10:08,60,BA 4135
2023-03-11,08:50,Dep 08:56,47,CX 432
2023-03-11,08:55,Dep 08:59,36,JL 7030
2023-03-11,08:55,Dep 08:54,521,CX 5686
2023-03-11,09:00,Dep 09:00,18,HU 8492
2023-03-11,09:00,Dep 09:02,40,CA 6510
2023-03-11,09:00,Dep 09:01,3,AY 5137
2023-03-11,09:00,Dep 09:00,70,AC 9777
2023-03-11,09:10,Dep 09:19,4,QR 5804
2023-03-11,09:10,Dep 09:12,63,AC 9763
2023-03-11,09:15,Dep 09:13,46,AI 7160
2023-03-11,09:20,Dep 09:53,26,AA 8887
2023-03-11,09:20,Dep 09:23,6,QR 3483
2023-03-11,09:20,Dep 09:29,19,CX 5848
2023-03-11,09:20,Dep 09:21,20,HB 530
2023-03-11,09:25,Dep 11:18,45,5J 273
2023-03-11,09:45,Dep 09:47,43,CX 368
2023-03-11,09:50,Dep 09:53,522,CX 5680
2023-03-11,09:55,Dep 10:16,8,AC 9771
2023-03-11,09:55,Dep 09:53,15,CX 5850
2023-03-11,10:00,Dep 10:09,62,QR 3485
2023-03-11,10:00,Dep 10:05,28,NZ 4148
2023-03-11,10:15,Dep 10:26,29,TG 5866
2023-03-11,10:20,Dep 10:13,23,CI 602
2023-03-11,10:20,Dep 10:24,42,CA 6522
2023-03-11,10:25,Dep 10:27,21,CX 356
2023-03-11,10:25,Dep 10:24,50,CX 494
2023-03-11,10:25,Dep 10:19,27,QR 3453
2023-03-11,10:30,Dep 10:36,9,JL 7046
2023-03-11,10:45,Dep 10:51,35,JL 7052
2023-03-11,10:50,Dep 10:48,521,CX 5870
2023-03-11,11:00,Dep 11:51,24,5J 111
2023-03-11,11:00,Dep 10:59,511,CX 5172
2023-03-11,11:00,Dep 10:57,16,CX 5668
2023-03-11,11:05,Dep 10:54,7,AI 7182
2023-03-11,11:10,Dep 11:16,31,SQ 8633
2023-03-11,11:10,Dep 11:11,49,JL 7058
2023-03-11,11:15,Dep 11:20,32,HX 1822
2023-03-11,11:15,Dep 11:13,36,CI 904
2023-03-11,11:30,Dep 11:34,34,PR 301
2023-03-11,11:30,Dep 11:26,30,AI 7172
2023-03-11,11:40,Dep 11:42,41,CX 370
2023-03-11,11:45,Dep 11:45,26,Z2 1265
2023-03-11,11:50,Dep 11:52,522,CX 5110
2023-03-11,11:50,Dep 11:51,19,CX 5898
2023-03-11,12:10,Dep 12:14,33,TK 9221
2023-03-11,12:15,Dep 12:50,68,CA 6526
2023-03-11,12:15,Dep 12:14,60,MU 502
2023-03-11,12:15,Dep 12:16,44,CX 2691
2023-03-11,12:20,Dep 12:22,5,UA 862
2023-03-11,12:20,Dep 13:17,6,MF 8656
2023-03-11,12:30,Dep 12:28,20,UO 132
2023-03-11,12:40,Dep 12:46,28,AK 139
2023-03-11,12:45,Dep 12:45,11,MH 9195
2023-03-11,12:45,Dep 12:57,40,TG 601
2023-03-11,12:50,Dep 12:57,521,8M 703
2023-03-11,12:55,Dep 13:06,9,9C 8716
2023-03-11,13:00,Dep 13:09,13,CX 5646
2023-03-11,13:05,Dep 13:24,10,MF 382
2023-03-11,13:05,Dep 13:07,21,UO 700
2023-03-11,13:10,Dep 13:44,7,MF 8696
2023-03-11,13:15,Dep 13:14,18,CX 5626
2023-03-11,13:30,Dep 13:29,42,CA 6518
2023-03-11,13:35,Dep 13:42,32,HX 1824
2023-03-11,13:35,Dep 13:36,66,CX 360
2023-03-11,13:45,Dep 13:38,47,GS 7964
2023-03-11,13:50,Dep 14:02,2,CX 253
2023-03-11,13:50,Dep 13:42,27,CZ 310
