date,time,status,gate,no
2023-03-05,00:25,Dep 00:32,43,BA 4567
2023-03-05,00:30,Dep 00:30,62,CX 237
2023-03-05,00:30,Dep 00:23,35,QR 815
2023-03-05,00:40,Dep 00:40,10,HX 1566
2023-03-05,00:55,Dep 01:02,28,EY 8495
2023-03-05,01:25,Dep 01:22,1,QR 5844
2023-03-05,01:30,Dep 01:33,50,CX 675
2023-03-05,01:30,Dep 01:23,6,HA 5382
2023-03-05,01:35,Dep 02:18,11,MM 068
2023-03-05,01:50,Dep 01:49,30,QR 5838
2023-03-05,03:20,Dep 03:57,71,MH 9210
2023-03-05,07:00,Dep 06:47,25,HU 8190
2023-03-05,07:10,Dep 07:04,50,CX 5618
2023-03-05,07:30,Dep 07:42,7,CA 6504
2023-03-05,07:30,Dep 07:45,32,CX 366
2023-03-05,07:30,Dep 07:29,9,AC 9775
2023-03-05,07:30,Dep 07:35,15,CX 5114
2023-03-05,07:35,Dep 07:32,17,CX 5724
2023-03-05,07:35,Dep 07:32,27,CX 5820
2023-03-05,07:40,Dep 07:50,18,CX 5600
2023-03-05,07:50,Dep 08:47,23,CA 6524
2023-03-05,07:55,Dep 08:15,31,CX 982
2023-03-05,07:55,Dep 07:56,21,CX 5704
2023-03-05,08:00,Dep 08:03,61,CX 488
2023-03-05,08:10,Dep 08:57,67,AA 8959
2023-03-05,08:10,Dep 08:15,45,JL 7026
2023-03-05,08:10,Dep 08:14,26,JL 7028
2023-03-05,08:15,Dep 08:19,16,HX 610
2023-03-05,08:15,Dep 08:13,34,CX 633
2023-03-05,08:25,Dep 08:35,47,MH 9189
2023-03-05,08:25,Dep 08:39,68,BA 4559
2023-03-05,08:30,Dep 08:44,49,CX 257
2023-03-05,08:30,Dep 08:30,10,HX 632
2023-03-05,08:30,Dep 08:41,70,HX 690
2023-03-05,08:30,Dep 08:45,33,AC 9761
2023-03-05,08:35,Dep 09:04,42,AC 9760
2023-03-05,08:45,Dep 09:05,36,BA 4135
2023-03-05,08:50,Dep 09:10,40,CX 432
2023-03-05,08:55,Dep 09:13,5,JL 7030
2023-03-05,08:55,Dep 08:59,20,CX 5686
2023-03-05,08:55,Dep 08:57,13,HB 502
2023-03-05,09:00,Dep 09:11,69,HX 1953
2023-03-05,09:00,Dep 09:12,19,HU 8492
2023-03-05,09:00,Dep 09:03,24,CA 6510
2023-03-05,09:00,Dep 09:10,41,AY 5137
2023-03-05,09:00,Dep 09:15,60,AC 9777
2023-03-05,09:10,Dep 09:28,63,QR 5804
2023-03-05,09:10,Dep 09:18,35,AC 9763
2023-03-05,09:15,Dep 09:23,11,AI 7160
2023-03-05,09:20,Dep 09:40,6,AA 8887
2023-03-05,09:20,Dep 09:41,8,QR 3483
2023-03-05,09:20,Dep 09:32,15,CX 5848
2023-03-05,09:20,Dep 09:33,65,HB 530
2023-03-05,09:25,Dep 09:24,7,5J 273
2023-03-05,09:30,Dep 09:40,46,JL 7064
2023-03-05,09:30,Dep 09:36,4,AA 8923
2023-03-05,09:40,Dep 09:33,511,UO 2642
2023-03-05,09:45,Dep 10:03,27,CX 368
2023-03-05,09:55,Dep 09:53,21,CX 5850
2023-03-05,10:00,Dep 10:00,31,QR 3485
2023-03-05,10:00,Dep 09:52,29,NZ 4148
2023-03-05,10:10,Dep 10:30,71,CX 954
2023-03-05,10:20,Dep 10:19,23,CI 602
2023-03-05,10:20,Dep 10:23,48,CA 6522
2023-03-05,10:20,Dep 10:15,18,CX 5630
2023-03-05,10:25,Dep 10:31,9,CX 494
2023-03-05,10:25,Dep 10:39,32,QR 3453
2023-03-05,10:30,Dep 10:38,42,JL 7046
2023-03-05,10:35,Dep 10:45,28,CX 828
2023-03-05,10:45,Dep 10:56,61,JL 7052
2023-03-05,10:50,Dep 10:50,45,CX 5870
2023-03-05,10:55,Dep 11:15,33,HU 8157
2023-03-05,11:00,Dep 11:09,43,BA 4577
2023-03-05,11:00,Dep 11:07,40,5J 111
2023-03-05,11:00,Dep 10:57,521,CX 5172
2023-03-05,11:05,Dep 11:07,17,AI 7182
2023-03-05,11:10,Dep 11:13,10,SQ 8633
2023-03-05,11:15,Dep 11:27,24,HX 1822
2023-03-05,11:15,Dep 11:09,11,CI 904
2023-03-05,11:30,Dep 11:28,8,PR 301
2023-03-05,11:30,Dep 11:26,70,AI 7172
2023-03-05,11:40,Dep 11:54,63,CX 370
2023-03-05,11:45,Dep 11:49,26,Z2 1265
2023-03-05,11:50,Dep 11:53,16,CX 5110
2023-03-05,11:50,Dep 11:49,20,CX 5898
2023-03-05,12:10,Dep 12:06,19,TK 9221
2023-03-05,12:15,Dep 12:14,4,CX 2691
2023-03-05,12:20,Dep 12:11,29,MF 8656
2023-03-05,12:25,Dep 12:33,3,MH 9200
2023-03-05,12:30,Dep 12:26,13,UO 132
