date,time,status,gate,no
2023-06-08,00:05,Dep 00:11,41,AA 8933
2023-06-08,00:15,Dep 00:14,32,IB 1961
2023-06-08,00:20,Dep 00:25,36,LA 5642
2023-06-08,00:25,Dep 00:27,47,JU 8317
2023-06-08,00:30,Dep 02:03,6,HX 1566
2023-06-08,00:35,Dep 00:34,60,TP 6349
2023-06-08,00:45,Dep 00:55,5,CX 888
2023-06-08,00:45,Dep 00:47,7,EY 8495
2023-06-08,00:50,Dep 01:12,24,MM 068
2023-06-08,01:05,Dep 01:01,16,TK 9223
2023-06-08,01:20,Dep 01:24,42,QR 5844
2023-06-08,01:50,Dep 01:43,25,QR 5838
2023-06-08,01:55,Dep 02:01,40,GA 9771
2023-06-08,02:20,Dep 02:29,4,CX 675
2023-06-08,07:00,Dep 07:25,10,CX 5820
2023-06-08,07:15,Dep 07:15,25,HX 676
2023-06-08,07:20,Dep 07:44,45,CX 366
2023-06-08,07:20,Dep 07:20,14,CX 907
2023-06-08,07:35,Dep 07:41,26,UO 600
2023-06-08,07:45,Dep 07:44,523,UO 550
2023-06-08,07:55,Dep 08:10,66,AA 8959
2023-06-08,07:55,Dep 08:03,62,CX 982
2023-06-08,08:00,Dep 08:20,15,CX 488
2023-06-08,08:00,Dep 08:34,32,AA 8898
2023-06-08,08:00,Dep 08:26,24,AA 8906
2023-06-08,08:00,Dep 08:12,18,UO 130
2023-06-08,08:10,Dep 08:21,64,CX 257
2023-06-08,08:10,Dep 09:11,7,AA 8966
2023-06-08,08:10,Dep 08:30,50,JL 7054
2023-06-08,08:10,Dep 08:56,1,CX 596
2023-06-08,08:10,Dep 08:34,522,UO 704
2023-06-08,08:15,Dep 08:15,20,HU 8492
2023-06-08,08:15,Dep 08:44,16,OZ 9294
2023-06-08,08:15,Dep 09:06,521,HB 520
2023-06-08,08:20,Dep 08:56,44,CX 633
2023-06-08,08:25,Dep 08:50,47,ET 1761
2023-06-08,08:25,Dep 09:02,524,HB 681
2023-06-08,08:30,Dep 08:30,520,CA 118
2023-06-08,08:30,Dep 08:39,48,QR 5817
2023-06-08,08:35,Dep 09:08,33,AA 8910
2023-06-08,08:35,Dep 08:41,36,CA 6518
2023-06-08,08:40,Dep 08:55,40,HU 8516
2023-06-08,08:45,Dep 09:18,34,JL 7030
2023-06-08,08:45,Dep 09:17,523,UO 686
2023-06-08,08:50,Dep 11:12,,CX 432
2023-06-08,09:00,Dep 10:18,35,GA 873
2023-06-08,09:00,Dep 09:18,69,CA 6510
2023-06-08,09:00,Dep 09:15,11,CX 901
2023-06-08,09:05,Dep 10:24,29,SQ 899
2023-06-08,09:05,Dep 09:24,23,AA 8880
2023-06-08,09:05,Dep 09:24,41,CX 830
2023-06-08,09:10,Dep 09:35,43,BA 4132
2023-06-08,09:15,Dep 09:27,71,AI 7160
2023-06-08,09:15,Dep 10:04,6,QF 8215
2023-06-08,09:15,Dep 10:01,65,AA 8913
2023-06-08,09:15,Dep 09:29,513,UO 848
2023-06-08,09:20,Dep 09:49,27,CX 368
2023-06-08,09:20,Dep 09:56,3,AA 8887
2023-06-08,09:20,Dep 10:03,25,5J 149
2023-06-08,09:20,Dep 09:35,522,HB 530
2023-06-08,09:25,Dep 09:54,10,5J 273
2023-06-08,09:30,Dep 10:12,70,CX 348
2023-06-08,09:30,Dep 10:16,28,AA 8940
2023-06-08,09:30,Dep 10:00,63,CX 970
2023-06-08,09:40,Dep 09:54,14,BR 2898
2023-06-08,09:40,Dep 09:47,30,JL 730
2023-06-08,09:50,Dep 11:01,32,HX 1820
2023-06-08,09:50,Dep 10:05,31,JL 7044
2023-06-08,09:55,Dep 10:07,16,HU 8084
2023-06-08,10:00,Dep 10:46,62,AA 8915
2023-06-08,10:00,Dep 10:45,521,CA 6522
2023-06-08,10:10,Dep 11:35,524,QF 8213
2023-06-08,10:15,Dep 11:05,33,CI 602
2023-06-08,10:15,Dep 10:59,20,CX 954
2023-06-08,10:20,Dep 10:55,49,CX 494
2023-06-08,10:20,Dep 10:33,24,JL 7052
2023-06-08,10:25,Dep 10:48,66,CX 356
2023-06-08,10:30,Dep 10:50,2,AA 8882
2023-06-08,10:40,Dep 10:38,13,UO 630
2023-06-08,10:40,Dep 10:42,26,HA 5382
2023-06-08,10:45,Dep 10:45,47,UO 110
2023-06-08,10:45,Dep 11:04,7,FD 516
2023-06-08,10:50,Dep 11:08,520,UO 620
2023-06-08,11:00,Dep 11:09,36,JL 7058
2023-06-08,11:00,Dep 12:44,65,5J 111
2023-06-08,11:00,Dep 11:13,48,CX 5172
2023-06-08,11:00,Dep 11:09,523,CX 5642
2023-06-08,11:05,Dep 11:17,27,TR 981
2023-06-08,11:05,Dep 11:05,23,CI 904
2023-06-08,11:05,Dep 11:16,9,CX 239
2023-06-08,11:10,Dep 11:31,17,HU 8052
2023-06-08,11:10,Dep 11:22,10,FD 509
2023-06-08,11:15,Dep 11:22,67,BA 4577
2023-06-08,11:15,Dep 11:13,21,HX 658
2023-06-08,11:15,Dep 11:30,5,UA 862
2023-06-08,11:20,Dep 11:19,522,UO 898
2023-06-08,11:30,Dep 11:25,34,TK 8876
2023-06-08,11:30,Dep 11:48,69,CX 2717
2023-06-08,11:35,Dep 11:30,18,UO 690
2023-06-08,11:35,Dep 11:26,31,FM 3026
2023-06-08,11:55,Dep 12:39,29,AK 139
2023-06-08,12:00,Dep 11:58,71,CA 6502
2023-06-08,12:05,Dep 12:02,25,CX 6200
2023-06-08,12:05,Dep 11:55,11,FM 3002
2023-06-08,12:15,Dep 12:39,60,CX 960
2023-06-08,12:25,Dep 12:35,8,SQ 875
2023-06-08,12:25,Dep 13:19,10,PR 301
2023-06-08,12:25,Dep 12:18,40,UO 112
2023-06-08,12:30,Dep 12:18,28,CZ 3076
2023-06-08,12:30,Dep 12:35,35,MF 8656
2023-06-08,12:35,Dep 12:37,30,HX 775
2023-06-08,12:35,Dep 12:34,520,UO 638
2023-06-08,12:45,Dep 12:47,6,CA 102
2023-06-08,12:45,Dep 12:56,43,MH 9195
2023-06-08,12:45,Dep 13:00,24,CX 952
2023-06-08,12:45,Dep 13:07,17,UO 132
2023-06-08,12:45,Dep 12:49,62,WY 5903
2023-06-08,12:50,Dep 12:47,33,CA 104
2023-06-08,12:50,Dep 13:05,7,FM 3022
2023-06-08,13:00,Dep 13:01,521,UO 646
2023-06-08,13:05,Dep 13:14,26,GS 7964
2023-06-08,13:10,Dep 12:58,14,HU 8359
2023-06-08,13:10,Dep 13:12,44,BA 4147
2023-06-08,13:20,Dep 13:15,49,9C 8716
2023-06-08,13:25,Dep 13:40,50,CX 253
2023-06-08,13:25,Dep 13:28,15,UO 700
2023-06-08,13:35,Dep 13:28,32,CZ 310
2023-06-08,13:40,Dep 13:52,36,HX 1824
2023-06-08,13:40,Dep 13:44,1,CX 360
2023-06-08,13:40,Dep 13:31,47,SC 4790
2023-06-08,13:55,Dep 14:10,25,CI 910
2023-06-08,14:00,Dep 13:57,21,UO 650
2023-06-08,14:05,Dep 14:08,70,CX 919
2023-06-08,14:25,Dep 14:21,63,CX 418
2023-06-08,14:25,Dep 14:27,67,OM 5637
2023-06-08,14:30,Dep 14:28,43,ZH 9086
2023-06-08,14:35,Dep 14:24,5,CA 112
2023-06-08,14:35,Dep 14:37,24,QR 4971
2023-06-08,14:40,Dep 14:51,13,HU 8209
2023-06-08,14:45,Dep 14:43,16,UO 114
2023-06-08,14:55,Dep 14:58,28,BI 636
2023-06-08,14:55,Dep 14:58,14,UO 688
2023-06-08,15:00,Dep 15:07,66,CX 380
2023-06-08,15:05,Dep 15:06,34,UA 7918
2023-06-08,15:05,Dep 15:06,29,HO 3504
2023-06-08,15:10,Dep 15:24,2,JL 7048
2023-06-08,15:15,Dep 15:20,6,HA 5000
2023-06-08,15:20,Dep 15:27,10,VN 595
