date,time,status,gate,no
2023-06-18,00:20,Dep 00:59,62,LX 9513
2023-06-18,00:25,Dep 00:34,29,ET 645
2023-06-18,00:25,Dep 00:28,5,JU 8317
2023-06-18,00:30,Dep 00:36,8,HX 1566
2023-06-18,00:35,Dep 00:43,60,TP 6349
2023-06-18,00:45,Dep 00:46,43,EY 8495
2023-06-18,00:50,Dep 00:53,27,MM 068
2023-06-18,01:05,Dep 01:05,10,TK 9223
2023-06-18,01:20,Dep 01:24,69,QR 5844
2023-06-18,01:50,Dep 01:54,4,QR 5838
2023-06-18,01:55,Dep 01:51,65,GA 9771
2023-06-18,02:20,Dep 02:22,36,CX 675
2023-06-18,07:00,Dep 06:55,14,CX 5820
2023-06-18,07:15,Dep 07:17,521,HX 676
2023-06-18,07:20,Dep 07:35,64,CX 366
2023-06-18,07:20,Dep 07:26,27,CX 907
2023-06-18,07:35,Dep 07:33,13,UO 600
2023-06-18,07:45,Dep 07:42,16,UO 550
2023-06-18,07:50,Dep 07:53,32,CA 6524
2023-06-18,07:55,Dep 08:10,2,AA 8959
2023-06-18,07:55,Dep 08:10,68,CX 982
2023-06-18,08:00,Dep 08:08,10,CX 488
2023-06-18,08:00,Dep 08:01,29,AA 8898
2023-06-18,08:00,Dep 08:14,66,AA 8906
2023-06-18,08:00,Dep 08:00,17,UO 130
2023-06-18,08:00,Dep 07:58,520,UO 760
2023-06-18,08:10,Dep 08:39,3,CX 257
2023-06-18,08:10,Dep 08:16,44,AA 8966
2023-06-18,08:10,Dep 08:23,23,JL 7054
2023-06-18,08:10,Dep 09:34,64,CX 596
2023-06-18,08:10,Dep 08:19,15,UO 704
2023-06-18,08:15,Dep 08:23,20,JL 7068
2023-06-18,08:15,Dep 08:54,47,MH 9189
2023-06-18,08:20,Dep 08:41,70,CX 633
2023-06-18,08:30,Dep 08:24,523,CA 118
2023-06-18,08:30,Dep 08:42,48,HX 690
2023-06-18,08:30,Dep 08:36,11,QR 5817
2023-06-18,08:35,Dep 08:41,21,QR 5813
2023-06-18,08:35,Dep 08:40,49,AA 8910
2023-06-18,08:45,Dep 09:08,45,JL 7030
2023-06-18,08:45,Dep 09:00,522,UO 686
2023-06-18,08:50,Dep 08:55,40,CX 432
2023-06-18,08:55,Dep 08:55,524,HB 502
2023-06-18,09:00,Dep 09:19,35,HX 1953
2023-06-18,09:00,Dep 09:22,50,CA 6510
2023-06-18,09:00,Dep 10:23,8,CX 901
2023-06-18,09:05,Dep 09:31,6,SQ 899
2023-06-18,09:05,Dep 09:24,67,AA 8880
2023-06-18,09:05,Dep 09:25,4,CX 830
2023-06-18,09:10,Dep 09:23,26,BA 4132
2023-06-18,09:10,Dep 09:10,18,UO 630
2023-06-18,09:15,Dep 09:39,520,AI 7160
2023-06-18,09:15,Dep 09:26,33,QF 8215
2023-06-18,09:15,Dep 09:44,36,AA 8913
2023-06-18,09:15,Dep 09:17,62,UO 848
2023-06-18,09:15,Dep 09:18,521,HB 540
2023-06-18,09:20,Dep 09:43,9,CX 368
2023-06-18,09:20,Dep 09:50,31,AA 8887
2023-06-18,09:20,Dep 09:50,10,5J 149
2023-06-18,09:20,Dep 09:27,523,HB 530
2023-06-18,09:25,Dep 09:35,32,5J 273
2023-06-18,09:30,Dep 09:59,7,CX 348
2023-06-18,09:30,Dep 09:52,34,AA 8940
2023-06-18,09:30,Dep 09:39,65,CX 970
2023-06-18,09:40,Dep 09:41,16,BR 2898
2023-06-18,09:40,Dep 09:59,24,JL 730
2023-06-18,09:50,Dep 10:01,29,HX 1820
2023-06-18,09:50,Dep 09:54,42,JL 7044
2023-06-18,09:55,Dep 10:21,14,HU 8084
2023-06-18,10:00,Dep 10:29,23,AA 8915
2023-06-18,10:00,Dep 10:09,68,CA 6522
2023-06-18,10:00,Dep 10:04,522,CX 5642
2023-06-18,10:10,Dep 10:28,66,QF 8213
2023-06-18,10:15,Dep 10:13,40,CI 602
2023-06-18,10:15,Dep 10:47,11,CX 954
2023-06-18,10:20,Dep 10:39,1,CX 494
2023-06-18,10:20,Dep 11:30,3,JL 7052
2023-06-18,10:25,Dep 11:57,14,HX 640
2023-06-18,10:30,Dep 10:36,63,AA 8882
2023-06-18,10:40,Dep 10:44,47,HA 5382
2023-06-18,10:45,Dep 11:09,49,CX 828
2023-06-18,10:45,Dep 10:47,21,UO 110
2023-06-18,10:45,Dep 10:45,10,FD 516
2023-06-18,10:50,Dep 10:52,15,UO 620
2023-06-18,11:00,Dep 11:20,26,JL 7058
2023-06-18,11:00,Dep 11:53,42,5J 111
2023-06-18,11:05,Dep 11:43,45,TR 981
2023-06-18,11:05,Dep 11:07,24,CI 904
2023-06-18,11:10,Dep 13:36,42,PR 301
2023-06-18,11:10,Dep 12:12,17,HU 8052
2023-06-18,11:10,Dep 11:10,9,FD 509
2023-06-18,11:10,Dep 11:41,71,CX 2739
2023-06-18,11:15,Dep 11:24,30,BA 4577
2023-06-18,11:15,Dep 11:16,18,HX 658
2023-06-18,11:15,Dep 11:19,5,UA 862
2023-06-18,11:20,Dep 11:27,13,UO 898
2023-06-18,11:30,Dep 11:41,44,TK 8876
2023-06-18,11:30,Dep 11:55,28,CX 2717
2023-06-18,11:35,Dep 11:49,520,UO 690
2023-06-18,11:35,Dep 12:50,29,FM 3026
2023-06-18,11:50,Dep 12:05,11,MU 2902
2023-06-18,12:00,Dep 12:03,24,AK 139
2023-06-18,12:00,Dep 12:01,67,CA 6502
2023-06-18,12:05,Dep 12:06,40,CX 6200
2023-06-18,12:05,Dep 12:20,23,FM 3002
2023-06-18,12:15,Dep 12:10,7,DL 7886
2023-06-18,12:20,Dep 13:05,6,AF 8404
2023-06-18,12:20,Dep 12:22,47,MF 382
2023-06-18,12:25,Dep 12:44,8,SQ 875
2023-06-18,12:25,Dep 12:29,16,UO 112
2023-06-18,12:30,Dep 12:23,31,CZ 3076
2023-06-18,12:30,Dep 12:34,41,MF 8656
2023-06-18,12:35,Cancelled,,HX 775
2023-06-18,12:35,Dep 12:42,521,UO 638
2023-06-18,12:40,Dep 13:05,2,AA 8937
2023-06-18,12:45,Dep 12:41,33,CA 102
2023-06-18,12:45,Dep 13:13,4,MH 9195
2023-06-18,12:45,Dep 12:47,48,UO 132
2023-06-18,12:45,Dep 13:22,36,WY 5903
2023-06-18,12:50,Dep 12:47,35,CA 104
2023-06-18,12:50,Dep 13:18,26,FM 3022
2023-06-18,12:55,Dep 12:57,21,CX 2474
2023-06-18,13:00,Dep 12:58,15,UO 646
2023-06-18,13:10,Dep 13:01,32,HU 8359
2023-06-18,13:20,Dep 13:26,50,9C 8716
2023-06-18,13:25,Dep 13:40,60,CX 253
2023-06-18,13:25,Dep 13:56,520,UO 700
2023-06-18,13:35,Dep 14:14,11,CZ 310
2023-06-18,13:40,Dep 13:44,30,HX 1824
2023-06-18,13:40,Dep 13:53,71,CX 360
2023-06-18,13:40,Dep 15:34,520,SC 4790
2023-06-18,13:55,Dep 14:02,7,CI 910
2023-06-18,13:55,Dep 13:53,1,AA 8929
2023-06-18,13:55,Dep 13:55,10,CX 5172
2023-06-18,14:00,Dep 14:02,20,UO 650
2023-06-18,14:05,Dep 14:12,49,CX 310
2023-06-18,14:05,Dep 14:03,25,CX 919
2023-06-18,14:10,Dep 14:13,70,BA 4571
2023-06-18,14:25,Dep 14:34,45,CX 418
2023-06-18,14:25,Dep 14:31,63,OM 5637
2023-06-18,14:30,Dep 14:35,29,ZH 9086
2023-06-18,14:35,Dep 14:35,5,CA 112
2023-06-18,14:35,Dep 14:47,44,QR 4971
2023-06-18,14:40,Dep 14:53,16,HU 8209
2023-06-18,14:55,Dep 15:00,26,BI 636
2023-06-18,14:55,Dep 14:48,24,UO 688
2023-06-18,15:00,Dep 15:04,9,CX 380
2023-06-18,15:05,Dep 15:02,34,UA 7918
2023-06-18,15:05,Dep 15:14,60,HO 3504
2023-06-18,15:10,Dep 15:30,64,JL 7048
2023-06-18,15:15,Dep 15:10,6,HA 5000
2023-06-18,15:25,Dep 15:25,62,CA 420
2023-06-18,15:25,Dep 15:40,7,HX 1826
2023-06-18,15:25,Dep 15:29,47,HB 683
2023-06-18,15:30,Dep 15:22,43,BI 3403
2023-06-18,15:30,Dep 15:29,18,CX 5566
2023-06-18,15:35,Dep 15:36,40,HU 8361
2023-06-18,15:35,Dep 15:25,10,FD 501
2023-06-18,15:40,Dep 15:42,23,SQ 893
2023-06-18,15:40,Dep 15:42,511,UO 862
2023-06-18,15:45,Dep 15:48,36,CX 472
2023-06-18,15:50,Dep 17:14,2,HU 8192
2023-06-18,15:50,Dep 16:05,50,UO 780
2023-06-18,15:55,Dep 16:02,27,PG 4560
2023-06-18,16:00,Dep 15:56,13,CX 605
2023-06-18,16:00,Dep 16:03,32,MU 504
2023-06-18,16:05,Dep 16:23,35,CX 810
2023-06-18,16:05,Dep 15:55,30,CZ 636
2023-06-18,16:10,Dep 16:16,70,BA 4563
2023-06-18,16:15,Dep 16:23,48,ET 644
2023-06-18,16:15,Dep 16:30,3,MH 9184
2023-06-18,16:20,Dep 17:02,31,JL 7032
2023-06-18,16:20,Dep 16:24,1,PR 3197
2023-06-18,16:25,Dep 16:28,8,QR 5832
2023-06-18,16:25,Dep 16:29,17,CX 5558
2023-06-18,16:30,Dep 16:22,29,VN 593
2023-06-18,16:35,Dep 16:41,11,CX 903
2023-06-18,16:40,Dep 16:47,4,AA 8901
2023-06-18,16:45,Dep 17:31,27,AE 5312
2023-06-18,16:45,Dep 17:00,522,CX 5744
2023-06-18,16:50,Dep 16:50,71,CA 3362
2023-06-18,16:50,Dep 16:50,33,CX 458
2023-06-18,16:50,Dep 16:48,21,AC 9797
