date,time,status,gate,no
2023-05-04,00:05,Dep 00:04,4,AA 8933
2023-05-04,00:15,Dep 00:52,29,IB 1961
2023-05-04,00:20,Dep 00:26,32,LX 9513
2023-05-04,00:25,Dep 00:16,40,JU 8317
2023-05-04,00:25,Dep 00:46,62,TP 6349
2023-05-04,00:30,Dep 00:24,11,HX 1566
2023-05-04,00:45,Dep 01:35,31,CX 888
2023-05-04,00:45,Dep 00:40,6,EY 8495
2023-05-04,00:50,Dep 01:08,30,MM 068
2023-05-04,01:05,Dep 00:57,17,TK 9223
2023-05-04,01:20,Dep 01:12,9,QR 5844
2023-05-04,01:50,Dep 01:51,25,QR 5838
2023-05-04,01:55,Dep 01:54,60,GA 9771
2023-05-04,02:00,Dep 02:11,66,MH 9210
2023-05-04,02:20,Dep 02:40,50,CX 675
2023-05-04,02:20,Dep 02:20,19,CX 5676
2023-05-04,07:05,Dep 06:56,511,UO 850
2023-05-04,07:15,Dep 07:17,20,UO 618
2023-05-04,07:20,Dep 07:23,47,CX 366
2023-05-04,07:20,Dep 07:16,15,CX 907
2023-05-04,07:35,Dep 07:25,19,UO 600
2023-05-04,07:45,Dep 07:47,14,UO 550
2023-05-04,07:55,Dep 08:07,71,AA 8959
2023-05-04,07:55,Dep 08:30,24,CX 982
2023-05-04,08:00,Dep 08:03,21,CX 488
2023-05-04,08:00,Dep 08:15,45,AA 8898
2023-05-04,08:00,Dep 08:07,1,AA 8906
2023-05-04,08:00,Dep 07:54,521,UO 130
2023-05-04,08:00,Dep 08:05,18,UO 760
2023-05-04,08:10,Dep 08:09,42,CX 257
2023-05-04,08:10,Dep 08:11,8,AA 8966
2023-05-04,08:10,Dep 08:55,60,CX 596
2023-05-04,08:15,Dep 08:17,28,HU 8492
2023-05-04,08:15,Dep 08:08,68,OZ 9294
2023-05-04,08:15,Dep 08:17,523,HB 520
2023-05-04,08:20,Dep 08:20,69,CX 633
2023-05-04,08:25,Dep 08:33,40,HX 1315
2023-05-04,08:25,Dep 08:32,32,HB 681
2023-05-04,08:30,Dep 08:30,522,CA 118
2023-05-04,08:30,Dep 08:40,70,QR 5817
2023-05-04,08:35,Dep 08:35,23,AA 8910
2023-05-04,08:35,Dep 08:45,35,CA 6518
2023-05-04,08:40,Dep 08:42,50,HU 8516
2023-05-04,08:45,Dep 08:46,64,JL 7030
2023-05-04,08:50,Dep 09:08,36,CX 432
2023-05-04,09:00,Dep 09:18,67,GA 873
2023-05-04,09:00,Dep 09:37,66,CA 6510
2023-05-04,09:00,Dep 09:00,48,CX 901
2023-05-04,09:05,Dep 09:07,5,SQ 899
2023-05-04,09:05,Dep 09:08,49,AA 8880
2023-05-04,09:05,Dep 09:10,4,CX 830
2023-05-04,09:10,Dep 09:22,65,BA 4132
2023-05-04,09:15,Dep 09:14,6,AI 7160
2023-05-04,09:15,Dep 09:27,41,QF 8215
2023-05-04,09:15,Dep 09:17,62,AA 8913
2023-05-04,09:20,Dep 09:18,3,CX 368
2023-05-04,09:20,Dep 09:19,30,AA 8887
2023-05-04,09:20,Dep 09:32,68,5J 149
2023-05-04,09:20,Dep 09:25,523,HB 530
2023-05-04,09:25,Dep 10:04,71,5J 273
2023-05-04,09:30,Dep 09:55,44,CX 348
2023-05-04,09:30,Dep 09:39,7,AA 8940
2023-05-04,09:30,Dep 09:32,46,CX 970
2023-05-04,09:40,Dep 09:39,11,BR 2898
2023-05-04,09:40,Dep 10:12,69,5J 241
2023-05-04,09:50,Dep 10:16,28,HX 1820
2023-05-04,09:50,Dep 09:54,33,JL 7044
2023-05-04,09:55,Dep 09:46,17,HU 8084
2023-05-04,10:00,Dep 10:01,61,AA 8915
2023-05-04,10:00,Dep 10:54,2,CA 6522
2023-05-04,10:10,Dep 10:40,34,QF 8213
2023-05-04,10:15,Dep 10:33,36,CI 602
2023-05-04,10:15,Dep 10:40,31,CX 954
2023-05-04,10:15,Dep 11:05,70,5J 111
2023-05-04,10:20,Dep 10:23,26,CX 494
