date,time,status,gate,no
2023-02-27,00:15,Dep 00:55,41,MH 9190
2023-02-27,00:25,Dep 00:40,69,BA 4567
2023-02-27,00:30,Dep 00:33,2,QR 815
2023-02-27,00:40,Dep 00:43,29,HX 1566
2023-02-27,00:55,Dep 00:59,3,MH 9198
2023-02-27,00:55,Dep 01:02,7,EY 8495
2023-02-27,01:00,Dep 01:29,46,CX 888
2023-02-27,01:05,Dep 02:23,48,CX 745
2023-02-27,01:25,Dep 01:22,8,HX 781
2023-02-27,01:25,Dep 01:26,45,QR 5844
2023-02-27,01:30,Dep 01:44,50,CX 675
2023-02-27,01:30,Dep 01:33,6,HA 5382
2023-02-27,01:35,Dep 02:07,2,MM 068
2023-02-27,01:50,Dep 01:59,63,QR 5838
2023-02-27,03:20,Dep 04:12,71,MH 9210
2023-02-27,07:00,Dep 06:57,68,HU 8190
2023-02-27,07:10,Dep 07:04,14,CX 5618
2023-02-27,07:30,Dep 07:34,47,CA 6504
2023-02-27,07:30,Dep 07:59,9,CX 366
2023-02-27,07:30,Dep 07:42,10,AC 9775
2023-02-27,07:35,Dep 07:36,20,CX 5724
2023-02-27,07:35,Cancelled,,CX 5820
2023-02-27,07:40,Dep 07:35,18,CX 5600
2023-02-27,07:50,Dep 07:58,1,CA 6524
2023-02-27,07:55,Dep 08:06,61,CX 982
2023-02-27,08:00,Dep 08:06,28,CX 488
2023-02-27,08:10,Dep 08:13,40,JL 7026
2023-02-27,08:15,Dep 08:12,34,HX 610
2023-02-27,08:20,Dep 08:39,21,CX 384
2023-02-27,08:25,Dep 08:31,42,MH 9189
2023-02-27,08:25,Dep 08:28,65,BA 4559
2023-02-27,08:30,Dep 08:40,6,CX 257
2023-02-27,08:30,Dep 08:32,8,HX 632
2023-02-27,08:30,Dep 08:34,60,AC 9761
2023-02-27,08:35,Dep 08:35,70,LY 9125
2023-02-27,08:35,Dep 08:48,35,CX 607
2023-02-27,08:40,Dep 09:31,11,AC 9760
2023-02-27,08:45,Dep 09:20,32,CA 6535
2023-02-27,08:50,Dep 08:56,44,CX 432
2023-02-27,08:55,Dep 09:04,69,JL 7030
2023-02-27,08:55,Dep 09:06,27,CX 5686
2023-02-27,08:55,Dep 08:57,15,HB 502
2023-02-27,09:00,Dep 08:56,30,HU 8492
2023-02-27,09:00,Dep 09:10,36,CA 6510
2023-02-27,09:00,Dep 09:18,45,AY 5137
2023-02-27,09:00,Dep 09:21,2,AC 9777
2023-02-27,09:05,Dep 09:04,16,CX 5704
2023-02-27,09:10,Dep 09:24,23,QR 5804
2023-02-27,09:10,Dep 09:31,29,AC 9763
2023-02-27,09:15,Dep 09:13,71,AI 7160
2023-02-27,09:20,Dep 09:23,7,HU 8157
2023-02-27,09:20,Dep 09:46,48,AA 8887
2023-02-27,09:20,Dep 09:41,33,QR 3483
2023-02-27,09:20,Dep 09:32,521,CX 5848
2023-02-27,09:20,Dep 09:24,41,HB 530
2023-02-27,09:25,Dep 09:33,68,5J 273
2023-02-27,09:30,Dep 09:59,47,JL 7064
2023-02-27,09:30,Dep 09:48,3,CX 970
2023-02-27,09:45,Dep 10:18,40,CX 368
2023-02-27,09:50,Dep 09:49,13,CX 5680
2023-02-27,09:55,Dep 09:59,19,CX 5850
2023-02-27,10:00,Dep 09:59,43,QR 3485
2023-02-27,10:00,Dep 10:06,24,NZ 4148
2023-02-27,10:15,Dep 13:10,6,TG 5866
2023-02-27,10:20,Dep 10:28,61,CA 6522
2023-02-27,10:20,Dep 10:21,31,CX 5630
2023-02-27,10:25,Dep 10:30,1,CX 494
2023-02-27,10:25,Dep 10:31,66,QR 3453
2023-02-27,10:30,Dep 10:36,4,BA 4577
2023-02-27,10:30,Dep 10:55,65,JL 7046
2023-02-27,10:45,Dep 10:51,50,JL 7052
2023-02-27,10:50,Dep 10:52,14,CX 5870
2023-02-27,11:00,Dep 11:53,8,5J 111
2023-02-27,11:00,Dep 11:06,42,CX 5172
2023-02-27,11:00,Dep 11:45,35,CX 5668
2023-02-27,11:05,Dep 11:41,32,CI 904
2023-02-27,11:05,Dep 10:57,49,AI 7182
2023-02-27,11:10,Dep 11:21,10,SQ 8633
2023-02-27,11:15,Dep 11:36,30,HX 1822
2023-02-27,11:30,Dep 11:43,7,PR 301
2023-02-27,11:30,Dep 11:30,27,AI 7172
2023-02-27,11:40,Dep 11:50,2,CX 370
2023-02-27,11:45,Dep 11:34,11,Z2 1265
2023-02-27,11:50,Dep 12:03,16,CX 5110
2023-02-27,11:50,Dep 11:45,20,CX 5898
2023-02-27,12:10,Dep 12:16,69,TK 9221
2023-02-27,12:15,Dep 12:15,15,CX 952
2023-02-27,12:15,Dep 12:21,44,CX 2691
2023-02-27,12:20,Dep 12:23,29,MF 8656
2023-02-27,12:30,Dep 12:30,17,UO 132
2023-02-27,12:35,Dep 12:49,24,DL 7886
2023-02-27,12:40,Dep 13:42,11,AK 139
2023-02-27,12:45,Dep 13:07,40,TG 601
2023-02-27,13:00,Dep 13:22,71,HX 246
2023-02-27,13:00,Dep 13:00,21,CX 5646
2023-02-27,13:05,Dep 13:07,33,MF 382
2023-02-27,13:10,Dep 13:28,31,MF 8696
2023-02-27,13:35,Dep 13:36,30,HX 1824
2023-02-27,13:35,Dep 13:47,3,CX 360
2023-02-27,13:45,Cancelled,,MU 2570
2023-02-27,13:45,Dep 13:42,70,GS 7964
2023-02-27,13:50,Dep 14:15,4,CX 253
2023-02-27,13:50,Dep 13:48,47,CZ 310
2023-02-27,13:55,Dep 13:48,8,MU 538
2023-02-27,14:00,Dep 14:32,27,CA 6512
2023-02-27,14:00,Dep 14:03,7,MU 504
2023-02-27,14:05,Dep 14:08,60,CI 910
2023-02-27,14:10,Dep 14:07,23,SQ 883
2023-02-27,14:10,Dep 14:22,35,QF 8229
2023-02-27,14:20,Dep 14:43,1,CX 919
2023-02-27,14:25,Dep 14:34,32,UA 7918
2023-02-27,14:30,Dep 14:37,26,QR 3472
2023-02-27,14:35,Dep 14:32,29,CX 6112
2023-02-27,14:50,Dep 14:45,10,QR 4971
2023-02-27,14:55,Dep 14:52,45,CX 5764
2023-02-27,15:00,Dep 15:01,66,CX 380
2023-02-27,15:00,Dep 14:56,15,HB 683
2023-02-27,15:15,Dep 16:06,68,HU 8162
2023-02-27,15:20,Dep 15:21,13,CX 5780
2023-02-27,15:25,Dep 15:20,63,FM 3008
2023-02-27,15:35,Dep 15:27,6,HA 5000
2023-02-27,15:55,Dep 15:52,24,SQ 893
2023-02-27,15:55,Dep 16:00,17,CX 5558
2023-02-27,16:00,Dep 15:57,34,QR 3457
2023-02-27,16:05,Dep 16:04,5,QR 3451
2023-02-27,16:15,Dep 16:26,2,CX 903
2023-02-27,16:15,Dep 16:27,11,FD 501
2023-02-27,16:25,Dep 16:40,41,QR 5842
