date,time,status,gate,no
2023-05-03,00:05,Dep 23:58 (02/05/2023),17,HX 526
2023-05-03,00:05,Dep 00:06,4,AA 8933
2023-05-03,00:20,Dep 00:35,6,LA 5642
2023-05-03,00:25,Dep 00:34,30,ET 645
2023-05-03,00:25,Dep 00:43,7,JU 8317
2023-05-03,00:25,Dep 00:35,62,TP 6349
2023-05-03,00:30,Dep 00:25,35,HX 1566
2023-05-03,00:45,Dep 00:51,1,CX 888
2023-05-03,00:45,Dep 00:49,28,EY 8495
2023-05-03,00:50,Dep 00:52,41,AA 8930
2023-05-03,00:50,Dep 01:15,3,MM 068
2023-05-03,01:05,Dep 01:06,14,TK 9223
2023-05-03,01:20,Dep 01:16,8,QR 5844
2023-05-03,01:50,Dep 01:51,29,QR 5838
2023-05-03,01:55,Dep 01:51,36,GA 9771
2023-05-03,02:00,Dep 03:05,49,MH 9210
2023-05-03,07:00,Dep 06:52,70,CX 5820
2023-05-03,07:05,Dep 06:59,28,UO 850
2023-05-03,07:15,Dep 07:05,11,UO 618
2023-05-03,07:20,Dep 07:31,24,CX 366
2023-05-03,07:20,Dep 07:19,21,CX 907
2023-05-03,07:35,Dep 07:32,26,UO 600
2023-05-03,07:45,Dep 07:47,16,UO 550
2023-05-03,07:55,Dep 08:13,61,CX 982
2023-05-03,08:00,Dep 08:09,44,CX 488
2023-05-03,08:00,Dep 08:03,33,AA 8898
2023-05-03,08:00,Dep 08:18,1,AA 8906
2023-05-03,08:00,Dep 07:51,523,UO 130
2023-05-03,08:00,Dep 07:55,8,UO 760
2023-05-03,08:10,Dep 08:15,31,AA 8966
2023-05-03,08:10,Dep 08:22,48,CX 596
2023-05-03,08:15,Dep 08:08,60,HU 8492
2023-05-03,08:15,Dep 08:11,43,JL 7068
2023-05-03,08:15,Dep 08:15,34,CA 6534
2023-05-03,08:20,Dep 08:21,40,CX 633
2023-05-03,08:30,Dep 08:37,522,CA 118
2023-05-03,08:30,Dep 08:24,36,HX 690
2023-05-03,08:30,Dep 08:32,32,QR 5817
2023-05-03,08:35,Dep 08:35,15,CX 607
2023-05-03,08:35,Dep 08:43,46,AA 8910
2023-05-03,08:45,Dep 08:54,29,JL 7030
2023-05-03,08:50,Dep 09:32,7,CX 432
2023-05-03,08:55,Dep 08:46,511,HB 502
2023-05-03,09:00,Dep 09:10,66,CA 6510
2023-05-03,09:00,Dep 09:01,42,CX 901
2023-05-03,09:05,Dep 09:04,25,SQ 899
2023-05-03,09:10,Dep 09:35,9,BA 4132
2023-05-03,09:15,Dep 09:18,70,AI 7160
2023-05-03,09:15,Dep 09:15,28,QF 8215
2023-05-03,09:15,Dep 09:12,23,AA 8913
2023-05-03,09:15,Dep 09:14,520,HB 540
2023-05-03,09:20,Dep 09:20,11,CX 368
2023-05-03,09:20,Dep 09:27,45,AA 8887
2023-05-03,09:20,Dep 09:48,34,5J 149
2023-05-03,09:20,Dep 09:15,521,HB 530
2023-05-03,09:25,Dep 09:44,8,5J 273
2023-05-03,09:30,Dep 09:37,50,CX 348
2023-05-03,09:30,Dep 09:30,47,AA 8940
2023-05-03,09:30,Dep 09:33,35,NZ 4148
2023-05-03,09:40,Dep 09:38,30,BR 2898
2023-05-03,09:40,Dep 09:52,48,5J 241
2023-05-03,09:50,Dep 10:27,32,HX 1820
2023-05-03,09:55,Dep 09:50,10,HU 8084
