date,time,status,gate,no
2023-03-30,00:05,Dep 00:15,3,AA 8933
2023-03-30,00:20,Dep 00:24,1,QR 5830
2023-03-30,00:30,Dep 00:30,8,HX 1566
2023-03-30,00:35,Dep 00:56,5,TP 6349
2023-03-30,00:45,Dep 01:18,7,CX 888
2023-03-30,00:45,Dep 00:38,25,EY 8495
2023-03-30,00:50,Dep 01:27,6,MM 068
2023-03-30,01:20,Dep 01:23,2,QR 5844
2023-03-30,01:50,Dep 01:51,31,QR 5838
2023-03-30,02:00,Dep 03:27,63,MH 9210
2023-03-30,02:20,Dep 02:34,36,CX 675
2023-03-30,02:20,Dep 02:20,523,CX 5676
2023-03-30,07:05,Dep 07:07,19,CX 5850
2023-03-30,07:15,Dep 07:15,20,CX 5618
2023-03-30,07:20,Dep 07:35,42,CX 366
2023-03-30,07:20,Dep 07:21,29,CX 907
2023-03-30,07:35,Dep 07:34,33,CX 5600
2023-03-30,07:45,Dep 07:52,4,CX 257
2023-03-30,07:55,Dep 07:53,25,AA 8959
2023-03-30,07:55,Dep 08:09,68,CX 982
2023-03-30,08:00,Dep 08:04,45,CX 488
2023-03-30,08:00,Dep 08:13,62,AA 8898
2023-03-30,08:00,Dep 08:12,28,AA 8906
2023-03-30,08:00,Dep 07:58,8,CX 5130
2023-03-30,08:10,Dep 08:28,40,AA 8966
2023-03-30,08:10,Dep 08:21,60,CX 596
2023-03-30,08:10,Dep 08:25,16,CX 5704
2023-03-30,08:10,Dep 08:29,26,HB 520
2023-03-30,08:15,Dep 08:49,20,HU 8492
2023-03-30,08:15,Dep 08:19,17,OZ 9294
2023-03-30,08:20,Dep 08:23,47,CX 633
2023-03-30,08:25,Dep 08:40,43,HX 1315
2023-03-30,08:25,Dep 08:29,511,HB 681
2023-03-30,08:30,Dep 08:29,521,CA 118
2023-03-30,08:30,Dep 08:45,7,QR 5817
2023-03-30,08:35,Dep 08:40,50,AA 8910
2023-03-30,08:35,Dep 08:49,46,CA 6518
2023-03-30,08:40,Dep 08:40,36,HU 8516
2023-03-30,08:45,Dep 08:44,3,BA 4135
2023-03-30,08:45,Dep 08:57,23,JL 7030
2023-03-30,08:45,Dep 08:51,35,CX 5686
2023-03-30,08:50,Dep 08:51,49,CX 432
2023-03-30,09:00,Dep 09:02,24,GA 873
2023-03-30,09:00,Dep 09:05,65,CA 6510
2023-03-30,09:00,Dep 09:08,69,CX 901
2023-03-30,09:05,Dep 09:20,9,SQ 899
2023-03-30,09:15,Dep 09:22,34,AI 7160
2023-03-30,09:15,Dep 09:12,5,QF 8215
2023-03-30,09:15,Dep 09:17,66,AA 8913
2023-03-30,09:15,Dep 09:18,10,CX 5848
2023-03-30,09:20,Dep 09:18,41,BR 2898
2023-03-30,09:20,Dep 09:25,44,CX 368
2023-03-30,09:20,Dep 09:34,61,AA 8887
2023-03-30,09:20,Dep 09:28,522,HB 530
2023-03-30,09:25,Dep 09:29,33,5J 273
2023-03-30,09:25,Dep 09:35,520,CX 5674
2023-03-30,09:30,Dep 09:43,31,CX 348
2023-03-30,09:30,Dep 09:34,27,AA 8940
2023-03-30,09:30,Dep 09:36,30,NZ 4148
2023-03-30,09:30,Dep 09:45,11,CX 970
2023-03-30,09:40,Dep 09:55,47,5J 241
2023-03-30,09:50,Dep 10:29,60,HX 1820
2023-03-30,09:55,Dep 09:50,62,HU 8084
2023-03-30,10:00,Dep 10:06,42,AA 8915
2023-03-30,10:00,Dep 10:07,45,CA 6522
2023-03-30,10:15,Dep 10:39,7,CI 602
2023-03-30,10:15,Dep 10:29,8,CX 954
2023-03-30,10:20,Dep 10:19,6,CX 494
2023-03-30,10:20,Dep 10:31,4,JL 7052
2023-03-30,10:25,Dep 10:48,68,CX 356
2023-03-30,10:30,Dep 10:50,26,AA 8882
2023-03-30,10:35,Dep 10:38,50,CX 5870
2023-03-30,10:40,Dep 10:48,15,UO 630
2023-03-30,10:40,Dep 10:40,25,HA 5382
2023-03-30,10:45,Dep 10:54,43,CX 5110
2023-03-30,10:45,Dep 10:42,35,FD 516
2023-03-30,10:50,Dep 11:00,521,CX 5620
2023-03-30,11:00,Dep 11:14,3,JL 7058
2023-03-30,11:00,Dep 12:01,24,5J 111
2023-03-30,11:00,Dep 11:03,511,CX 5172
2023-03-30,11:00,Dep 10:59,522,UO 2642
2023-03-30,11:05,Dep 11:14,34,TR 981
2023-03-30,11:05,Dep 11:26,11,CI 904
2023-03-30,11:10,Dep 11:33,23,PR 301
2023-03-30,11:10,Dep 11:28,21,HU 8052
2023-03-30,11:10,Dep 11:06,49,HX 658
2023-03-30,11:10,Dep 11:03,33,FD 509
2023-03-30,11:15,Dep 11:21,36,BA 4577
2023-03-30,11:20,Dep 11:20,13,CX 5898
2023-03-30,11:25,Dep 11:24,10,MU 2902
2023-03-30,11:30,Dep 11:32,41,TK 8876
2023-03-30,11:30,Dep 11:32,63,CX 2739
2023-03-30,11:35,Dep 11:38,520,CX 5690
2023-03-30,11:35,Dep 11:46,9,FM 3026
2023-03-30,11:55,Dep 11:56,35,AK 139
2023-03-30,12:00,Dep 12:02,31,CA 6502
2023-03-30,12:05,Dep 12:13,8,FM 3002
2023-03-30,12:15,Dep 12:22,4,CX 960
2023-03-30,12:20,Dep 12:48,28,MF 382
2023-03-30,12:25,Dep 12:32,27,SQ 875
2023-03-30,12:25,Dep 12:25,42,CX 5112
2023-03-30,12:30,Dep 12:25,6,CZ 3076
2023-03-30,12:30,Dep 12:29,68,CA 3856
2023-03-30,12:30,Dep 13:05,26,MF 8656
2023-03-30,12:35,Dep 12:33,67,HX 775
2023-03-30,12:45,Dep 13:05,62,MH 9195
2023-03-30,12:45,Dep 12:48,44,CX 952
2023-03-30,12:45,Dep 12:59,21,CX 5132
2023-03-30,12:45,Dep 13:03,60,TG 601
2023-03-30,12:50,Dep 12:38,7,CA 104
2023-03-30,12:50,Dep 13:17,24,FM 3022
2023-03-30,13:00,Dep 13:09,20,CX 5646
2023-03-30,13:05,Dep 13:12,1,CX 253
2023-03-30,13:05,Dep 12:55,43,GS 7964
2023-03-30,13:10,Dep 13:19,17,HU 8359
2023-03-30,13:10,Dep 13:31,64,BA 4147
2023-03-30,13:20,Dep 13:23,36,9C 8716
2023-03-30,13:20,Dep 13:19,10,PR 319
2023-03-30,13:25,Dep 13:29,16,CX 5700
2023-03-30,13:30,Dep 13:30,9,CZ 310
2023-03-30,13:40,Dep 13:59,5,HX 1824
2023-03-30,13:40,Dep 13:46,3,CX 360
2023-03-30,13:55,Dep 15:18,7,CI 910
2023-03-30,13:55,Dep 15:10,19,BI 3403
2023-03-30,14:05,Dep 14:05,11,CX 919
2023-03-30,14:25,Dep 14:21,4,CX 418
2023-03-30,14:25,Dep 14:26,25,OM 5637
2023-03-30,14:30,Dep 14:39,34,UA 7918
2023-03-30,14:35,Dep 14:29,8,CA 112
2023-03-30,14:35,Dep 14:39,35,QR 4971
2023-03-30,14:45,Dep 15:42,16,HU 8209
2023-03-30,14:45,Dep 14:50,15,CX 5114
2023-03-30,14:55,Dep 14:54,10,HX 1636
2023-03-30,15:00,Dep 15:45,61,CX 380
2023-03-30,15:05,Dep 15:50,28,HO 3504
2023-03-30,15:15,Dep 15:25,24,HA 5000
2023-03-30,15:20,Dep 15:16,43,VN 595
2023-03-30,15:25,Dep 15:22,30,CA 420
2023-03-30,15:25,Dep 15:52,60,HX 1826
2023-03-30,15:35,Dep 15:45,6,FD 501
2023-03-30,15:40,Dep 15:44,23,SQ 893
2023-03-30,15:40,Dep 15:47,511,CX 5862
2023-03-30,15:45,Dep 15:56,1,CX 472
2023-03-30,15:45,Dep 15:58,71,BA 4573
2023-03-30,15:50,Dep 15:55,13,CX 5780
2023-03-30,15:55,Dep 16:30,36,PG 4560
2023-03-30,16:10,Dep 16:10,8,MH 9197
2023-03-30,16:15,Dep 16:23,32,ET 644
2023-03-30,16:15,Dep 16:45,41,MH 9184
2023-03-30,16:20,Dep 16:29,2,JL 7032
2023-03-30,16:25,Dep 16:40,65,QR 5832
2023-03-30,16:25,Dep 16:19,44,CX 5558
2023-03-30,16:30,Dep 16:39,9,JL 7056
2023-03-30,16:35,Dep 16:32,66,CX 903
2023-03-30,16:40,Dep 16:59,48,AA 8901
2023-03-30,16:45,Dep 16:49,43,AE 5812
2023-03-30,16:45,Dep 16:56,4,AA 8935
2023-03-30,16:45,Dep 16:46,17,CX 5744
2023-03-30,16:50,Dep 16:55,11,CA 3362
2023-03-30,16:50,Dep 16:53,20,CX 458
2023-03-30,16:50,Dep 19:38,66,AC 9797
2023-03-30,16:50,Dep 16:49,42,CX 5626
2023-03-30,16:55,Dep 17:07,3,CX 731
2023-03-30,17:00,Dep 17:18,21,CX 396
2023-03-30,17:00,Dep 17:10,6,FM 3024
2023-03-30,17:15,Dep 17:25,62,MF 8714
2023-03-30,17:25,Dep 17:18,10,CA 428
2023-03-30,17:25,Dep 17:29,29,CX 364
2023-03-30,17:30,Dep 17:44,23,CA 110
2023-03-30,17:30,Dep 17:35,30,GJ 8054
2023-03-30,17:35,Dep 18:50,11,CI 916
2023-03-30,17:40,Dep 17:39,45,HX 1202
2023-03-30,17:45,Dep 17:54,31,AA 8886
2023-03-30,17:45,Dep 17:47,35,CX 978
2023-03-30,17:50,Dep 17:51,32,9C 8922
2023-03-30,18:00,Dep 19:51,10,PR 307
2023-03-30,18:00,Dep 19:00,43,AC 008
2023-03-30,18:05,Dep 18:05,7,MU 2094
2023-03-30,18:05,Dep 18:46,18,TK 9200
2023-03-30,18:05,Dep 18:06,34,HB 504
2023-03-30,18:15,Dep 18:14,33,CX 402
2023-03-30,18:15,Dep 18:30,6,Z2 1265
2023-03-30,18:30,Dep 18:31,19,BR 2892
2023-03-30,18:35,Delayed,69,AA 8895
2023-03-30,18:35,Dep 18:37,15,CX 5116
2023-03-30,18:45,Cancelled,,RA 410
2023-03-30,18:50,Dep 18:55,62,TK 9224
2023-03-30,18:50,Dep 18:58,5,LY 8791
2023-03-30,18:50,Dep 18:43,44,3U 3960
2023-03-30,18:50,Dep 19:04,42,MF 8652
2023-03-30,18:55,Dep 18:58,25,CX 135
2023-03-30,19:00,Dep 19:06,8,CA 6508
