date,time,status,gate,no
2023-06-17,00:05,Dep 00:41,41,AA 8933
2023-06-17,00:15,Dep 01:17,62,IB 1961
2023-06-17,00:20,Dep 00:57,65,LA 5642
2023-06-17,00:25,Dep 01:19,25,CX 233
2023-06-17,00:25,Dep 00:25,27,JU 8317
2023-06-17,00:30,Dep 01:04,7,HX 1566
2023-06-17,00:35,Dep 00:35,60,TP 6349
2023-06-17,00:45,Dep 01:25,64,CX 888
2023-06-17,00:45,Dep 00:42,63,EY 8495
2023-06-17,00:50,Dep 01:27,4,AA 8930
2023-06-17,00:50,Dep 01:00,24,MM 068
2023-06-17,01:05,Dep 01:08,17,TK 9223
2023-06-17,01:20,Dep 01:21,32,QR 5844
2023-06-17,01:50,Dep 01:54,2,QR 5838
2023-06-17,02:00,Dep 02:23,66,MH 9210
2023-06-17,07:00,Dep 06:54,34,CX 5820
2023-06-17,07:15,Dep 07:11,17,HX 676
2023-06-17,07:20,Dep 07:26,30,CX 366
2023-06-17,07:20,Dep 07:49,28,CX 907
2023-06-17,07:35,Dep 07:35,21,UO 600
2023-06-17,07:45,Dep 07:47,16,UO 550
2023-06-17,07:55,Dep 08:01,65,CX 982
2023-06-17,08:00,Dep 08:03,7,CX 488
2023-06-17,08:00,Dep 08:03,45,AA 8898
2023-06-17,08:00,Dep 08:13,8,AA 8906
2023-06-17,08:00,Dep 07:57,10,UO 130
2023-06-17,08:00,Dep 08:10,47,UO 760
2023-06-17,08:10,Dep 08:28,60,AA 8966
2023-06-17,08:10,Dep 08:42,66,JL 7054
2023-06-17,08:10,Dep 08:09,29,CX 596
2023-06-17,08:10,Dep 08:25,15,UO 704
2023-06-17,08:15,Dep 08:17,14,OZ 9294
2023-06-17,08:15,Dep 08:13,46,JL 7068
2023-06-17,08:15,Dep 08:23,50,MH 9189
2023-06-17,08:15,Dep 09:00,68,PR 3201
2023-06-17,08:15,Dep 08:33,520,HB 520
2023-06-17,08:25,Dep 08:28,63,ET 1761
2023-06-17,08:25,Dep 08:39,521,HB 681
2023-06-17,08:30,Dep 08:26,523,CA 118
2023-06-17,08:30,Dep 08:36,11,QR 5817
2023-06-17,08:35,Dep 08:45,44,AA 8910
2023-06-17,08:40,Dep 08:44,18,HU 8516
2023-06-17,08:45,Dep 09:08,49,JL 7030
2023-06-17,08:45,Dep 08:49,13,UO 686
2023-06-17,08:50,Dep 08:58,31,CX 432
2023-06-17,09:00,Dep 08:53,41,HX 1953
2023-06-17,09:00,Dep 09:19,69,CA 6510
2023-06-17,09:00,Dep 09:37,70,CX 901
2023-06-17,09:05,Dep 09:04,26,SQ 899
2023-06-17,09:05,Dep 10:14,35,AA 8880
2023-06-17,09:05,Dep 09:09,4,CX 830
2023-06-17,09:10,Dep 09:34,48,BA 4132
2023-06-17,09:15,Dep 09:33,33,AI 7160
2023-06-17,09:15,Dep 09:18,42,QF 8215
2023-06-17,09:15,Dep 09:22,24,AA 8913
2023-06-17,09:15,Dep 09:23,20,UO 848
2023-06-17,09:20,Dep 09:48,67,CX 368
2023-06-17,09:20,Dep 09:52,43,AA 8887
2023-06-17,09:20,Dep 10:13,10,5J 149
2023-06-17,09:20,Dep 09:44,522,HB 530
2023-06-17,09:25,Dep 10:21,65,5J 273
2023-06-17,09:30,Dep 09:36,3,CX 348
2023-06-17,09:30,Dep 09:45,9,AA 8940
2023-06-17,09:30,Dep 09:41,40,NZ 4148
2023-06-17,09:40,Dep 09:55,17,BR 2898
