date,time,status,gate,no
2023-06-02,00:20,Dep 00:35,41,LA 5642
2023-06-02,00:25,Dep 00:51,6,ET 645
2023-06-02,00:25,Dep 00:50,69,CX 233
2023-06-02,00:25,Dep 00:21,33,JU 8317
2023-06-02,00:30,Dep 00:28,66,HX 1566
2023-06-02,00:35,Dep 00:39,62,TP 6349
2023-06-02,00:45,Dep 01:10,44,CX 888
2023-06-02,00:45,Dep 00:37,26,EY 8495
2023-06-02,00:50,Dep 01:05,7,MM 068
2023-06-02,01:05,Dep 01:02,16,TK 9223
2023-06-02,01:20,Dep 01:23,36,QR 5844
2023-06-02,01:50,Dep 01:43,27,QR 5838
2023-06-02,01:55,Dep 01:46,32,GA 9771
2023-06-02,02:00,Dep 02:20,63,MH 9210
2023-06-02,02:55,Cancelled,,HX 606
2023-06-02,07:00,Dep 09:35 (03/06/2023),521,CX 5820
2023-06-02,07:05,Dep 07:06,15,UO 850
2023-06-02,07:15,Cancelled,,HX 676
2023-06-02,07:15,Dep 07:05,25,UO 618
2023-06-02,07:20,Dep 07:24,5,CX 366
2023-06-02,07:20,Dep 07:34,10,CX 907
2023-06-02,07:35,Dep 07:30,65,UO 600
2023-06-02,07:45,Dep 07:43,523,UO 550
2023-06-02,07:50,Dep 07:55,47,CA 6524
2023-06-02,07:55,Dep 07:55,4,AA 8959
2023-06-02,07:55,Dep 08:24,70,CX 982
2023-06-02,08:00,Dep 08:03,13,CX 488
2023-06-02,08:00,Dep 08:10,71,AA 8898
2023-06-02,08:00,Dep 08:10,8,AA 8906
2023-06-02,08:00,Dep 07:57,17,UO 130
2023-06-02,08:00,Dep 08:04,524,UO 760
2023-06-02,08:10,Dep 08:08,36,AA 8966
2023-06-02,08:10,Dep 08:17,6,JL 7054
2023-06-02,08:10,Dep 08:18,42,CX 596
2023-06-02,08:15,Dep 08:11,33,HU 8492
2023-06-02,08:15,Dep 08:18,31,MH 9189
2023-06-02,08:20,Dep 08:20,43,CX 633
2023-06-02,08:25,Dep 08:25,14,HB 681
2023-06-02,08:30,Dep 08:27,520,CA 118
2023-06-02,08:30,Dep 08:35,45,HX 690
2023-06-02,08:30,Dep 08:44,2,QR 5817
2023-06-02,08:35,Dep 08:38,21,QR 5813
2023-06-02,08:35,Dep 08:36,3,AA 8910
2023-06-02,08:45,Dep 08:52,48,JL 7030
2023-06-02,08:50,Dep 08:45,49,CX 384
2023-06-02,08:50,Dep 08:53,40,CX 432
2023-06-02,09:00,Dep 08:58,34,GA 873
2023-06-02,09:00,Dep 09:11,35,CA 6510
2023-06-02,09:00,Dep 09:15,63,CX 901
2023-06-02,09:05,Dep 09:06,28,SQ 899
2023-06-02,09:05,Dep 09:10,60,AA 8880
2023-06-02,09:05,Dep 09:38,11,CA 6534
2023-06-02,09:10,Dep 09:18,62,BA 4132
2023-06-02,09:15,Dep 09:14,15,AI 7160
2023-06-02,09:15,Dep 09:49,69,AA 8913
2023-06-02,09:15,Dep 09:11,523,HB 540
2023-06-02,09:20,Dep 09:21,65,CX 368
2023-06-02,09:20,Dep 09:35,46,AA 8887
2023-06-02,09:20,Dep 09:55,43,5J 149
2023-06-02,09:20,Dep 09:17,521,HB 530
2023-06-02,09:25,Dep 10:09,45,5J 273
2023-06-02,09:30,Dep 09:31,50,CX 348
2023-06-02,09:30,Dep 09:35,9,AA 8940
2023-06-02,09:40,Dep 09:35,17,BR 2898
2023-06-02,09:40,Dep 09:45,10,5J 241
2023-06-02,09:40,Dep 09:35,29,JL 730
2023-06-02,09:50,Dep 10:18,31,HX 1820
2023-06-02,09:50,Dep 10:05,30,JL 7044
2023-06-02,09:55,Dep 09:56,16,HU 8084
2023-06-02,10:00,Dep 10:21,40,AA 8915
2023-06-02,10:00,Dep 10:01,71,CA 6522
2023-06-02,10:10,Dep 10:12,36,QF 8213
2023-06-02,10:15,Dep 10:20,33,CI 602
2023-06-02,10:20,Dep 11:37,1,CX 494
2023-06-02,10:20,Dep 10:34,42,JL 7052
2023-06-02,10:25,Dep 10:29,8,CX 356
2023-06-02,10:25,Dep 10:27,48,HX 640
2023-06-02,10:30,Dep 10:41,44,AA 8882
2023-06-02,10:35,Dep 10:36,13,UO 870
2023-06-02,10:40,Dep 10:37,6,HA 5382
2023-06-02,10:45,Dep 11:05,4,CX 828
2023-06-02,10:45,Dep 10:50,18,UO 110
2023-06-02,10:45,Dep 10:43,29,FD 516
2023-06-02,10:50,Dep 10:49,14,UO 620
2023-06-02,11:00,Dep 11:32,46,JL 7058
2023-06-02,11:00,Dep 11:44,40,5J 111
2023-06-02,11:05,Dep 11:07,28,TR 981
2023-06-02,11:05,Dep 11:16,9,CI 904
2023-06-02,11:05,Dep 11:30,49,CX 239
2023-06-02,11:05,Dep 11:06,19,CX 946
2023-06-02,11:10,Dep 11:15,60,PR 301
2023-06-02,11:10,Dep 11:15,511,HU 8052
2023-06-02,11:10,Dep 11:05,10,FD 509
2023-06-02,11:10,Dep 11:30,35,CX 2635
2023-06-02,11:15,Dep 11:29,66,BA 4577
2023-06-02,11:15,Dep 05:11 (03/06/2023),47,HX 658D
2023-06-02,11:15,Dep 11:15,7,UA 862
2023-06-02,11:20,Dep 11:20,27,UO 898
2023-06-02,11:30,Dep 11:44,43,TK 8876
2023-06-02,11:30,Dep 11:41,64,CX 2717
2023-06-02,11:35,Dep 11:34,21,UO 690
2023-06-02,11:35,Dep 11:25,30,FM 3026
2023-06-02,11:50,Dep 11:54,62,MU 2902
2023-06-02,11:55,Dep 11:48,29,AK 139
2023-06-02,12:00,Dep 11:56,63,CA 6502
2023-06-02,12:05,Dep 12:05,42,CX 6200
2023-06-02,12:05,Dep 12:15,45,FM 3002
2023-06-02,12:15,Dep 12:17,31,DL 7886
2023-06-02,12:20,Dep 13:17,28,AF 8404
2023-06-02,12:20,Dep 12:09,522,MF 382
2023-06-02,12:25,Dep 12:27,5,SQ 875
2023-06-02,12:25,Dep 12:21,16,UO 112
2023-06-02,12:30,Dep 12:26,44,MF 8656
2023-06-02,12:35,Dep 12:38,50,HX 775
2023-06-02,12:35,Dep 12:32,13,UO 638
2023-06-02,12:40,Dep 12:58,32,AA 8937
2023-06-02,12:45,Dep 12:48,6,CA 102
2023-06-02,12:45,Dep 12:47,2,MH 9195
2023-06-02,12:45,Dep 12:47,18,UO 132
2023-06-02,12:45,Dep 13:10,40,WY 5903
2023-06-02,12:50,Dep 12:42,10,CA 104
2023-06-02,12:50,Dep 12:44,48,MU 2068
2023-06-02,12:50,Dep 12:59,7,FM 3022
2023-06-02,12:55,Dep 13:54,71,CA 3856
2023-06-02,12:55,Dep 13:10,34,CX 2474
2023-06-02,13:00,Dep 13:19,14,UO 646
2023-06-02,13:05,Dep 13:12,69,CX 346
2023-06-02,13:10,Dep 13:08,11,HU 8359
2023-06-02,13:20,Dep 13:13,9,9C 8716
2023-06-02,13:25,Dep 13:43,23,CX 253
2023-06-02,13:35,Dep 13:36,60,CZ 310
2023-06-02,13:40,Dep 13:44,62,HX 1824
2023-06-02,13:40,Dep 13:46,35,CX 360
2023-06-02,13:40,Dep 13:34,46,SC 4790
2023-06-02,13:55,Dep 15:38,60,CI 910
2023-06-02,13:55,Dep 13:50,17,CX 5172
2023-06-02,14:00,Dep 14:10,15,UO 650
2023-06-02,14:05,Dep 14:00,42,CX 310
2023-06-02,14:05,Dep 14:09,36,CX 919
2023-06-02,14:10,Dep 14:25,49,BA 4571
2023-06-02,14:25,Dep 14:36,4,CX 418
2023-06-02,14:25,Dep 14:22,27,OM 5637
2023-06-02,14:30,Dep 14:21,34,ZH 9086
2023-06-02,14:35,Dep 14:29,8,CA 112
2023-06-02,14:35,Dep 14:35,10,QR 4971
2023-06-02,14:40,Dep 15:09,16,HU 8209
2023-06-02,14:55,Dep 14:42,48,BI 636
2023-06-02,14:55,Dep 15:03,29,BA 4145
2023-06-02,14:55,Dep 14:55,45,UO 688
2023-06-02,15:00,Dep 15:20,66,CX 380
2023-06-02,15:00,Dep 14:57,522,UO 652
2023-06-02,15:05,Dep 15:06,30,UA 7918
2023-06-02,15:05,Dep 15:08,521,UO 694
2023-06-02,15:05,Dep 15:09,40,HO 3504
2023-06-02,15:10,Dep 15:17,65,JL 7048
2023-06-02,15:15,Dep 15:15,6,HA 5000
2023-06-02,15:25,Dep 15:30,46,CA 420
2023-06-02,15:25,Dep 15:31,35,HX 1826
2023-06-02,15:25,Dep 15:27,1,BA 4563
2023-06-02,15:30,Dep 15:22,26,BI 3403
2023-06-02,15:35,Dep 15:36,44,HU 8361
2023-06-02,15:35,Dep 15:33,24,FD 501
2023-06-02,15:40,Dep 15:39,5,SQ 893
2023-06-02,15:45,Dep 15:53,71,CX 472
2023-06-02,15:45,Dep 15:52,33,BA 4573
