date,time,status,gate,no
2023-06-15,00:05,Dep 00:05,41,AA 8933
2023-06-15,00:15,Dep 00:45,9,IB 1961
2023-06-15,00:20,Dep 00:27,1,LA 5642
2023-06-15,00:25,Dep 00:32,31,JU 8317
2023-06-15,00:30,Dep 01:02,44,HX 1566
2023-06-15,00:35,Dep 00:43,62,TP 6349
2023-06-15,00:45,Dep 01:06,34,CX 888
2023-06-15,00:45,Dep 00:50,32,EY 8495
2023-06-15,00:50,Dep 03:09,30,MM 068
2023-06-15,01:05,Dep 01:19,21,TK 9223
2023-06-15,01:20,Dep 01:33,4,QR 5844
2023-06-15,01:50,Dep 01:57,25,QR 5838
2023-06-15,01:55,Dep 02:10,11,GA 9771
2023-06-15,02:00,Dep 02:19,66,MH 9210
2023-06-15,02:20,Dep 02:42,49,CX 675
2023-06-15,07:00,Dep 06:57,513,CX 5820
2023-06-15,07:15,Dep 07:01,11,HX 676
2023-06-15,07:20,Dep 07:39,45,CX 366
2023-06-15,07:20,Dep 07:27,14,CX 907
2023-06-15,07:35,Dep 07:39,28,UO 600
2023-06-15,07:45,Dep 07:33,17,UO 550
2023-06-15,07:55,Dep 08:03,3,AA 8959
2023-06-15,07:55,Dep 08:10,63,CX 982
2023-06-15,08:00,Dep 08:00,15,CX 488
2023-06-15,08:00,Dep 08:02,30,AA 8898
2023-06-15,08:00,Dep 08:21,40,AA 8906
2023-06-15,08:00,Dep 07:56,523,UO 130
2023-06-15,08:10,Dep 08:17,27,AA 8966
2023-06-15,08:10,Dep 08:21,67,JL 7054
2023-06-15,08:10,Dep 09:07,32,CX 596
2023-06-15,08:10,Dep 08:22,7,UO 704
2023-06-15,08:15,Dep 08:15,16,HU 8492
2023-06-15,08:15,Dep 08:10,18,OZ 9294
2023-06-15,08:15,Dep 08:36,521,HB 520
2023-06-15,08:20,Dep 08:30,47,CX 633
2023-06-15,08:25,Dep 13:29,28,ET 1761
2023-06-15,08:25,Dep 08:26,522,HB 681
2023-06-15,08:30,Dep 08:38,520,CA 118
2023-06-15,08:30,Dep 08:52,68,QR 5817
2023-06-15,08:35,Dep 08:57,4,AA 8910
2023-06-15,08:35,Dep 08:49,21,CA 6518
2023-06-15,08:45,Dep 08:51,65,JL 7030
2023-06-15,08:45,Dep 08:43,13,UO 686
2023-06-15,08:50,Dep 09:04,2,CX 432
2023-06-15,09:00,Dep 09:07,10,GA 873
2023-06-15,09:00,Dep 09:18,50,CA 6510
2023-06-15,09:00,Dep 11:00,33,CX 901
2023-06-15,09:05,Dep 09:09,26,SQ 899
2023-06-15,09:05,Dep 09:17,64,AA 8880
2023-06-15,09:05,Dep 09:33,41,CX 830
2023-06-15,09:10,Dep 09:25,48,BA 4132
2023-06-15,09:15,Dep 09:20,11,AI 7160
2023-06-15,09:15,Dep 09:25,9,QF 8215
2023-06-15,09:15,Dep 09:20,33,AA 8913
2023-06-15,09:15,Dep 09:15,523,UO 848
2023-06-15,09:20,Dep 09:41,71,CX 368
2023-06-15,09:20,Dep 09:33,34,AA 8887
2023-06-15,09:20,Dep 09:39,40,5J 149
2023-06-15,09:20,Dep 09:18,521,HB 530
2023-06-15,09:25,Dep 09:56,28,5J 273
2023-06-15,09:30,Dep 10:01,45,CX 348
2023-06-15,09:30,Dep 09:39,46,AA 8940
2023-06-15,09:30,Dep 09:45,42,CX 970
2023-06-15,09:40,Dep 09:42,14,BR 2898
2023-06-15,09:40,Dep 10:11,30,5J 241
2023-06-15,09:40,Dep 09:49,6,JL 730
2023-06-15,09:50,Dep 10:18,63,HX 1820
2023-06-15,09:50,Dep 09:57,5,JL 7044
2023-06-15,09:55,Dep 09:54,60,HU 8084
2023-06-15,10:00,Dep 10:15,23,AA 8915
2023-06-15,10:00,Dep 10:08,3,CA 6522
2023-06-15,10:10,Dep 10:17,70,QF 8213
2023-06-15,10:15,Dep 10:33,32,CI 602
2023-06-15,10:15,Dep 10:33,20,CX 954
2023-06-15,10:20,Dep 10:27,62,CX 494
2023-06-15,10:20,Dep 10:26,27,JL 7052
2023-06-15,10:25,Dep 10:40,8,CX 356
2023-06-15,10:30,Dep 10:40,24,AA 8882
2023-06-15,10:40,Dep 10:47,16,UO 630
2023-06-15,10:40,Dep 10:50,7,HA 5382
2023-06-15,10:45,Dep 10:49,47,UO 110
